title,url,page_views
Ancient Crimean Gold In Legal Limbo After Russia's Invasion,http://talkingpointsmemo.com/livewire/crimean-gold-dutch-museum-ukraine-russia,103
California Sec. Of State Candidate Arrested In Connection With Massive FBI Raid,http://talkingpointsmemo.com/livewire/leland-yee-arrest,1467
Planet Biden: Scientists Nickname New Dwarf Planet After The VP,http://talkingpointsmemo.com/livewire/dwarf-planet-joe-biden,2001
Mass. Guv Candidate Passes Kidney Stone During Debate,http://talkingpointsmemo.com/livewire/mass-guv-candidate-passes-kidney-stone-during-debate,7299
Charlotte's Brand New Mayor Turns Out To Be A Lemon,http://talkingpointsmemo.com/livewire/patrick-cannon-arrested,1562
GOP Candidate *Literally* Shoots Holes In Obamacare In New Campaign Video,http://talkingpointsmemo.com/livewire/gop-candidate-kills-obamacare,643
WaPo Pundit Thinks Secret Service Debauchery Makes Obama Look Bad,http://talkingpointsmemo.com/livewire/chris-cillizza-secret-service-obama-competence,1265
Dem Rep. Calls Bill O'Reilly's 'Race Hustlers' Comment 'Disgusting',http://talkingpointsmemo.com/livewire/barbara-lee-oreilly-race-hustlers-paul-ryan,1462
Grayson: U.S. Should Be 'Pleased' With 'Virtually Bloodless Transfer Of Power' In Crimea,http://talkingpointsmemo.com/livewire/grayson-pleased-russia-annex-crimea,1484
81-Year-Old Man Miraculously Dug Himself Out Of The Washington Mudslide,http://talkingpointsmemo.com/livewire/81-year-old-man-survives-mudslide,1969
Counter-Event Planned To Protest Minnesota Restaurant's Nazi-Themed Dinner,http://talkingpointsmemo.com/livewire/counter-protest-minnesota-nazi-dinner,2302
Watch A Construction Worker's Stunning Rescue From Five-Alarm Blaze (VIDEO),http://talkingpointsmemo.com/livewire/rescue-houston-fire-video,1793
Docs: California Sec. Of State Candidate Set Up International Gun Trafficking Deal,http://talkingpointsmemo.com/livewire/leland-yee-firearms-trafficking,1004
Patty Murray Proposes Bill To Expand Tax Break For Childless Workers,http://talkingpointsmemo.com/livewire/patty-murray-eitc-reform,1191
Dems Bring Out The Big Guns In Iowa After 'Farmer' Comment,http://talkingpointsmemo.com/livewire/elizabeth-warren-bruce-braley-farmer-comment-iowa,606
The Daily Show Pays Homage To Morning Joe: They 'Starf*ck Like Nobody's Business' (VIDEO),http://talkingpointsmemo.com/livewire/daily-show-samantha-bee-morning-joe,1007
The Boston Red Sox Have A Special Gift For Obama,http://talkingpointsmemo.com/livewire/boston-red-sox-obama-gift,57
The Nate Silver-Paul Krugman Feud Just Won't End,http://talkingpointsmemo.com/livewire/paul-krugman-nate-silver-feud,1627
Christie's Legal Team Releases Internal Review Of Bridge Scandal,http://talkingpointsmemo.com/livewire/chris-christie-bridgegate-full-report,215
Rand Paul Imagines Obama-Pope Meeting: 'Forgive Me Father' For Spying,http://talkingpointsmemo.com/livewire/rand-paul-imagines-obama-pope-meeting-spying,17
Christie Is Certain Bridge Scandal Won't Weigh On 2016 Decision,http://talkingpointsmemo.com/livewire/christie-bridge-scandal-wont-affect-2016-decision,19
Watch President Obama Meet The Pope,http://talkingpointsmemo.com/livewire/obama-pope-francis-meet,26
Tea Party Rep Shows How Bill Maher's 'Flip A District' Could Simply Rally Conservatives,http://talkingpointsmemo.com/livewire/blake-farenthold-bill-maher-flip-a-district,2415
Connecticut Becomes First State To Pass $10.10 Minimum Wage,http://talkingpointsmemo.com/livewire/connecticut-1010-minimum-wage,67
Oversight Dems To Issa: Drop The Charade And Let's Do Some Real Work,http://talkingpointsmemo.com/livewire/darrell-issa-democrats-benghazi,69
Arkansas Pols Still Not Over Fighting About Clinton Impeachment,http://talkingpointsmemo.com/livewire/arkansas-governor-race-clinton-impeachment,66
WATCH LIVE: Christie Attorney To Release Findings In BridgeGate Review,http://talkingpointsmemo.com/livewire/watch-live-video-christie-bridge-documents,10
One Of Tucker Carlson's Reporters Thinks Putin Is Justified In Repressing Gays,http://talkingpointsmemo.com/livewire/neil-munro-the-daily-caller-putin-anti-gay-law,795
Christie's Own Lawyer Reveals Bridgegate Shocker: Governor Was Told About Closures,http://talkingpointsmemo.com/livewire/christie-told-of-closures-wildstein-report,4433
House GOP's Bill To Avoid Steep Medicare Cuts Is In Limbo,http://talkingpointsmemo.com/livewire/house-gop-doc-fix-in-limbo,67
"Chris Hayes, Conservative Guest Have Epic Shouting Match Over Obamacare Extension (VIDEO)",http://talkingpointsmemo.com/livewire/chris-hayes-afp-guest-shoting-match-obamacare-extension,6673
Tennessee Lawmakers Take A Stand Against Knife Control,http://talkingpointsmemo.com/livewire/tennessee-knife-control,117
New Jersey Democrats Question 'Objectivity And Thoroughness' Of Christie Report,http://talkingpointsmemo.com/livewire/new-jersey-democrats-christie-report,32
Senate Moves Toward Passage Of Jobless Benefits,http://talkingpointsmemo.com/livewire/senate-moves-toward-passage-of-jobless-benefits,252
House Abruptly Passes Medicare Pay Fix By Voice Vote,http://talkingpointsmemo.com/livewire/house-passes-doc-fix-voice-vote,493
