title,views,log_views
Ancient Crimean Gold In Legal Limbo After Russia's Invasion,1435,3.156851901070011
California Sec. Of State Candidate Arrested In Connection With Massive FBI Raid,12418,4.094051655509965
Planet Biden: Scientists Nickname New Dwarf Planet After The VP,7351,3.8663464227496016
Mass. Guv Candidate Passes Kidney Stone During Debate,35843,4.5544043522434245
Charlotte's Brand New Mayor Turns Out To Be A Lemon,8466,3.9276782641379913
GOP Candidate *Literally* Shoots Holes In Obamacare In New Campaign Video,3767,3.5759956202032677
WaPo Pundit Thinks Secret Service Debauchery Makes Obama Look Bad,7735,3.8884603180353863
Dem Rep. Calls Bill O'Reilly's 'Race Hustlers' Comment 'Disgusting',5689,3.7550359337677714
Grayson: U.S. Should Be 'Pleased' With 'Virtually Bloodless Transfer Of Power' In Crimea,5080,3.7058637122839193
81-Year-Old Man Miraculously Dug Himself Out Of The Washington Mudslide,7399,3.869173027321683
Counter-Event Planned To Protest Minnesota Restaurant's Nazi-Themed Dinner,6390,3.8055008581584002
Watch A Construction Worker's Stunning Rescue From Five-Alarm Blaze (VIDEO),6169,3.7902147702439795
Docs: California Sec. Of State Candidate Set Up International Gun Trafficking Deal,3452,3.538070787043172
Patty Murray Proposes Bill To Expand Tax Break For Childless Workers,3456,3.5385737338068557
Dems Bring Out The Big Guns In Iowa After 'Farmer' Comment,7952,3.900476371389257
The Daily Show Pays Homage To Morning Joe: They 'Starf*ck Like Nobody's Business' (VIDEO),19308,4.285737290146654
The Boston Red Sox Have A Special Gift For Obama,3972,3.5990092398233435
The Nate Silver-Paul Krugman Feud Just Won't End,22512,4.3524140800906705
Christie's Legal Team Releases Internal Review Of Bridge Scandal,839,2.9237619608287004
Rand Paul Imagines Obama-Pope Meeting: 'Forgive Me Father' For Spying,524,2.7193312869837265
Christie Is Certain Bridge Scandal Won't Weigh On 2016 Decision,697,2.8432327780980096
Watch President Obama Meet The Pope,486,2.6866362692622934
Tea Party Rep Shows How Bill Maher's 'Flip A District' Could Simply Rally Conservatives,23908,4.378543247161644
Connecticut Becomes First State To Pass $10.10 Minimum Wage,615,2.788875115775417
Oversight Dems To Issa: Drop The Charade And Let's Do Some Real Work,2960,3.4712917110589387
Arkansas Pols Still Not Over Fighting About Clinton Impeachment,747,2.873320601815399
WATCH LIVE: Christie Attorney To Release Findings In BridgeGate Review,397,2.598790506763115
One Of Tucker Carlson's Reporters Thinks Putin Is Justified In Repressing Gays,6494,3.8125122842899826
Christie's Own Lawyer Reveals Bridgegate Shocker: Governor Was Told About Closures,33709,4.527745869076188
House GOP's Bill To Avoid Steep Medicare Cuts Is In Limbo,1125,3.0511525224473814
"Chris Hayes, Conservative Guest Have Epic Shouting Match Over Obamacare Extension (VIDEO)",42299,4.626330100244653
Tennessee Lawmakers Take A Stand Against Knife Control,1252,3.097604328874411
New Jersey Democrats Question 'Objectivity And Thoroughness' Of Christie Report,962,2.983175072037813
Senate Moves Toward Passage Of Jobless Benefits,1538,3.1869563354654122
House Abruptly Passes Medicare Pay Fix By Voice Vote,6691,3.825491029879431
Hoboken Mayor Calls Christie Report A 'One-Sided Whitewash',2982,3.474507639116976
Christie's Lawyers Call Hoboken Mayor's Allegation 'Demonstrably False',1144,3.058426024457005
Obamacare Reaches New Milestone: 6 Million Sign-Ups,11171,4.048092051812373
"Iowa Dem Tries To Defend Farm Cred, Ends Up Misspelling Farm Terms",2062,3.3142886609474975
