title,views,log_views,exclamation,question,bleep_censor,pos_VBD,pos_NN,pos_POS,pos_JJ,pos_IN,pos_.,pos_VBN,pos_DT,pos_:,pos_NNS,pos_VB,pos_TO,pos_-NONE-,pos_VBZ,pos_VBP,pos_'',pos_RB,pos_NNP,pos_MD,pos_RP,pos_PRP,pos_VBG,pos_CD,pos_WRB,pos_$,pos_CC,"pos_,",pos_WP,pos_RBS,pos_PRP$,pos_WDT,pos_JJR,pos_#,pos_JJS,pos_EX,pos_RBR,pos_LS,pos_PDT,pos_``,pos_WP$
Ancient Crimean Gold In Legal Limbo After Russia's Invasion,1435,7.268920128193723,0,0,0,1,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California Sec. Of State Candidate Arrested In Connection With Massive FBI Raid,12418,9.426902311924838,0,0,0,2,6,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planet Biden: Scientists Nickname New Dwarf Planet After The VP,7351,8.902591637374087,0,0,0,1,4,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mass. Guv Candidate Passes Kidney Stone During Debate,35843,10.486903568942912,0,0,0,0,6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte's Brand New Mayor Turns Out To Be A Lemon,8466,9.04381342108087,0,0,0,0,4,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOP Candidate *Literally* Shoots Holes In Obamacare In New Campaign Video,3767,8.23403420769204,0,0,2,0,5,0,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WaPo Pundit Thinks Secret Service Debauchery Makes Obama Look Bad,7735,8.953510763007166,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dem Rep. Calls Bill O'Reilly's 'Race Hustlers' Comment 'Disgusting',5689,8.646289764750648,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson: U.S. Should Be 'Pleased' With 'Virtually Bloodless Transfer Of Power' In Crimea,5080,8.533066540572527,0,0,0,0,4,0,2,3,0,0,0,1,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81-Year-Old Man Miraculously Dug Himself Out Of The Washington Mudslide,7399,8.90910013492555,0,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
