SubCat,Headlines
/issues/border-security,"Challenged On Absurdity Of Southern Border Fence, Hannity Says Hed Put A Fence On Canadian Border Too"
/issues/border-security,Foxs Bolling: Muslims Will Come Through Porous Border And Create A Radical Islam Problem In U.S.
/issues/border-security,Conservative Media Echo Spurious Report On Threat Of Islamic State Terrorists Crossing U.S.-Mexico Border
/issues/border-security,Ingraham Uses ISIS Threat To Whip Opposition To Immigration Reform
/issues/border-security,OReilly Didnt Want To Hear His Pro-Immigration Guests- So He Cut Their Mics
/issues/border-security,Fox Guest Stokes Ebola Fears Due To Uninspected Immigrants
/issues/border-security,Fusions Jorge Ramos Tells OReilly That Putting National Guard On The Border Is Absurd And Useless
/issues/border-security,Bill OReilly Advocates For A Berlin Wall-Style Border Fence
/issues/border-security,Politico Columnist Claims Obama Ignored Immigration Issues He Already Tried To Address
/issues/border-security,Bill Kristol Dismisses GOP Strategist Navarro On Border Crisis: Youre Not Quite As Republican As Me
/issues/border-security,Fox News Isnt Listening To Its Own Reporting On Border Security
/issues/border-security,Watch Foxs Laura Ingraham Push Nativist Policies In Response To Humanitarian Crisis At The Border
/issues/border-security,Limbaugh Speculates Obama Administration Planned Undocumented Childrens Border Crossing
/issues/border-security,ABC News Ingraham: Immigrant Humanitarian Crisis Is An Invasion Facilitated By Our Own Government
/issues/border-security,"For Honest Debate On Immigration, Media Should Read Daily Beasts Treatment Of Anti-Immigrant CIS"
/issues/border-security,Deporting Longstanding Undocumented Immigrants Would Cost U.S. Billions
/issues/border-security,Foxs Latest Attempt To Distort Obamas Immigration Enforcement Record
/issues/border-security,What Happens When A News Organization Treats Immigrants As People
/issues/border-security,Fox News Latino Destroys Fox News Narrative On Immigration Enforcement
/issues/border-security,Fox Imagines That Obama Is Letting Immigrant Rapists And Murderers Loose On The Streets (Theyre Wrong)
/issues/border-security,Right-Wing Media Angry Obama Administration Has Deported Criminals
/issues/border-security,Fox Casts Doubt On Obama Immigration Enforcement As 2 Millionth Deportation Nears
/issues/border-security,Do Americans Really Want More Undocumented Immigrants Deported?
/issues/border-security,Bill OReilly Doesnt Understand Why Obama Cant Fulfill Conservatives Closed-Border Fantasy
/issues/border-security,DHS Debunks Fox News-Created Asylum Controversy
/issues/border-security,Fox News Relies On Anti-Immigrant Nativists To Push Asylum Myths
/issues/border-security,Fox News Idea Of Immigration Loophole Is Long-Standing Asylum Policy
/issues/border-security,Laura Ingrahams Hypocrisy Over Dream 9 Immigration Protest
/issues/border-security,WSJ Lets GOP Run With Border Security First Argument Its Editorials Have Criticized
/issues/border-security,Conservative Media Ignore That Immigration Reform Would Greatly Reduce Visa Overstays
/issues/border-security,Face The Nation Forwards Conservative Arguments On Border Enforcement
/issues/border-security,Fox News Newest Dishonest Chart: Immigration Enforcement
/issues/border-security,Fox News Seizes On Mexico-Made Border Patrol Uniforms To Fuel Myths Of Afghanistan-Style Attacks
/issues/border-security,Medias Missed Opportunity On Drones Debate
/issues/border-security,Bush DHS Sec. Michael Chertoff Dismantles Fox News Framing That Undocumented Immigrant Releases Are Intentional
/issues/border-security,Fox Guest Mary Walter: Immigrants May Not Want Citizenship Because Theyre Not Paying Taxes And Enjoying All The Benefits
/issues/border-security,Foxs Bolling Asks If The Government Is Being Honest About Prioritizing Deportation Of Criminals
/issues/border-security,Foxs Monica Crowley Ignores Facts To Attack U.S. Border Enforcement Policy
/issues/border-security,"Ingraham Greets Ruling On AZ Law By Smearing Immigrants, Distorting Immigration Facts"
/issues/border-security,Foxs McFarland: We Should Eventually Take Our Troops Out Of Europe And Put Them On The Mexican Border
/issues/border-security,Appearing For The Defense Of Arizonas Controversial Immigration Law: Fox News
/issues/border-security,Fox  Friends: Fox News Top Misinformer Of 2011
/issues/border-security,Foxs Van Susteren Tries To Gin Up Outrage Over Uncontroversial Border Crossing Proposal
/issues/border-security,Fuzzy Numbers: Foxs Bolling Claims Obama Has Cut Border Spending In Half
/issues/border-security,Fox Pushes AZ Efforts To Build Border Fence Despite Its Predicted High Cost And Unproven Effectiveness
/issues/border-security,"Foxs Gutfeld: I Am For A Border Fence, But To Keep The Attractive Immigrants In"
/issues/border-security,Kilmeade On KISS Gene Simmons: He Should Run For President
/issues/border-security,Wash. Times: Obama Immigration Policy Is A Throwback To 19th Century Marxism
/issues/border-security,Fox Hosts Anti-Immigrant Babeu Who Fearmongers About Terrorists Disguised As Hispanics Crossing The Border
/issues/border-security,Foxs Hemmer: AZ Gov. Jan Brewer Is Leading A One-Woman Fight Against Washington
/issues/border-security,Fox Furthers Anti-Immigrant Agenda By Lobbing Softballs To AZ Gov. Brewer
/issues/border-security,"In Softball Interview, Foxs Johnson Tells Gov. Jan Brewer, For Many Americans, You Became A Strong Hero"
/issues/border-security,Fox Again Promotes AZ Sheriff Paul Babeu And His Anti-Immigrant Views
/issues/border-security,GM Reportedly The Latest Company To Pull Ads From Anti-Immigrant John  Ken Show
/issues/border-security,"STUDY: On Fox News, Immigrants Are Synonymous With Criminality"
/issues/border-security,Not Very Helpful? Carlson Advances Myth That Obama Hasnt Increased Border Security
/issues/border-security,Fox/Google Debate Hosts Anti-Immigrant Hate Group FAIR For Immigration Question
/issues/border-security,The Supremacy Cause: Inside The White Nationalist Movement
/issues/border-security,Right-Wing Media Freak Out Over Decision To Deport Convicted Felons
/issues/border-security,Media-Promoted Anti-Immigrant Leader Calls for Illegal and Violent Acts
/issues/border-security,Wash. Times Hurt: Illegals Who Had Been Headed For Deportation Will Manage To Sneak In A Few Votes For Obama
/issues/border-security,Wash. Times Miller: White House Gives Illegals A Free Pass
/issues/border-security,"During Segment On Immigration, Reporter Points Out Fox News Is Using Footage Of Border Crossers From A Long Time Ago"
/issues/border-security,Fox Hypes Photo Of One Man Climbing Border Fence To Fearmonger Over Border Security
/issues/border-security,Hacked Documents Reveal Border Vigilante Activity
/issues/border-security,Fox Nation: Re-Writing Headlines To Fit The Agenda
/issues/border-security,"With Renewed National Focus On Immigration Reform, Fox Revs Up Anti-Immigrant Campaign"
/issues/border-security,Center For Immigration Studies Gives Journalism Award To Writer Who Denigrates Immigrants
/issues/border-security,Special Reports Bret Baier Uses Loaded Term Illegals
/issues/border-security,Minuteman to Tea Party: A Grassroots Rebranding
/issues/border-security,Fox Seizes On Immigrant Bust To Criticize Obamas Immigration Record
/issues/border-security,"Beck Suggests Problems On Border In U.S., Israel Are Connected Because Same Argument Is Being Made"
/issues/border-security,"Beck Sees Parallels Between Mideast And U.S.-Mexico Border, Says It Is The Same Argument, Made By The Same People"
/issues/border-security,Beck: Criticisms Of Israel Will Be Used Against U.S.; We Will Be Called An Oppressor On Southern Border
/issues/border-security,"Beck Says Problems On Border In U.S., Israel Are Related Because Its The Same People Doing It"
/issues/border-security,Fox News Ignores Reality To Claim Obama Isnt Serious About Immigration Reform
/issues/border-security,Limbaugh: Obama Doesnt Want More Border Patrol Agents ... He Needs More Dependents Arriving Here
/issues/border-security,Limbaugh Staffers Hood Translation Asks If Obama Would Send Bootylicious Homegirl Michelle To Border
/issues/border-security,Fox  Friends Distorts Obamas Record On Border Security
/issues/border-security,"Beck Asks If Obama Had His Back To, Like, A Big Wall Shielding Him From Drug Lords Gunfire During His El Paso Speech"
/issues/border-security,"They Dont Get It: Unable To Take A Joke, Right-Wing Media Attack Obama Over Moat Comment"
/issues/border-security,Doocy Falsely Suggests Obama Is Failing To Secure U.S.-Mexican Border
/issues/border-security,Right-Wing Media Attacks Obama For The Location Near The Location Of His Speech
/issues/border-security,"Fox Hosts Sheriff Babeu To Call For 6,000 Armed Soldiers To Be Deployed To U.S./Mexico Border"
/issues/border-security,OReilly Says U.S. Troops Could Be In Mexico In The Next Couple Of Years
/issues/border-security,Beck Complains About Proposed Passport Form: Why Dont You Just Put Nipple Clamps On Americans Over This?
/issues/border-security,Beck Suggests Goal Of Proposed Passport Form Is To Make The Documented Undocumented
