SubCat,Headlines
/issues/border-security,"[u""Challenged On Absurdity Of Southern Border Fence, Hannity Says He'd Put A Fence On Canadian Border Too""]"
/issues/border-security,"[u'Fox\'s Bolling: Muslims Will Come Through ""Porous Border"" And Create A ""Radical Islam Problem"" In U.S.']"
/issues/border-security,[u'Conservative Media Echo Spurious Report On Threat Of Islamic State Terrorists Crossing U.S.-Mexico Border']
/issues/border-security,[u'Ingraham Uses ISIS Threat To Whip Opposition To Immigration Reform']
/issues/border-security,"[u""O'Reilly Didn't Want To Hear His Pro-Immigration Guests -- So He Cut Their Mics""]"
/issues/border-security,"[u'Fox Guest Stokes Ebola Fears Due To ""Uninspected"" Immigrants']"
/issues/border-security,"[u'Fusion\'s Jorge Ramos Tells O\'Reilly That Putting National Guard On The Border Is ""Absurd"" And ""Useless""']"
/issues/border-security,"[u""Bill O'Reilly Advocates For A Berlin Wall-Style Border Fence""]"
/issues/border-security,"[<em>Politico</em>, u' Columnist Claims Obama ""Ignored"" Immigration Issues He Already Tried To Address']"
/issues/border-security,"[u'Bill Kristol Dismisses GOP Strategist Navarro On Border Crisis: ""You\'re Not Quite As Republican As Me""']"
/issues/border-security,"[u""Fox News Isn't Listening To Its Own Reporting On Border Security""]"
/issues/border-security,"[u""Watch Fox's Laura Ingraham Push Nativist Policies In Response To Humanitarian Crisis At The Border""]"
/issues/border-security,"[u""Limbaugh Speculates Obama Administration Planned Undocumented Children's Border Crossing""]"
/issues/border-security,"[u'ABC News\' Ingraham: Immigrant Humanitarian Crisis Is ""An Invasion Facilitated By Our Own Government""']"
/issues/border-security,"[u""For Honest Debate On Immigration, Media Should Read Daily Beast's Treatment Of Anti-Immigrant CIS""]"
/issues/border-security,[u'Deporting Longstanding Undocumented Immigrants Would Cost U.S. Billions']
/issues/border-security,"[u""Fox's Latest Attempt To Distort Obama's Immigration Enforcement Record""]"
/issues/border-security,[u'What Happens When A News Organization Treats Immigrants As People']
/issues/border-security,"[u""Fox News Latino Destroys Fox News' Narrative On Immigration Enforcement""]"
/issues/border-security,"[u""Fox Imagines That Obama Is Letting Immigrant Rapists And Murderers Loose On The Streets (They're Wrong)""]"
/issues/border-security,[u'Right-Wing Media Angry Obama Administration Has Deported Criminals']
/issues/border-security,[u'Fox Casts Doubt On Obama Immigration Enforcement As 2 Millionth Deportation Nears']
/issues/border-security,[u'Do Americans Really Want More Undocumented Immigrants Deported?']
/issues/border-security,"[u""Bill O'Reilly Doesn't Understand Why Obama Can't Fulfill Conservatives' Closed-Border Fantasy""]"
/issues/border-security,[u'DHS Debunks Fox News-Created Asylum Controversy']
/issues/border-security,[u'Fox News Relies On Anti-Immigrant Nativists To Push Asylum Myths']
/issues/border-security,"[u'Fox News\' Idea Of Immigration ""Loophole"" Is Long-Standing Asylum Policy']"
/issues/border-security,"[u""Laura Ingraham's Hypocrisy Over Dream 9 Immigration Protest""]"
/issues/border-security,"[<em>WSJ</em>, u' Lets GOP Run With Border Security First Argument Its Editorials Have Criticized']"
/issues/border-security,[u'Conservative Media Ignore That Immigration Reform Would Greatly Reduce Visa Overstays']
/issues/border-security,"[<em>Face The Nation</em>, u' Forwards Conservative Arguments On Border Enforcement']"
/issues/border-security,"[u""Fox News' Newest Dishonest Chart: Immigration Enforcement""]"
/issues/border-security,[u'Fox News Seizes On Mexico-Made Border Patrol Uniforms To Fuel Myths Of Afghanistan-Style Attacks']
/issues/border-security,"[u""Media's Missed Opportunity On Drones Debate""]"
/issues/border-security,[u'Bush DHS Sec. Michael Chertoff Dismantles Fox News Framing That Undocumented Immigrant Releases Are Intentional']
/issues/border-security,"[u'Fox Guest Mary Walter: Immigrants May Not Want Citizenship Because They\'re ""Not Paying Taxes And Enjoying All The Benefits""']"
/issues/border-security,"[u""Fox's Bolling Asks If The Government Is Being Honest About Prioritizing Deportation Of Criminals""]"
/issues/border-security,"[u""Fox's Monica Crowley Ignores Facts To Attack U.S. Border Enforcement Policy""]"
/issues/border-security,"[u'Ingraham Greets Ruling On AZ Law By Smearing Immigrants, Distorting Immigration Facts']"
/issues/border-security,"[u'Fox\'s McFarland: ""We Should Eventually Take Our Troops Out Of Europe And Put Them On The Mexican Border""']"
/issues/border-security,"[u""Appearing For The Defense Of Arizona's Controversial Immigration Law: Fox News""]"
/issues/border-security,"[<em>Fox &amp; Friends</em>, u"": Fox News' Top Misinformer Of 2011""]"
/issues/border-security,"[u""Fox's Van Susteren Tries To Gin Up Outrage Over Uncontroversial Border Crossing Proposal""]"
/issues/border-security,"[u'Fuzzy Numbers: Fox\'s Bolling Claims Obama Has Cut Border Spending ""In Half""']"
/issues/border-security,[u'Fox Pushes AZ Efforts To Build Border Fence Despite Its Predicted High Cost And Unproven Effectiveness']
/issues/border-security,"[u'Fox\'s Gutfeld: ""I Am For A Border Fence, But To Keep The Attractive Immigrants In""']"
/issues/border-security,"[u'Kilmeade On KISS\' Gene Simmons: ""He Should Run For President""']"
