SubCat,Headlines
/issues/budget,"[u'Limbaugh: The Government ""Damn Well Needs To Be Shut Down"" To Block Executive Action On Immigration']"
/issues/budget,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/budget,[u'Conservative Media Deny The Facts: Lack Of Funding Hurts Research On Diseases Like Ebola']
/issues/budget,"[u'Fox\'s Gasparino Calls Public Pensions ""Ponzi Schemes,"" Wishes More ""Stigma"" Was Attached To Welfare']"
/issues/budget,"[u""Fox's Favorite Economist Has A New Bogus Calculation""]"
/issues/budget,"[u'Food Stamp Program Hits Historic Low For Waste, Fox Attacks It Anyway']"
/issues/budget,"[u'REPORT: Weekday Broadcast And Cable Evening News Economic Coverage Highly Polarized, Lacks Expert Analysis']"
/issues/budget,"[u'Top New Jersey Papers Largely Overlook NJ Pension ""Pay-To-Play"" Allegations']"
/issues/budget,"[<em>Columbus Dispatch</em>, u"" Flip-Flops On Sequestration's Impact""]"
/issues/budget,"[u'Ron Fournier, Tim Geithner, And The Perils Of Relying On Book Excerpts']"
/issues/budget,"[u'Fox Misleads On Impact Of Budget Sequestration, Calls For Deeper Cuts']"
/issues/budget,"[u'REPORT: Weekday Broadcast And Cable Evening News Economic Coverage Lacks Context, Economists']"
/issues/budget,"[u""Fox Touts Paul Ryan's New Budget Plan, Ignores Economists' Claims Of Negative Impact""]"
/issues/budget,[u'Pentagon Finds The Repetitious Benghazi Hearings Have Cost Millions']
/issues/budget,[u'REPORT: Broadcast Evening News Ignores Public Cost Of Low Minimum Wage']
/issues/budget,"[u""What Economists Say About Paul Ryan's Report On Poverty""]"
/issues/budget,"[<em>The Hill</em>, u""'s Viebeck Revives Billion-Dollar Healthcare.gov Myth On Fox""]"
/issues/budget,"[u""REPORT: Print Media's Misleading Coverage Of Social Security Figures""]"
/issues/budget,"[<em>New York Times</em>, u' Improves Its Budget Reporting As Other Outlets Falter']"
/issues/budget,"[u'REPORT: Print Media Mislead Readers On Economy With Raw Data, Little Context']"
/issues/budget,"[u'5 Years After Successful Stimulus, Right-Wing Media Still In Denial']"
/issues/budget,[u'Schooling Fox On The Stimulus With One Chart']
/issues/budget,"[u'Fox Guest Says Deficit Is A Graver Threat To Future Generations Than ""Notion"" Of Climate Change']"
/issues/budget,[u'Fox Host Stuart Varney: Debt Ceiling Vote Is A Good Thing Because It Will Help Republicans Win Elections']
/issues/budget,[u'The Real Wastebook: Giveaways For Coal Industry']
/issues/budget,"[u'""Extending The Hand-Out Society"": Fox\'s Varney Twists CBO Report On Obamacare']"
/issues/budget,[u'Fox Math: Slower Growth Means The Shutdown Worked']
/issues/budget,"[u""What Fox Won't Tell You About Scott Walker's Economic Record""]"
/issues/budget,"[u'Fox\'s Lou Dobbs: Obama Creating A ""Wedge Issue"" By Highlighting Income Inequality']"
/issues/budget,"[u""Fox's Poll On Inequality Doesn't Show What They Think It Does""]"
/issues/budget,"[u""Fox's Cavuto Still Thinks Infrastructure Investment Is A Government Racket""]"
/issues/budget,"[u""The Media's Deficit Obsession""]"
/issues/budget,[u'REPORT: What Weekday Broadcast And Cable Evening News Forgot To Cover On The Economy']
/issues/budget,"[u""Media's Latest Unemployment Myth: Benefits Have Gone On Too Long""]"
/issues/budget,"[u""6 Ways Media Attacked America's Social Safety Net In 2013""]"
/issues/budget,[u'Conservatives Revolting On Ryan Budget Deal']
/issues/budget,"[u'To Fox News, Kicking People Off Unemployment Insurance Is Good Economic Policy']"
/issues/budget,"[u""To Fox's Cavuto, A Dangerously Underfunded Infrastructure Budget Is More Than Enough""]"
/issues/budget,"[u""Broadcast News Doesn't Have Time For Full Employment""]"
/issues/budget,[u'How Right-Wing Media Have Impeded The Return To Full Employment']
/issues/budget,"[u""How Print And Broadcast Media Are Hiding Obamacare's Success In Controlling Costs""]"
/issues/budget,[u'Fox News Misleads On Cost Of Medicaid Expansion For States']
/issues/budget,"[<em>WSJ</em>, u' Embraces Anti-Growth Policy To Push Economic Growth']"
/issues/budget,[u'Laura Ingraham Forgets When The Government Shutdown Happened']
/issues/budget,"[u'Fox\'s Blakeman: ""Like A Drug Dealer,"" Government Is Handing Out ""Dependency"" To Americans Through Food Stamps']"
/issues/budget,"[u""REPORT: The Food Stamp Cuts The Media Won't Tell You About""]"
/issues/budget,"[u'Rush: ""God Love The Sequester""']"
/issues/budget,"[u'Levin: U.S. Chamber of Commerce ""Can Go To Hell"" For Supporting Stimulus And Immigration Reform']"
/issues/budget,"[u'REPORT: Immediately After Shutdown Deal, Print Media Pivot To Debt Reduction']"
/issues/budget,"[<em>WSJ</em>, u""'s Moore Hates The Slow Economy But Loves The Sequester Weighing It Down""]"
/issues/budget,"[u'Labor Report Highlights Need For Media To Focus On Jobs, Not Deficits']"
/issues/budget,"[u""Incredulous Gretchen Carlson Can't Face Facts About Food Stamp Fraud""]"
/issues/budget,"[u'After Years Of Highlighting Waste In SNAP, Fox Downplays Waste Of Shutdown']"
/issues/budget,[u'Fox Continues To Deny That GOP Shutdown Has Harmed Economy']
/issues/budget,"[u'Fox\'s Bolling: Someone\'s ""Getting To"" Ratings Agencies Who Point Out Economic Effects Of GOP Shutdown']"
/issues/budget,"[u""It's Like Fox Doesn't Want To Understand How The Debt Limit Works""]"
/issues/budget,"[u'Fox\'s Kelly: Deal To End Shutdown ""Doesn\'t Look Like A Win For The American People"" Because It Doesn\'t Address Debt']"
/issues/budget,"[u""Fox's Dobbs Dismisses Fact That Government Shutdown Has Hurt Economy""]"
/issues/budget,[u'Fox Cites Discredited Author Ed Klein To Whitewash GOP Responsibility For Government Shutdown']
/issues/budget,[u'Fox Ignores Debt Ceiling Brinkmanship In Fitch Downgrade Warning']
/issues/budget,"[u'MSNBC\'s Joe Scarborough: ""The Republican Brand Has Been, I Believe, So Shattered"" By GOP\'s Dysfunction']"
/issues/budget,"[u'VIDEO: Right-Wing Media Accuse President Obama Of Debt Ceiling ""Scare Tactics""']"
/issues/budget,"[u""Fox History vs. Actual History: Fox's Shutdown Timeline Omits The Role Of The GOP""]"
/issues/budget,"[u'""Default By Another Name:"" 5 Economists Who Burst Right-Wing Media\'s Default Denial']"
/issues/budget,"[<em>WSJ</em>, u' Celebrates Destructive Shutdown That Costs Economy Billions']"
/issues/budget,"[u'Hannity Calls The Shutdown He Campaigned For ""The Obama-Reid Shutdown""']"
/issues/budget,[u'Media Keeps Up False Equivalency Reporting On Government Shutdown']
/issues/budget,[u'Selective Outrage And The Right-Wing Noise Machine']
/issues/budget,[u'Fox News Attacks Obama For Correctly Explaining The Debt Ceiling']
/issues/budget,"[<em>WSJ </em>, u'Promotes Default Trutherism']"
/issues/budget,"[u""MSNBC's Chris Hayes: Media's Gerrymandering Narrative Doesn't Explain Radical Republicans""]"
/issues/budget,[u'Erin Burnett At Odds With Her CNN Colleagues Over Debt Ceiling']
/issues/budget,"[u'Fox\'s Bolling: Republicans ""Have To Stay Firm"" Until Debt Ceiling Default Date']"
/issues/budget,"[u'Hannity: ""Worst-Case Scenario"" Is If Republicans ""Give In"" On Government Shutdown']"
/issues/budget,[u'REPORT: Nightly News Shutdown Coverage Shrugs Off Effects On The Poor']
/issues/budget,"[u'Fox\'s Napolitano Thinks Education, Justice, And Health Are Federal Programs ""We Don\'t Really Need""']"
