SubCat,Headlines
/issues/cabinet-agencies,"[u""Fox's Kelly Asks GOP Senator If He Is Willing To Defund DOJ, Other Departments Over Executive Action On Immigration""]"
/issues/cabinet-agencies,"[u""MSNBC's Maddow Blasts Right-Wing Media For Attacking Wrong Lorretta Lynch""]"
/issues/cabinet-agencies,"[u""Breitbart's Attack On Obama Attorney General Nominee Goes After The Wrong Loretta Lynch""]"
/issues/cabinet-agencies,"[<em>Washington Post</em>, u""'s Controversial Secret Service Reporting Faces Mounting Scrutiny Over Unnamed Sources""]"
/issues/cabinet-agencies,"[u'Conservative Media Think This Administrative Tweak To The Definition Of ""Mother"" Means Obama Is ""Selling U.S. Citizenship""']"
/issues/cabinet-agencies,"[u'Source For Controversial ', <em>Wash. Post</em>, u' Story On Secret Service Resigns Amid Prostitution Allegations']"
/issues/cabinet-agencies,"[u""Fox Repeats Lie That Benghazi Suspect's Indictment Contradicts Obama Administration Narrative Of The Attacks""]"
/issues/cabinet-agencies,"[u""Huffington Post's Calderone Calls Out "", <em>Wash. Post</em>, u' Use Of Uncorroborated Anonymous Source In Prostitution Story']"
/issues/cabinet-agencies,"[u""Fox's Bob Beckel Calls Out His Network's Ebola Sensationalism""]"
/issues/cabinet-agencies,"[u""Fox Media Critic Praises Shepard Smith, Knocks O'Reilly For Ebola Coverage""]"
/issues/cabinet-agencies,"[u""O'Reilly Ignores Health Care Experts To Lecture CDC's Dr. Tom Frieden On Why U.S. Needs A Travel Ban To Control Ebola""]"
/issues/cabinet-agencies,"[u'Fox Host Denies Fact That Funding Problems Hinder Ebola Research: ""Patently False""']"
/issues/cabinet-agencies,"[u'Fox Attack On Obama Administration For Not Saying ""Jihad"" Ignores Similar Bush Policy']"
/issues/cabinet-agencies,[u'Conservative Media Deny The Facts: Lack Of Funding Hurts Research On Diseases Like Ebola']
/issues/cabinet-agencies,"[u""Fox's CDC Smear Campaign Calls For Director's Resignation, Compares Him To Saddam's Propagandist""]"
/issues/cabinet-agencies,"[<em>Fox &amp; Friends</em>, u' Wants An Ebola ""Czar"" After Suggesting Use Of Czars Was Turning Us Into Russia']"
/issues/cabinet-agencies,[u'Megyn Kelly Sets Up Call For New Benghazi Hearing With Deceptively Cut Video']
/issues/cabinet-agencies,[u'Fox News Runs Wild With Claims About White House Ties To Prostitution Scandal']
/issues/cabinet-agencies,[u'Fox Analyst Suggests The Federal Government Is Holding Back Ebola Treatments']
/issues/cabinet-agencies,"[u""Fox's Dobbs Accuses CDC Director Of Not Prioritizing Public Health In Handling Of Ebola""]"
/issues/cabinet-agencies,"[u""Conservative Media Advocate Travel Bans From Ebola-Stricken Countries, Against Experts' Advice""]"
/issues/cabinet-agencies,"[u'Limbaugh: U.S. Will Never Take Steps To Stop Ebola ""Because That Would Have Deleterious Effects On The President\'s Political Agenda""']"
/issues/cabinet-agencies,[u'Media Promote Ebola Fear-Mongering Stunt']
/issues/cabinet-agencies,"[u""MSNBC's Ed Schultz Condemns "", <em>Fox &amp; Friends</em>, u' Endorsement Of Allen West As Secret Service Director']"
/issues/cabinet-agencies,"[<em>Politico</em>, u"" Lets Discredited Gossip-Monger Suggest Obama's Assassination May Be Needed To Reform Secret Service (Updated)""]"
/issues/cabinet-agencies,"[u""Conservative Media's Khorasan Conspiracy: Obama Administration Invented Terror Cell To Hide Its Al Qaeda Roots""]"
/issues/cabinet-agencies,"[u'Obama Cites Assessment Of Intelligence Community, Media Accuse Him Of Playing The Blame Game']"
/issues/cabinet-agencies,"[u'Stalin, The Nazis And A Serial Killer: The Villains Right-Wing Media Compared To Eric Holder']"
/issues/cabinet-agencies,"[u'Fox Host Calls Eric Holder One Of The ""Most Dangerous Men In America""']"
/issues/cabinet-agencies,"[u""Victory Laps And Conspiracies: Conservative Media Respond To Eric Holder's Resignation Announcement""]"
/issues/cabinet-agencies,"[u""Fox Won't Let Positive ACA Enrollment Numbers Stop Its Attempt To Spin Them As Negative""]"
/issues/cabinet-agencies,"[u""Fox Leaves Out Important Context Of Leon Panetta's Statement On Iraq Troop Withdrawal""]"
/issues/cabinet-agencies,[u'Fox Host Baselessly Escalates Latest Benghazi Conspiracy Theory: Iran-Contra Edition']
/issues/cabinet-agencies,"[u""Even Some At Fox News Are Skeptical Of Attkisson's Latest Benghazi Conspiracy Theory""]"
/issues/cabinet-agencies,"[<em>Media Matters</em>, u'\' Brock: ""We Need To Consider The Source"" Of New Baseless Benghazi Claim']"
/issues/cabinet-agencies,"[u'On Fox, Latest ""Benghazi Bombshell"" Progresses From Baseless Speculation To Absurd Allegations']"
/issues/cabinet-agencies,"[u""REPORT: Fox's Benghazi Obsession By The Numbers""]"
/issues/cabinet-agencies,"[<em>Special Report</em>, u' Promotes Benghazi Conspiracy Theory Accusing Clinton State Department Of Hiding Documents']"
/issues/cabinet-agencies,"[u'""Scrubbed"" Benghazi Docs ""Bombshell"" Is Based On Evidence-Free Report By Discredited Benghazi Hoax Architect']"
/issues/cabinet-agencies,"[u'Right-Wing Media Cherry-Pick Labor Dept. Emails To Create ""Bombshell"" White House ""Cover-Up""']"
/issues/cabinet-agencies,"[u'Fox Changes Meaning Of ""Stand Down"" Order To Keep The Benghazi Hoax Alive']"
/issues/cabinet-agencies,"[u""Fox's Latest Benghazi Hoax Used As Justification For Wasteful Select Committee""]"
/issues/cabinet-agencies,"[u""Right-Wing Media Use O'Reilly's Attack On A State Department Spokeswoman To Denounce Obama's Islamic State Strategy""]"
/issues/cabinet-agencies,[u'Conservative Media Echo Spurious Report On Threat Of Islamic State Terrorists Crossing U.S.-Mexico Border']
/issues/cabinet-agencies,[u'Fox Reporter Invents Flip-Flop To Suggest Obama Forced Military To Downplay Islamic State Threat']
/issues/cabinet-agencies,"[u""CNN Panel Dismisses Criticism Of White House Officials Attending Slain Teen's Funeral""]"
/issues/cabinet-agencies,"[u'Fox\'s Tantaros: Eric Holder Runs The Justice Department ""Like The Black Panthers Would""']"
/issues/cabinet-agencies,"[u'Fox Calls Record Bank Of America Financial Settlement ""A Shakedown"" By Government']"
/issues/cabinet-agencies,"[u""Fox Ignores Bush Precedent For DOJ Investigation Of James Foley's Murder""]"
/issues/cabinet-agencies,"[u'Fox Turns To New Black Panthers Fabulist To Argue ""Eric Holder Cannot Be Trusted"" To Investigate Michael Brown Shooting']"
/issues/cabinet-agencies,"[u'Fox\'s Bolling Doubts Eric Holder Can ""Be Fair And Balanced"" On ""A Race Case"" Like Michael Brown Shooting']"
/issues/cabinet-agencies,"[u'Fox\'s Todd Starnes Accuses Obama Administration Of ""Orchestrating The Michael Brown Tragedy""']"
/issues/cabinet-agencies,[u'Fox Gives Liz Cheney A Platform To Attack Obama For Mentioning Torture']
/issues/cabinet-agencies,[u'Warning: This Debunked Benghazi Myth Is Back On Fox']
/issues/cabinet-agencies,[u'Fox Guest Calls For Expanding Benghazi Select Committee Before It Even Meets']
/issues/cabinet-agencies,[u'Fox News Is Disappointed That U.S. Deportation Policy Is Focused On Felons']
/issues/cabinet-agencies,[u'Fox Host Megyn Kelly Flubs Ukraine Flight Limits To Bash Obama Over Israel']
/issues/cabinet-agencies,"[u'Fox\'s Ralph Peters: John Kerry\'s Trip To Middle East To Forge Cease-Fire Is An Attempt To ""Rescue Hamas""']"
/issues/cabinet-agencies,"[u'Limbaugh Falsely Claims ""Not A Single Republican Senator"" Opposed Holder\'s Nomination']"
/issues/cabinet-agencies,"[u""Fox Falsely Blames Administration's Tweaks For Ending CBO's Obamacare Scoring""]"
/issues/cabinet-agencies,[u'Will The Media Carry Water For Darrell Issa -- Again?']
/issues/cabinet-agencies,[u'From Bundy To Border Fences: Right-Wing Hypocrisy Over Eminent Domain']
/issues/cabinet-agencies,"[u""Myths And Facts About The EPA's Move To Protect Drinking Water""]"
/issues/cabinet-agencies,"[u'Fox\'s Van Susteren Pushes Overblown Right-Wing Claim That Ex-IRS Official ""Target[ed] A Sitting U.S. Senator""']"
/issues/cabinet-agencies,"[u""Fox News' Newest IRS Email Conspiracy Theory Goes Up In Flames""]"
/issues/cabinet-agencies,[u'How An AP Headline Sparked A New Right-Wing Media IRS Conspiracy']
/issues/cabinet-agencies,"[<em>Hannity</em>, u' Pushes Debunked Conspiracy Theory About IRS Computer Crashing After GOP Letter']"
/issues/cabinet-agencies,[u'Alex Jones Conspiracy Theory On Immigration Makes Its Way To CNN']
/issues/cabinet-agencies,"[u""Fox's George Will Likens Lost IRS Emails To Watergate""]"
/issues/cabinet-agencies,[u'Conservative Media Stoke Fears About Humanitarian Crisis Causing Children To Enter U.S.']
/issues/cabinet-agencies,"[u""CNN's Donna Brazile Shoots Down The Right's Baseless IRS Scandal-Mongering""]"
/issues/cabinet-agencies,"[u""NBC's David Gregory Falls Silent In The Face Of Debunked Benghazi Myths""]"
/issues/cabinet-agencies,[u'Fox Reverts To Discredited Benghazi Narratives To Attack Hillary Clinton']
/issues/cabinet-agencies,"[u""Fox's Bret Baier Rehashes Already-Answered Benghazi Question During Clinton Interview""]"
/issues/cabinet-agencies,"[<em>National Journal</em>, u""'s Major Garrett Overlooks Hillary Clinton's Record On Women's Rights""]"
/issues/cabinet-agencies,"[u""MSNBC's Mika Brzezinski Amends Thoughts On Hillary Clinton""]"
/issues/cabinet-agencies,"[u'Media Attack Hillary Clinton\'s Personal Finances To Paint Her As ""Out Of Touch""']"
/issues/cabinet-agencies,"[u""Fox News Swaps Fact With Fiction On Amb. Stevens' Presence In Benghazi""]"
/issues/cabinet-agencies,"[<em>Outnumbered</em>, u' Host: ""Other Than Being The Wife Of The President,"" What Are Hillary Clinton\'s Qualifications To Hold Office?']"
/issues/cabinet-agencies,[u'Foreign Policy Experts Vs. Media On Talking To The Taliban']
/issues/cabinet-agencies,"[u""CNN Highlights Sen. McCain's Conflicting Stances On Prisoner Exchange""]"
/issues/cabinet-agencies,[u'CNN Lets John McCain Off The Hook For Shifting Support Of Prisoner Exchange']
/issues/cabinet-agencies,"[u'To Right-Wing Media, Bergdahl Release Is A Distraction From VA Problems']"
/issues/cabinet-agencies,"[u'What Bob Woodward May Not Know About ""Neutral"" Benghazi Investigations']"
/issues/cabinet-agencies,"[u'""Obamacare For The Air"": How Reporting On EPA\'s Clean Power Plan Misses Republican Extremism']"
/issues/cabinet-agencies,"[u""Right-Wing Media Attack On Bergdahl's Rescue Ignore Military's Commitment To Freeing POWs""]"
/issues/cabinet-agencies,"[u""Conservative Writer Stephen Hayes Agrees: Critics Mischaracterized Clinton's Benghazi Testimony""]"
/issues/cabinet-agencies,[u'Fox Host Calls Out Colleagues For Politicizing Benghazi']
/issues/cabinet-agencies,[u'Fox Hosts Nominate Fox Contributors For VA Secretary Position']
/issues/cabinet-agencies,"[u""Sean Hannity Ignores Obama Administration's Efforts To Provide Care To Waiting Veterans""]"
/issues/cabinet-agencies,"[u""Right-Wing Media Draw False Equivalence To Downplay Bush Administration's Deliberate Leak Of CIA Covert Agent's Identity""]"
/issues/cabinet-agencies,"[u""Fox's Revisionist History On The State Department's Handling Of Boko Haram""]"
/issues/cabinet-agencies,"[u""Fox Puts Words In Pelosi's Mouth About Benghazi Select Committee""]"
/issues/cabinet-agencies,"[u'Fox\'s Bolling: ""It\'s A Legitimate Question Whether There\'s Any Lingering Damage"" To Hillary Clinton\'s Brain']"
/issues/cabinet-agencies,"[u'CNN President Jeff Zucker: ""We\'re Not Going To Be Shamed"" Into Covering Benghazi Select Committee']"
/issues/cabinet-agencies,[u'Limbaugh Uses VA Backlog To Revive Death Panels Myth']
/issues/cabinet-agencies,"[u'Rush Limbaugh Compares VA Backlog To Genocide, Obama To Hitler']"
/issues/cabinet-agencies,"[u'CNN\'s Cuomo Challenges Rove\'s Clinton Smear: ""When Do The Better Ideas Get Introduced? ...Should You Pander To People\'s Fears?""']"
/issues/cabinet-agencies,"[u""Daily Beast Distorts Clinton's Iran Comments To Accuse Her Of Hypocrisy""]"
/issues/cabinet-agencies,"[u""IRS, Sen. Carl Levin, And The Truth Behind Right-Wing Media's Latest Phony Conspiracy Theory""]"
/issues/cabinet-agencies,"[u'""Fox Facts"" On The IRS Aren\'t Facts At All']"
/issues/cabinet-agencies,"[u""What Right-Wing Media Won't Tell You: Cincinnati IRS Initially Flagged Tea Party Group""]"
/issues/cabinet-agencies,[u'Fox Manufactures Benghazi Outrage With Cropped Video Of Susan Rice']
/issues/cabinet-agencies,"[u""Anatomy Of A Clinton Smear: From Rove's Baseless Speculation To Right-Wing Media's Calls For Evidence""]"
/issues/cabinet-agencies,"[u""Fox's "", <em>The Five</em>, u' Smears Obama With Deceptively Edited Video Of Immigration Reform Comments']"
/issues/cabinet-agencies,"[u""Fox Guest Complains Media Won't Advance Rove's Smear Of Clinton""]"
/issues/cabinet-agencies,"[u""Rove Promises That Clinton's Health And Age Will Be Major Line Of Questioning In Possible 2016 Run""]"
/issues/cabinet-agencies,"[u""Hannity Echoes Rove, Falsely Inflates Hillary Clinton's Hospital Stay""]"
/issues/cabinet-agencies,"[u'Limbaugh: ""If Hillary Has Brain Damage, What Difference Does It Make?""']"
/issues/cabinet-agencies,"[u'Karl Rove: ""I Didn\'t Say She Had Brain Damage""']"
/issues/cabinet-agencies,"[u""Fox's Karl Rove Reportedly Claims Hillary Clinton Has Brain Damage""]"
/issues/cabinet-agencies,"[u""Fox's Dana Perino Debunks Right-Wing Conspiracy On Geithner's New Book""]"
/issues/cabinet-agencies,"[u""Fox's Megyn Kelly Pushes Notion That Hillary Clinton Tried To Appease Boko Haram""]"
/issues/cabinet-agencies,"[u'Fox\'s Ralph Peters: ""Subpoena"" Kerry Over Benghazi ""To Pry This Stalinist Administration Open""']"
/issues/cabinet-agencies,"[<em>NY Post</em>, u' Doubles Down On Unemployment Conspiracy Theory When Faced With Debunking']"
/issues/cabinet-agencies,"[u'Fox\'s Shannon Bream Calls Clemency Initiative For Nonviolent Drug Offenders ""Get Out Of Jail Free Cards""']"
/issues/cabinet-agencies,"[u""CNN's Keilar Cedes To Right-Wing Talking Points On Clinton Record""]"
/issues/cabinet-agencies,"[u'Watch ', <em>The Daily Show</em>, u"" Demolish Hannity's Hypocritical Support Of Rogue Rancher Cliven Bundy""]"
/issues/cabinet-agencies,"[u'Hannity: ""I Don\'t Apologize"" For Touting Cliven Bundy\'s Standoff With Federal Agents']"
/issues/cabinet-agencies,[u'Fox Scrapes Conspiracy Barrel In Cliven Bundy Defense']
/issues/cabinet-agencies,[u'Fox Champions Bundy Supporters Who Threatened Violence Against Federal Agents']
/issues/cabinet-agencies,"[u""Fox's Carlson Continues To Push Misleading Report On IRS Emails, Ignores Correction""]"
/issues/cabinet-agencies,[u'Hannity Gives Platform For Lawless Rancher To Demand Forcible Disarmament Of Federal Officers']
/issues/cabinet-agencies,[u'The Nevada Tortoise War Is A Right-Wing False Flag']
/issues/cabinet-agencies,[u'No Love Lost Between Conservative Media And Sebelius Upon Her Resignation']
/issues/cabinet-agencies,[u'Fox Falsely Claims Obama Wants To Give Up Control Of The Internet To The U.N.']
/issues/cabinet-agencies,[u'Fox Runs Defense For Rep. Gohmert After Altercation With Eric Holder']
/issues/cabinet-agencies,[u'Hannity Says He Would Have Waterboarded Terror Detainees Himself']
/issues/cabinet-agencies,"[u'Fox Asks If It\'s ""Foolhardy"" For Obama To ""Give Away"" Internet By Following 16-Year-Old Plan']"
/issues/cabinet-agencies,[u'Fox News Falsely Claims Obama Is Giving The Internet Away']
/issues/cabinet-agencies,"[u'Brent Bozell: Iran-Contra Is ""Piddly Stuff"" Compared To IRS ""Scandal""']"
