SubCat,Headlines
/issues/campaign-finance,"[<em>CBS Evening News</em>, u' Hides GOP Dark Money Advantage']"
/issues/campaign-finance,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/campaign-finance,[u'Conservative Media Try To Undercut Shaheen Campaign With Last-Minute Conspiracy-Mongering']
/issues/campaign-finance,[u'Sen. Bernie Sanders Blasts Corporate Media For Not Reporting On The Money In Politics Crisis']
/issues/campaign-finance,[u'Fox News Report On Anti-Keystone XL Spending Is Off By More Than $40 Billion']
/issues/campaign-finance,"[u""Are Newspapers In Battleground States Covering Dark Money's Unprecedented Influence On The Midterms?""]"
/issues/campaign-finance,"[<em>WSJ</em>, u' Wants To Kill A Key Piece Of Post-Watergate Campaign Finance Reform']"
/issues/campaign-finance,[u'The Midterm Election Spending Fox Actually Wants To Talk About']
/issues/campaign-finance,"[u'While Media Promote Claim Of Equal Influence, The Koch Bros. Outspend Steyer By Huge Margins']"
/issues/campaign-finance,"[u'Fox News Ignores ""Dark Money"" To Pretend Democrats Are Destroying Republicans In Election Spending']"
/issues/campaign-finance,"[<em>WSJ</em>, u' Vilifies Efforts To Increase Corporate Political Transparency As ""Partisan Agitprop""']"
/issues/campaign-finance,"[<em>Fox News Sunday</em>, u"" Fails To Disclose Karl Rove's Advocacy In Races He Analyzes""]"
/issues/campaign-finance,"[u'Five Important Stories About Money In Politics That ', <em>Fox News </em>, <em>Sunday</em>, u"" Didn't Cover""]"
/issues/campaign-finance,"[<em>Fox News Sunday</em>, u"" Fails To Disclose Karl Rove's Stake In The Senate Races He Discusses""]"
/issues/campaign-finance,"[u'Sen. Sanders ""Disappointed"" That Media Underreports Crisis Of Big Money In Politics']"
/issues/campaign-finance,"[<em>PBS</em>, u' ', <em>News</em>, <em>H</em>, <em>our</em>, u' Covers Big Money In Politics More Than All Other Networks Combined']"
/issues/campaign-finance,"[u'NRO Misinforms On Money In Politics And Proposed ', <em>Citizens United</em>, u' Amendment']"
/issues/campaign-finance,"[u'On ', <em>The Bill Press Show</em>, u', ', <em>Media Matters'</em>, u"" Jeremy Holden Discusses George Will's Ethically Challenged Koch Connection""]"
/issues/campaign-finance,"[u""George Will's Ethical Problems Continue With The Kochs And AFP""]"
/issues/campaign-finance,[u'Myths And Facts About The Koch Brothers']
/issues/campaign-finance,"[u""CNN Lets Koch Brothers' Political Arm Attack Progressive Donor Tom Steyer""]"
/issues/campaign-finance,[u'Fox News Hides Koch Funding Influence To Shield Billionaires From Criticism']
/issues/campaign-finance,"[<em>WSJ </em>, u""Celebrates Conservative Justices' Rejection of Congress And Campaign Finance Precedent""]"
/issues/campaign-finance,"[u'Bribery, Money-Laundering, And Islamophobia: The Sheldon Adelson Story The Media Forgot']"
/issues/campaign-finance,"[u'Fox Has Consistently Minimized Koch Campaign Funding, But The Truth Is Out']"
/issues/campaign-finance,"[u'Limbaugh: The Justice Department Is ""Trying To Criminalize As Many Republicans And Conservatives As They Can""']"
/issues/campaign-finance,"[u'In Desperate Search For A Scandal, Fox Revisits Manufactured Gibson Guitar Controversy']"
/issues/campaign-finance,"[u""Fox's Luntz Fails To Disclose Relationship With Former GOP Clients He Praises""]"
/issues/campaign-finance,[u'How The Dirty Energy Money Funding Climate Inaction Slips By The Press']
/issues/campaign-finance,[u'Fox Hosts Undisclosed Pro-Romney PAC Chair To Attack Obama']
