SubCat,Headlines
/issues/class,"[u'Bill O\'Reilly Revives Myth That ""You Can Make More Money ... Going On The Dole Than You Can By Working""']"
/issues/class,"[u""On CNN's "", <em>OutFront</em>, u', David Brock Explains How Criticism Of Clinton Wealth Comment Is Based On Incomplete Quote']"
/issues/class,"[u'NRO\'s ""Latest Evidence Of Voter Fraud"" Lacks Any Actual Evidence']"
/issues/class,"[u""Fox's Payne: Raising The Minimum Wage Rewards Mediocrity""]"
/issues/class,"[u'Fox\'s McDowell: ""When You\'re Relying On The Government To Support Yourself, There Is No Sense Of Self-Worth There""']"
/issues/class,"[u""Fox's Anti-Tax Zealotry Leads To Conclusion That One Should Make Less Money In Order To Avoid Paying Taxes""]"
/issues/class,"[u'Fox Business Complains Children Receiving Food Assistance Participate In ""Entitlement Culture""']"
/issues/class,"[u'Fox\'s Gutfeld: ""The Biggest Myth Of All Time Is That Sweatshops Are Bad""']"
/issues/class,"[u'Limbaugh Revives ""Santa Claus"" Smear, Suggests Democrats Want Welfare State To Grow At Expense Of Middle Class']"
/issues/class,"[u""Fox Echoes GOP's Bogus Claim That Taxes On Wealthiest Will Hurt Economy, Jobs""]"
/issues/class,[u'Conservative Media Reveal Their Contempt For Americans Who Reelected Obama']
/issues/class,"[u'Romney Abandons 47 Percent Comments, Throwing Right-Wing Media Under The Bus']"
/issues/class,"[u'Fox News, Wingnut Welfare, And The 47 Percent']"
/issues/class,"[u'Limbaugh: Obama ""Is A Revolutionary"" Who Believes Economic Hardship Is Price To Pay For Country\'s Founding']"
/issues/class,"[u'Class Warrior Carlson Complains About Obama\'s ""Sense Of Unity""']"
/issues/class,"[u'Fox\'s Doocy: ""It\'s Hard To Feel Unified"" When Obama ""Pit[s] One Class Of Americans Against The Other With Class Warfare""']"
/issues/class,"[u'Fox\'s Carlson Still Claiming President Obama Said ""Successful People Don\'t Have Good Values""']"
/issues/class,"[u'Fox\'s Gutfeld: Obama Is ""Running Against Success, He\'s Waging A Campaign Against Achievement""']"
