SubCat,Headlines
/issues/climate-change,"[u""CNN's Tapper Corrects GOP Senator's Climate Change Denial""]"
/issues/climate-change,[u'Fox Revives Debunked Keystone XL Sustainable Jobs Myth']
/issues/climate-change,"[u""Right-Wing Media Paint Historic Climate Agreement As Proof Of Obama Administration's Weakness""]"
/issues/climate-change,[u'Network News Silent On Climate Change In Election Coverage']
/issues/climate-change,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/climate-change,"[<em>Stonewalled</em>, u"": Sharyl Attkisson's Failed Attempt To Rehabilitate Her Bogus Reporting""]"
/issues/climate-change,[u'Fox News Report On Anti-Keystone XL Spending Is Off By More Than $40 Billion']
/issues/climate-change,[u'Fox News Ignores Climate Change On The Anniversary Of Hurricane Sandy']
/issues/climate-change,"[u'Fox Host Praises Weather Channel Co-Founder\'s Climate Change Denial: ""It\'s Weather, Not Global Warming""']"
/issues/climate-change,"[u""Weather Channel Co-Founder's Climate Denial Finds Warm Welcome At Fox News""]"
/issues/climate-change,"[u""To Fox News, It's Never The Right Time To Discuss Climate Change""]"
/issues/climate-change,"[u""35,000 Beached Walruses Still Can't Convince The Daily Caller On Climate Change""]"
/issues/climate-change,[u'STUDY: CNN Skimps On Coverage During Climate Week']
/issues/climate-change,"[<em>WSJ</em>, u"" Editorial Conceals ALEC's Climate Change Denial""]"
/issues/climate-change,"[u""Conservative Media's Crocodile Tears On Climate Change And The Poor""]"
/issues/climate-change,[u'Fox Economist Proposes Energy Plan That Would Increase Terrorism']
/issues/climate-change,[u'U.N. Climate Summit Inspires Limbaugh To Revive Global Warming Conspiracy Theory']
/issues/climate-change,[u'Rush Limbaugh Invokes Hitler In Rant Against Environmentalists']
/issues/climate-change,[u'Watch A NY Assemblyman Educate Fox News On The Facts About Climate Change']
/issues/climate-change,"[<em>WSJ</em>, u""'s Noxious Climate Coverage Surrounding Historic March""]"
/issues/climate-change,[u'Sunday News Shows Ignore Historic Climate March']
/issues/climate-change,"[u'Fox Business Correspondent Attacks Climate Marchers: ""Get A Job!""']"
/issues/climate-change,[u'The Business Media Outliers Ignoring The Economics Of Climate Change']
/issues/climate-change,"[u""How Texas' Climate Denial Could Harm Your Child's Education""]"
/issues/climate-change,"[u'Fox News\' Anti-Scientific Attack On Meatless Monday ""Propaganda""']"
/issues/climate-change,"[u'After Claiming An Advanced Biofuel ""Doesn\'t Exist,"" Media Outlets Ignore Its Large-Scale Production']"
/issues/climate-change,"[u'Conservative Media\'s ""Off-The-Rails"" Claim About A Climate Deal And The Constitution']"
/issues/climate-change,[u'Myths And Facts About The Koch Brothers']
/issues/climate-change,"[u'Why ', <em>The</em>, u' ', <em>Washington Post</em>, u' Is Running A Series Of Editorials On The ""Existential Threat"" Of Climate Change']"
/issues/climate-change,[u'Associated Press Profile Of Koch Brothers Whitewashes Their Fossil Fuel Ties']
/issues/climate-change,"[u'Experts: Pro-Smog Pollution Report Is ""Unmoored From Reality""']"
/issues/climate-change,[u'Media Ignore Reports Debunking The Keystone XL Talking Point They Trumpeted']
/issues/climate-change,"[u'The ', <em>Washington Post</em>, u' Editorial Board Is At Odds With Itself Over Climate']"
/issues/climate-change,"[u""What Fox Didn't Tell You: This Coal CEO Who Broke Down In Tears Is Attacking Miners' Health Protections""]"
/issues/climate-change,"[u'Bush-Era EPA Administrator Baffles Fox Business Hosts: ""We Need To Regulate"" Carbon']"
/issues/climate-change,[u'NBC Shows How To Report On The Economic Costs Of Climate Change']
/issues/climate-change,[u'How Rupert Murdoch Pushed Australia Into A Climate Change Retreat']
/issues/climate-change,"[u'On ', <em>The Bill Press Show</em>, u', ', <em>Media Matters</em>, u""' Jeremy Holden Explains Growing Climate Coverage And The Persistence Of False Balance""]"
/issues/climate-change,"[u'On The Hottest June On Record, Most Media Missed This Key Context']"
/issues/climate-change,[u'Rush Takes Credit For Finding That U.S. Leads Globe In Climate Denial']
/issues/climate-change,"[u'STUDY: ', <em>PBS NewsHour</em>, u' Airs Four Times More Climate Coverage Than ', <em>ABC World News</em>]"
