SubCat,Headlines
/issues/conservation,"[u'Another Phony Government ""Land Grab"" Featuring Fox\'s Favorite Tea Party Farmer']"
/issues/conservation,"[u""California's Plastic Bag Ban: Myths And Facts""]"
/issues/conservation,"[u""Myths And Facts About The EPA's Move To Protect Drinking Water""]"
/issues/conservation,[u'The Nevada Tortoise War Is A Right-Wing False Flag']
/issues/conservation,"[u'Limbaugh: Government Uses Mass Transit To ""Totally Control The Movement Of The Population""']"
/issues/conservation,[u'Myths And Facts About Nuclear Power']
/issues/conservation,"[u'Weather Channel Founder: Polar Bears Have Increased Because ""Eskimos"" Are Now ""More Civilized""']"
/issues/conservation,[u'Fox Dismisses Harm Of Styrofoam Pollution']
/issues/conservation,"[<em>WSJ</em>, <em>'s </em>, u'""Fringe"" Attacks On Interior Nominee']"
/issues/conservation,"[u'Will Discovery Channel Air More Episodes Of ', <em>Ted Nugent's Gun Country</em>, u'?']"
/issues/conservation,"[u""Five Crazy Moments From Ted Nugent's Discovery Channel Gun Special""]"
/issues/conservation,"[u'""Polar Bear Fraud"": How Fox News Smeared A Scientist']"
/issues/conservation,"[u""CNN Allows Gingrich To Lie About Obama's Natural Gas Record""]"
/issues/conservation,"[u""STUDY: TV News Covered Paul Ryan's Workout 3x More Than Record Arctic Sea Ice Loss""]"
/issues/conservation,[u'Fox Misleads On Consumer Savings From Fuel Economy Standards']
/issues/conservation,[u'STUDY: Kardashians Get 40 Times More News Coverage Than Ocean Acidification']
/issues/conservation,"[u'Six Facts That Undermine The ', <em>Orange County Register</em>, u""'s Attacks On California Clean Energy Initiatives""]"
/issues/conservation,[u'Fox Serves As Mouthpiece For Mountaintop Mining Industry']
/issues/conservation,[u'How The Press Is Hurting U.S. Energy Security']
/issues/conservation,[u'Right Wing Hypes Commercially Unviable Fossil Fuel']
/issues/conservation,[u'Fox News Now Denying Deforestation']
/issues/conservation,"[u""Fox Nation's Self-Debunking Attack On The Chevy Volt""]"
/issues/conservation,[u'Will The Media Let Congress Forget About The Gulf Oil Disaster?']
/issues/conservation,[u'Limbaugh Butts Heads With Bob Lutz Over Electric Cars']
/issues/conservation,[u'Scientist Responds To Misleading Polar Bear Coverage']
/issues/conservation,"[u""Bill O'Reilly Missed Our Point""]"
/issues/conservation,"[<em>The Washington Post's</em>, u' Bad Math Tarnishes Innovative Light Bulb', <em><br/></em>, u' ']"
/issues/conservation,[u'FLASHBACK: Fox News On Gas Prices In 2008']
/issues/conservation,"[u'More ""Indoctrination"" Paranoia: Fox Attacks Dr. Seuss\' ', <em>The Lorax</em>]"
/issues/conservation,"[u'Carlson: ""People Say"" Keystone XL Would ""Create 20,000 American Jobs""']"
/issues/conservation,[u'Fox Deception: Keystone XL Pipeline Would Lower Domestic Gas Prices']
/issues/conservation,"[u'Kilmeade Decides: Obama Admin\'s Decision On Keystone XL Pipeline Is An ""Outrage""']"
/issues/conservation,[u'Fox Targets Tiny Grant Program Helping Local Communities']
/issues/conservation,"[<em>Wash. Post</em>, u' Pulls Rug From Under New Electric Cars']"
/issues/conservation,"[u'Fox\'s ""Brain Room"" Seizes On ""Low Quality"" Research To Further Attack On Electric Vehicles']"
/issues/conservation,"[u'Bolling Still Pushing Falsehood That Keystone Pipeline Could Create 20,000 To 50,000 Jobs']"
/issues/conservation,"[u'Right-Wing Media Continue To Mislead On Nonexistent Light Bulb ""Ban""']"
/issues/conservation,"[u'Lou Dobbs Continues To Push Falsehood That Keystone XL Will Create Up To 250,000 Jobs']"
/issues/conservation,"[u""Pipe Dreams: Fox's Straight News Division Responds To Delay Of Keystone XL With Lies About Jobs""]"
/issues/conservation,[u'Fox Wildly Inflates The Number Of Jobs Keystone XL Pipeline Might Create']
/issues/conservation,[u'ABC Still Fumbling Green Car Story']
/issues/conservation,"[u'ABC\'s Fisker ""Exclusive"" Is Actually A Recycled Fox News Story From 2009']"
