SubCat,Headlines
/issues/crime,[u'Rush Limbaugh: CNN Reporting On Bill Cosby Rape Allegations Because Cosby Told Blacks To Step Up']
/issues/crime,[u'Fox News: Prison Reform Supporters Must Have Been Tricked']
/issues/crime,"[u'Fox News Defends Street Harassment As ""Nothing Disrespectful""']"
/issues/crime,"[u'Fox Figures Advocate For Stop-And-Frisk, Profiling, And Mosque Surveillance Following Extremist Attacks']"
/issues/crime,"[u'Mark Levin Says Eric Holder Is Guilty Of ""Hate Crimes, If You Will,"" In Ferguson, MO']"
/issues/crime,"[u'Fox\'s Bernie Goldberg: ""Facts Mean Something Totally Different"" To ""Black Liberals"" In Michael Brown Shooting']"
/issues/crime,[u'Right-Wing Media Politicize Canadian Parliament Shooting To Attack Gun Safety Measures']
/issues/crime,"[u""Fox Repeats Lie That Benghazi Suspect's Indictment Contradicts Obama Administration Narrative Of The Attacks""]"
/issues/crime,"[u'On Fox, Dinesh D\'Souza Calls His Sentence ""A Great Political Win"" For Him']"
/issues/crime,"[u'A Guide To George Will\'s Decades Of Attacks On Sexual Assault Victims And ""Rape Crisis Feminists""']"
/issues/crime,"[u""O'Reilly Pushes Fact-Free Smear That VA Attorney General Doesn't Care About Statutory Rape""]"
/issues/crime,"[u'Fox News Host On Oklahoma Beheading: ""Is It Time To Profile?""']"
/issues/crime,"[u'Fox Host: College Sex Education Week Should Include ""How Not To ... Blackout In A Fraternity House""']"
/issues/crime,"[<em>Time</em>, u' Ignores Previous Reporting To Question Statistics That Highlight Prevalence Of Sexual Assault']"
/issues/crime,[u'Fox Anchor Shows Conservative Media How They Should Talk About Sexual Assault']
/issues/crime,"[u""Fox's "", <em>Outnumbered</em>, u' Defends ', <em>Forbes</em>, u' Contributor Fired For Offensive Campus Sexual Assault Column']"
/issues/crime,"[u'UPDATE: Dinesh D\'Souza Sentenced To Probation, 8 Months In ""Community Confinement Center""']"
/issues/crime,"[u'Hannity Worries Charging NFL\'s Peterson With Child Abuse Could Impinge Right To Teach Kids ""Being Gay Is Not Normal""']"
