SubCat,Headlines
/issues/curriculum,[u'Fox Takes Premature Victory Lap On AP History Controversy In Colorado']
/issues/curriculum,[u'The Fox News Hypocrisy On Student Freedoms']
/issues/curriculum,[u'Fox Backs Book Ban In Latest False Attack On Common Core']
/issues/curriculum,[u'Fox Selectively Edits Video To Attack Common Core Educational Standards']
/issues/curriculum,[u'Right-Wing Freak Out Over Arabic Classes At Optional NYC Public School']
/issues/curriculum,"[u'Limbaugh: Public Schools Are ""A Series Of Indoctrination Camps""']"
/issues/curriculum,"[u""Conan O'Brien Mocks Fox For Muppets Liberal Propaganda Freakout""]"
/issues/curriculum,"[u'Kuhner: American Students Learning Spanish Is ""Treasonous,"" ""Indoctrinat[ion],"" And ""National Self-Hatred""']"
/issues/curriculum,[u'The Blaze Uncovers Rampant Learning In Texas High School']
/issues/curriculum,"[u'""Steadfast, Protective And, At Times, Adoring"": ', <em>The Washington Post</em>, u' And Michelle Rhee']"
/issues/curriculum,"[u'Strings Attached: Right-Wing Media Take Shots At New Poverty-Stricken ', <em>Sesame Street</em>, u' Character']"
/issues/curriculum,[u'Fox Still Attacking CA LGBT History Bill']
/issues/curriculum,"[u'Beck: Education Is ""A Bunch Of Gobbledygook"" And Indoctrination']"
/issues/curriculum,"[u'Fox News Ignores The Constitution, Calls For Prayer At Public High School Graduation']"
/issues/curriculum,"[u'Beck Calls Tucson Ethnic Studies Class ""Racist,"" ""Communist,"" And ""Treasonous""']"
/issues/curriculum,"[u'On Fox Business, Breitbart Pretends That Videos He Posted Smearing Missouri Professors Were Not Deceptively Edited']"
/issues/curriculum,"[u""CNN's Loesch Mounts Dishonest Defense Of Breitbart's Chop Shop Editing""]"
/issues/curriculum,[u'University Officials Conclude Latest Investigation Discrediting Breitbart']
/issues/curriculum,"[u'Beck: ""Our Children Are Not Only Being Shortchanged, They\'re Being Turned Into, I Think, Slaves, Eventually""']"
/issues/curriculum,[u'Glenn Beck Utterly Clueless About Tucson Ethnic Studies Program']
/issues/curriculum,"[u'Tucker Carlson Blames ""Liberals,"" ""Multiculturalists"" For Kids Not Knowing Who Bin Laden Was']"
/issues/curriculum,[u'Beck Fearmongers About Tucson Ethnic Studies Program']
/issues/curriculum,"[u'Beck On Elementary School Earth Day Song: ""It\'s The Hitler Youth ... The Indoctrination Of Our Children""']"
/issues/curriculum,"[u'Beck Vilifies AZ Students Supporting Mexican American Studies: Violence ""Will Happen From People Like This""']"
/issues/curriculum,"[u'Beck: ""The Seeds Of Socialism"" Are Being Planted In Our Children. ""Get Your Kids Out Of School""']"
/issues/curriculum,"[u'Beck Talks Down To ""Those Of You Who Went To Public School""']"
/issues/curriculum,"[u'Beck thinking about ""writing the definitive American history book"" to ""correct all of the history""']"
