SubCat,Headlines
/issues/defense-funding,"[u'Surrendering Facts: Anti-Obama Fox Special To Push Tired Myths, Falsehoods, And Distortions']"
/issues/defense-funding,[u'Fox Distorts Debate Over Defense Budget']
/issues/defense-funding,"[u'O\'Reilly: Sec. Hagel ""Should Resign Immediately ... It\'s His Fault"" GOP Shutdown Delayed Death Benefits']"
/issues/defense-funding,"[u'Fox\'s Napolitano Thinks Education, Justice, And Health Are Federal Programs ""We Don\'t Really Need""']"
/issues/defense-funding,[u'Fox Guest Bashes Obama Over Defense Cuts That He Voted For']
/issues/defense-funding,"[u'Fox Ignores Military Testimony, Claims Guantanamo Bay Improvements Designed To Benefit Suspected Terrorists']"
/issues/defense-funding,[u'Fox Still Dismissing Spending Cuts As Economic Fallout Begins']
/issues/defense-funding,"[u""Fox News Chart Helps Paint Distorted Picture Of America's Defense Spending""]"
/issues/defense-funding,"[u""Fox's Carl Cameron Falsely Claims Democrats Have Not Proposed Spending Cuts""]"
/issues/defense-funding,"[u'Fox\'s Bill Kristol: Obama ""Seems To Have No Interest In"" The U.S. ""Having A Strong Defense""']"
/issues/defense-funding,"[u'Limbaugh: Going Over ""Fiscal Cliff"" Is ""A Democrat Orgasm"" Because ""Taxes Go Up For Everybody""']"
/issues/defense-funding,"[u""Media Focus On Bayonet Numbers, Ignore Romney's Bogus Claim About Navy Fleet Size""]"
/issues/defense-funding,"[u'Another Debate, Another Litany Of Romney Falsehoods: Will Media Take Note?']"
/issues/defense-funding,"[u'Brookings\' Michael O\'Hanlon: Attacks On Obama\'s Defense Spending Policies Have Been ""Exaggerated For Political Effect""']"
/issues/defense-funding,"[u'Krauthammer Claims Bogus WARN Act Charges Are Evidence Of Obama Administration ""Lawlessness""']"
/issues/defense-funding,"[u'Fox\'s Kilmeade: ""It\'s A Sin"" That The Defense Industry Is Facing Budget Cuts']"
/issues/defense-funding,"[u'Fox\'s Guilfoyle Calls Obama ""Ungrateful"" For Supporting Defense Spending Cuts']"
/issues/defense-funding,"[u'Fox Promotes GOP Effort To Stop Defense Cuts By Slashing ""Programs For Struggling Americans""']"
/issues/defense-funding,"[u'Fox\'s Liz Cheney: Obama ""Is On The Brink Of Doing To The U.S. Military What Our Enemies Have Been Unable To Do""']"
/issues/defense-funding,"[u'Liz Cheney Claims Obama Has Done ""Something That America\'s Enemies"" Couldn\'t: ""Decimate [Our] Fighting Capability""']"
/issues/defense-funding,"[u'Gaffney: Obama Defense Strategy ""Eviscerate[s] The Armed Forces Of The United States,"" ""Invites"" Attack']"
/issues/defense-funding,[u'Right-Wing Media Freak Out Over New Defense Strategy']
/issues/defense-funding,"[u'Fox\'s Andrea Tantaros: ""We\'re Not Going To Be Able To Go On These Fancy Bin Laden Raids"" If Defense Budget Is Cut']"
/issues/defense-funding,"[u'Gutfeld: Domestic Spending Increases ""Dependence,"" While Defense Spending Increases ""Preserve Independence""']"
/issues/defense-funding,[u'Fox Civil War: Defense Department budget edition']
/issues/defense-funding,[u'Drudge tries to create Obama scandal with 2003-2007 Iraq reconstruction funds']
/issues/defense-funding,"[u""Hannity's double whammy: falsely claims Obama is cutting troops' pay and military spending""]"
/issues/defense-funding,"[u'Heritage\'s Carafano falsely claims Obama is ""refusing to modernize"" nuclear arsenal and ""cutting back on defense""']"
/issues/defense-funding,"[u'Beck on new nuclear weapons guidelines: ""This is really Barack Obama\'s nuclear social justice chart""']"
/issues/defense-funding,"[u""Varney's claim that Obama inflated deployment costs undermined by Pentagon assessment that is reportedly in line with White House""]"
/issues/defense-funding,"[u""Fox's Hemmer didn't challenge criticism of Obama missile defense cuts""]"
/issues/defense-funding,"[u""Fox News' Cameron ignores prior GOP votes for war spending bills with non-war spending""]"
/issues/defense-funding,"[<em>Wash. Post</em>, u' ignores Pence double standard on war funding bills']"
/issues/defense-funding,"[<em>Wash. Times</em>, u"" fails to disclose op-ed author's ties to defense industry""]"
/issues/defense-funding,"[<em>Wash. Times</em>, u' didn\'t disclose subcontractor ties of McInerney, purported spokesman for ""the Air Force fighter community"" ', <em><br/></em>, u' ']"
/issues/defense-funding,"[u'FBN\'s Payne invokes ""Pirate Problem"" to repeat Obama defense cut falsehood']"
/issues/defense-funding,"[u'Krugman points out hypocrisy of people who claimed gov\'t spending ""never creates jobs"" during stimulus debate now decrying cuts to defense program as job killer']"
/issues/defense-funding,[u'Hannity still issuing false warnings of Obama defense cuts']
/issues/defense-funding,"[u'Without evidence, ', <em>Wash. Times</em>, u' claimed Obama ""reneged"" on campaign promises']"
/issues/defense-funding,"[<em>NY Times</em>, u' omitted DoD response to claim that canceling FCS vehicle production would endanger troops']"
/issues/defense-funding,"[u'Hannity misinforms on defense budget, missile defense']"
/issues/defense-funding,"[<em>Human Events</em>, u' allowed McInerney to invoke false ACORN bogeyman in defense-budget attack']"
/issues/defense-funding,"[u'Hannity falsely claimed Obama administration ""taking steps to cut defense spending""']"
/issues/defense-funding,"[<em>NY Times</em>, u' uncritically reported GOP claim that F-22 cuts mean Obama ""refuses to fund programs critical to our national defense""']"
/issues/defense-funding,"[u'Limbaugh: ""Some might say Obama wants us to fail; he\'s cutting the defense budget""']"
/issues/defense-funding,"[u'Fox News promo falsely claimed Obama ""pushes a plan"" requiring vets to pay for health insurance']"
/issues/defense-funding,"[<em>Wash. Post's</em>, u' Kagan claimed OMB ""has ordered a 10 percent cut in defense spending""']"
/issues/defense-funding,"[<em>Wash. Post</em>, u' reports without challenging Bush claim that military deficit spending post-9-11 was unavoidable']"
/issues/defense-funding,[u'Hannity and Bennett excoriated Obama over views shared by prominent Republicans']
/issues/defense-funding,"[u'True to form, NBC aired clip of McCaffrey discussing ""Afghan security forces"" without disclosing ties to company training them']"
/issues/defense-funding,"[<em>Charlotte Observer</em>, u"" left out relevant fact in criticizing VoteVets.org's Dole ad""]"
