SubCat,Headlines
/issues/detention,[u'Right-Wing Media Ignore Fact That Civilian Courts Are Better Than Military Commissions At Prosecuting Terrorists']
/issues/detention,[u'Fox Attacks Medicaid Provision That Keeps Inmates From Returning To Prison']
/issues/detention,"[u'MSNBC\'s Chris Hayes Labels O\'Reilly A ""Marijuana Truther"" For Misinforming On Drug Arrests']"
/issues/detention,"[u""Fox's Kilmeade Suggests Constitutional Rights Should Not Apply To All American Citizens""]"
/issues/detention,"[u""Fox News' Ignorance Of Immigration Law Plays Into Slanted Segment About Detainee Releases""]"
/issues/detention,"[u""Fox Baselessly Suggests That Civilian Court Trial Will Result In Suspected Terrorist's Acquittal""]"
/issues/detention,[u'Fox Guest Pushes Conspiracy Theory That DOJ Wants To Release Gitmo Terrorists Onto U.S. Streets']
/issues/detention,"[u'Fox\'s Bolton: To Investigate Benghazi, ""Use Rendition"" To Put Suspects In Guantanamo Bay And ""Try A Little Gentle Persuasion""']"
/issues/detention,"[<em>Detroit Free Press</em>, u"" Overlooks Guest Writer's Ties To Right-Wing Activists""]"
/issues/detention,"[u""Fox's Paranoid Anti-Obama Agenda Wrecks Its Civil-Liberties Coverage""]"
/issues/detention,[u'J. Christian Adams Rides Again!']
/issues/detention,"[u'Carlson Suggests Inmates In Overcrowded Prisons Are Upset Because ""They Didn\'t Get A Snack In The Afternoon""']"
/issues/detention,"[u'Earhardt On Gitmo Detainee Family Visits: ""Is This A Holiday Inn Or Is This A Detention Center?""']"
/issues/detention,"[u'Doocy And Rumsfeld Complain ""Media"" And ""Partisans"" ""Hyped And Pounded"" Abu Ghraib Story']"
/issues/detention,"[u'Limbaugh: ""They\'re Keeping Gitmo Open"" Because ""They\'re Going To Need A Place To Put All Of Us""']"
/issues/detention,"[u'EXCLUSIVE VIDEO: NRO\'s McCarthy Attacks DOJ Lawyers Who Have Defended Terror Suspects As ""Working For The Enemy""']"
/issues/detention,[u'Another Bogus Attack On Judicial Nominee Halligan']
/issues/detention,[u'Torture memo author John Yoo has the audacity to criticize Obama over the Ghailani trial']
/issues/detention,"[u'Fox responds to terror plot by hosting Liz Cheney to call for ""a new commander-in-chief""']"
/issues/detention,"[u'Krauthammer: ""How do I get two weeks at Gitmo? It sounds really good""']"
/issues/detention,"[u'Ingraham: Guantanamo is ""wildly effective""']"
/issues/detention,[u'John Yoo attacks Kagan for agreeing with Supreme Court majority that presidential power is not unlimited']
/issues/detention,"[u'Beck, Napolitano say Faisal Shahzad should be promptly mirandized; ""You don\'t shred the Constitution ever""']"
