SubCat,Headlines
/issues/domestic-spying,"[u""On Sirius XM's "", <em>Media Matters Radio</em>, u"", Free Press's Josh Levy Explains What CISPA Is And Why It's Unnecessary""]"
/issues/domestic-spying,"[u'Holder Derangement Syndrome: Fox\'s Guilfoyle Claims Holder ""Is One Of The Most Dangerous Men In America""']"
/issues/domestic-spying,"[u'Fox\'s Trotta On NYPD Surveillance Of Muslims: ""It Was Muslims Who Knocked Down Two Buildings In 2001""']"
/issues/domestic-spying,"[u'In ', <em>National Review</em>, u', Conrad Black Defends Fox News, Nixon, And Warrantless Wiretaps']"
/issues/domestic-spying,[u'Carlson Suggests The Constitution Is Too Outdated For Fighting War On Terror']
/issues/domestic-spying,"[u'Beck: ""I reject race divisions"" and ""those who play on those fears""']"
/issues/domestic-spying,"[u'Beck: If progressive groups rallying Oct. 2 are ""not an FBI Watch List, in any sane America, I don\'t know what is""']"
/issues/domestic-spying,"[u""At CPAC, Bob Barr destroys fellow conservatives' arguments that gov't should limit civil rights to deal with terrorism""]"
/issues/domestic-spying,"[u""CATO's Sanchez fact checks Fox News' coverage of Patriot Act""]"
/issues/domestic-spying,"[<em>NY Times</em>, u' uncritically quoted Cheney saying Bush administration detention policies were ""done legally""']"
/issues/domestic-spying,"[<em>WSJ</em>, u' falsely claimed that FISA court approved ""warrantless wiretapping program"" exposed in 2005']"
/issues/domestic-spying,[u'Protecting journalists']
/issues/domestic-spying,"[u""Angle uncritically reported Hatch's remarks downplaying reach of government's warrantless eavesdropping program ""]"
/issues/domestic-spying,"[u'On Hannity\'s radio program, DeLay falsely claimed Obama supports ""a bill to fingerprint every American in this country"" ']"
/issues/domestic-spying,"[u'NBC\'s Lauer falsely suggested only ""the far left"" is concerned about Bush\'s alleged civil liberties violations ']"
/issues/domestic-spying,"[<em>Hill</em>, u' falsely described GOP\'s previous legislative priority as ""passing"" FISA -- but it passed 30 years ago ']"
/issues/domestic-spying,"[<em>Wash. Post</em>, u"" noted FBI's increased use of NSLs, omitted that Justice IG found many instances of their illegal use ""]"
