SubCat,Headlines
/issues/drilling,"[u'Fox\'s Blakeman: When Politicians Take ""Money From The Oil And Gas Industry,"" They\'re ""Taking Money To Help America""']"
/issues/drilling,[u'Fox Pushes False Analogy In Dishonest Attack On Solar Industry']
/issues/drilling,[u'Fox Uses Galveston Bay Oil Spill To Push For Keystone XL Pipeline']
/issues/drilling,"[u'Ben Stein On Fox: Keystone Pipeline Protests Are About ""A Mental Disease Or Defect,"" Not Politics']"
/issues/drilling,"[u""Oil Tycoon's Newspapers Hype Flawed Keystone XL Pipeline""]"
/issues/drilling,"[<em>Orange County Register</em>, u""'s Silver Bullet Study Promoting Fracking Has Holes""]"
/issues/drilling,"[<em>The Oklahoman</em>, u' Disregards Mounting Evidence Linking Fracking To Earthquakes']"
/issues/drilling,"[u'Limbaugh On Romney\'s Drilling Falsehood: ""It\'s Indisputable. Obama Lied""']"
/issues/drilling,"[u""CNN's Erin Burnett Gets It Wrong On Drilling And Gas Prices""]"
/issues/drilling,[u'VIDEO: Fox Pundits Dismiss Fracking Risks']
/issues/drilling,[u'Myths And Facts About Natural Gas']
/issues/drilling,[u'How The Press Is Hurting U.S. Energy Security']
/issues/drilling,[u'Right Wing Hypes Commercially Unviable Fossil Fuel']
/issues/drilling,"[u""How Oklahoma's Largest Newspaper Distorts The Facts About Fracking""]"
/issues/drilling,"[u""Who's Behind The Right's Latest Anti-Environment Video?""]"
/issues/drilling,[u'Does Fox Want The U.S. To Invade Russia For Oil?']
/issues/drilling,[u'Will The Media Let Congress Forget About The Gulf Oil Disaster?']
/issues/drilling,"[u'Palin: ""Drill, Baby, Drill And Frack, Baby, Frack"" Are ""Very Important"" Energy Policies']"
/issues/drilling,"[u'FLASHBACK: Fox\'s Eric Bolling Called For ""Aggressive Means"" To Cut Oil Consumption']"
/issues/drilling,"[u'Palin\'s Case For More Drilling: ""God Has Created Underfoot For Us ... Billions And Billions Of Barrels Of Oil""']"
/issues/drilling,"[<em>NY Post</em>, u' Hypes Fracking Over 20 Times Since January 2011, Rarely Mentions Risks']"
/issues/drilling,[u'Myths And Facts About Oil And Gasoline']
/issues/drilling,"[u""Echoing Big Oil, Right-Wing Media Deny Oil Companies' Tax Breaks Are Subsidies""]"
/issues/drilling,"[u'Dobbs: ""We\'re Getting Murdered By This Administration"" On Energy Policy']"
/issues/drilling,"[u'Fox Regular Morici: Gas Prices Could Reach $8 Because Obama And Chu ""Know How To Do The Economically Dumb Very Well""']"
/issues/drilling,"[u'On Fox, ', <em>WSJ</em>, u""'s Stephen Moore Pushes Myth That Cutting Oil Subsidies Will Increase Gas Prices""]"
/issues/drilling,"[u'Betsy McCaughey: ""I Call [Obama] The Pond Scum President"" Because Of Alternative Energy Investment']"
/issues/drilling,"[u'Dick Morris: If Obama Is Re-Elected, Bush\'s ""Legacy,"" Which ""Put Us On The Route To Energy Independence, Will Be Derailed""']"
/issues/drilling,"[u'Fox Turns To Energy Company CEO For The ""Truth"" About Obama\'s Drilling Policy']"
/issues/drilling,"[u'Fox\'s Krauthammer: Cushing Plan Is A ""Pipeline From Nowhere"" That ""Carries Air""']"
/issues/drilling,"[u""20 Experts Who Say Drilling Won't Lower Gas Prices""]"
/issues/drilling,"[u'Stossel Breaks The News To Fox: U.S. Energy Policy ""Doesn\'t Make That Much Of A Difference"" On Gas Prices']"
/issues/drilling,"[u""MSNBC's Ed Schultz Highlights Fox News' Coverage Of Gas Prices In 2008""]"
/issues/drilling,"[u'Fox\'s Guilfoyle: Obama\'s ""Inaction And Abdication Of Leadership Is Causing [Gas] Prices To Go Up""']"
