SubCat,Headlines
/issues/education-funding,"[u""Fox's "", <em>Sesame Street</em>, u' Celebration Tries To Sweep The Clouds Of Past Attacks Away']"
/issues/education-funding,"[u""New Study Contradicts Conservative Media's Attacks On Healthy School Lunches""]"
/issues/education-funding,"[u""Fox News Scandalizes Hillary Clinton's Speaking Fee At UNLV""]"
/issues/education-funding,"[<em>The Wall Street Journal</em>, u' Refuses To Let Student Loan Relief Distract It From Obama ""Scandals""']"
/issues/education-funding,"[u""Media Attacks On Obama's Student Loan Proposal Ignore Economic Ripple Effect Of Expanding Debt""]"
/issues/education-funding,[u'Fox Ignores Food Industry Ties In Attack Against Healthy School Lunches']
/issues/education-funding,[u'GOP Push To Cut School Lunch Funding Echoes Years Of Conservative Media Attacks']
/issues/education-funding,[u'Myths & Facts: Student Debt Crisis']
/issues/education-funding,[u'Sochi Olympics A Perfect Opportunity For Media To Recognize Success Of Title IX']
/issues/education-funding,"[<em>WSJ</em>, u"" Hides Popular Support For Obama's Second-Term Agenda""]"
/issues/education-funding,[u'Right-Wing Media Ignore Long-Standing Court Orders To Attack Louisiana School Integration']
/issues/education-funding,"[u'What ', <em>WSJ </em>, u'Gets Wrong On The Cause Of Higher College Costs']"
/issues/education-funding,[u'Fox Misleads On Federal Student Aid And Benefits Of College Education']
/issues/education-funding,"[u'ABC News Characterizes Head Start Sequester Cuts As Obama\'s ""Bruising Blow""']"
/issues/education-funding,"[u""Fox Can't Decide How Little Wi-Fi In Schools Will Cost Taxpayers""]"
/issues/education-funding,[u'Fox News Misses The Mark On Public Education And School Choice']
/issues/education-funding,"[u""Fox's Stuart Varney Misleadingly Claims Subsidizing Student Loans Costs Taxpayers""]"
/issues/education-funding,[u'Limbaugh Oversimplifies Student Loan Legislation To Pin Blame On Democrats']
/issues/education-funding,[u'Media Offer Scant Coverage In The Face of Student Loan Deadline']
/issues/education-funding,"[<em>Melissa Harris-Perry</em>, u""'s Diverse Economic Coverage""]"
/issues/education-funding,[u'Fox Suggests Fictitious Cheaper Colleges Are Solution To Mounting Student Debt']
/issues/education-funding,"[<em>Las Vegas Review-Journal</em>, u' Promotes Flawed Merit-Based Pay Scheme For Teachers']"
/issues/education-funding,[u'Fox Still Dismissing Spending Cuts As Economic Fallout Begins']
/issues/education-funding,[u'Fox News Advocates For Cutting Head Start Program That Benefits Disadvantaged Children']
/issues/education-funding,"[u""Rove Dismisses Facts to Attack Obama's Pre-K Education Proposal""]"
/issues/education-funding,"[u'Fox\'s Gutfeld: Students Should ""Stiff"" Their College Loans To Make Schools ""Pay"" For ""Churning Out Lazy, Stupid Marxists""']"
/issues/education-funding,[u'Ohio Media Ignore Financial Link Between Failing Charter School Operators And New Charter-Friendly Education Plan']
/issues/education-funding,[u'Media Cherry-Pick Facts To Falsely Label Head Start Program A Failure']
/issues/education-funding,"[u'Fox\'s Kilmeade Suggests Undocumented Students Could Present ""Night Vision Video"" Of Themselves To Apply For Scholarship']"
/issues/education-funding,"[u'Fox Falsely Portrays In-State Tuition For Undocumented Immigrants As Being Provided ""On The Backs Of Legal Students""']"
/issues/education-funding,"[u'Fox\'s Andrea Tantaros Has A Solution For Exploding Student Loan Debt: ""Should Every Kid Really Be Going To College?""']"
/issues/education-funding,"[u'Limbaugh: Proposed Student Loan Reform Rewards Colleges For ""Indoctrinating More Democrats""']"
/issues/education-funding,"[u'Fox Regular Jonathan Hoenig Says Public Schools ""Have Been A Failure,"" Adds, ""The Best Thing We Can Do Is To Cut Them""']"
/issues/education-funding,"[u'Fox\'s Crowder Claims Young People Will Vote For Obama Because ""They Want More Free Crap""']"
/issues/education-funding,"[u'Limbaugh: For Democrats, ""Education Is Indoctrination"" At ""All Levels""']"
/issues/education-funding,"[u'Fox Sees Discussion Of Women\'s Rights And Education As A ""Distraction"" On The Campaign Trail']"
