SubCat,Headlines
/issues/election-law,"[u'On Fox, J. Christian Adams Attacks Attorney General Nominee\'s ""Racial Views"" On Voter ID']"
/issues/election-law,"[u""Fox News Viewers Aren't Getting The Full Story On Voter Suppression""]"
/issues/election-law,"[u""Cable News' Election Night Coverage Ignored Impact Of Redistricting On Outcomes""]"
/issues/election-law,"[u""On Election Day, Fox's Cavuto Ramps Up Final Defense Of Voter ID Laws""]"
/issues/election-law,"[u""Voter Disenfranchisement That Right-Wing Media Said Wouldn't Happen Is Definitely Happening""]"
/issues/election-law,"[u""Laura Ingraham Suggests People Who Find It Too Difficult To Get ID Shouldn't Vote""]"
/issues/election-law,[u'Sen. Bernie Sanders Blasts Corporate Media For Not Reporting On The Money In Politics Crisis']
/issues/election-law,"[u""Debunking The Conservative Media's 2014 Voter Fraud Horror Stories""]"
/issues/election-law,[u'National Review Online Now Totally Confused In Its All-Out Push For Strict Voter ID']
/issues/election-law,"[u""Are Newspapers In Battleground States Covering Dark Money's Unprecedented Influence On The Midterms?""]"
/issues/election-law,"[u""Conservatives' Latest Example Of Potential Voter Fraud Actually Proves The System Works""]"
/issues/election-law,"[u""Evidence Piles Up Against Right-Wing Media's Defense Of Voter ID""]"
/issues/election-law,"[<em>WSJ</em>, u' Wants To Kill A Key Piece Of Post-Watergate Campaign Finance Reform']"
/issues/election-law,"[u'On Fox, Dinesh D\'Souza Calls His Sentence ""A Great Political Win"" For Him']"
/issues/election-law,"[u'Fox News Ignores ""Dark Money"" To Pretend Democrats Are Destroying Republicans In Election Spending']"
/issues/election-law,"[<em>WSJ</em>, u' Vilifies Efforts To Increase Corporate Political Transparency As ""Partisan Agitprop""']"
/issues/election-law,"[<em>CBS Evening News</em>, u' Offers False ""He Said, She Said"" Equivalence In Voter ID Report']"
/issues/election-law,[u'Fox Bristles At Court Rulings That Shut Down Restrictive Voter ID Laws']
/issues/election-law,"[u'Five Important Stories About Money In Politics That ', <em>Fox News </em>, <em>Sunday</em>, u"" Didn't Cover""]"
/issues/election-law,"[u'Fox Host: Do We Want Young People To Vote ""If They Don\'t Know The Issues?""']"
/issues/election-law,"[u'Sen. Sanders ""Disappointed"" That Media Underreports Crisis Of Big Money In Politics']"
/issues/election-law,"[u""Fox Host Falsely Claims New York's Municipal ID Program Will Give Undocumented Immigrants Voting Rights""]"
/issues/election-law,[u'NRO Misrepresents WI Voter ID Law That Could Disenfranchise Hundreds Of Thousands']
/issues/election-law,"[<em>PBS</em>, u' ', <em>News</em>, <em>H</em>, <em>our</em>, u' Covers Big Money In Politics More Than All Other Networks Combined']"
/issues/election-law,"[u'NRO Misinforms On Money In Politics And Proposed ', <em>Citizens United</em>, u' Amendment']"
/issues/election-law,"[u'REPORT: ', <em>NY Times</em>, u"" Public Editor Is Right: Paper's Reporting Misses The Truth About Voter ID Half The Time""]"
/issues/election-law,[u'NRO Drags Out New Double Voting Claims Based On Old Discredited Methods']
/issues/election-law,[u'Right-Wing Media Continue To Decry Ferguson Residents Registering To Vote']
/issues/election-law,[u'Right-Wing Media Myths About Voter ID Reemerge After North Carolina Decision']
/issues/election-law,"[u""31 In A Billion: Election Expert's Report Shatters Right-Wing Media Voter ID Myths""]"
/issues/election-law,"[u""MSNBC's "", <em>All In </em>, u'Debunks Voter Fraud Myths Perpetuated By Fox News']"
/issues/election-law,"[u'Fox\'s Juan Williams Calls Out Hannity\'s ""Sour Grapes"" Over GOP Senator\'s Win From Courting Minority Voters']"
/issues/election-law,[u'Right-Wing Radio Lashes Out At Republican For Winning Thanks To Minority Voters']
/issues/election-law,"[<em>Wash.</em>, u' ', <em>Post</em>, u"" Debunks Fox's Claim Linking GOP Letter To Crashed IRS Computer""]"
/issues/election-law,"[u'More Fox Damage Control: Van Susteren Dismisses Investigation Into Scott Walker As ""Political Noise""']"
/issues/election-law,[u'Fox Does Damage Control For Scott Walker On Criminal Investigation']
/issues/election-law,"[u'On Fox News, Disenfranchised Voters Are Isolated Curiosities']"
/issues/election-law,"[u""Fox Can't Think Of One Republican Who Wants To Take Away The Right To Vote""]"
/issues/election-law,"[u""Megyn Kelly Uses D'Souza's Guilty Plea To Continue His Defense""]"
/issues/election-law,"[u""Right-Wing Star Dinesh D'Souza Pleads Guilty In Campaign Finance Fraud""]"
/issues/election-law,"[u""What Right-Wing Media Won't Tell You: Cincinnati IRS Initially Flagged Tea Party Group""]"
/issues/election-law,[u'More Right-Wing Media Lies About Voting Rights As Another Election Approaches']
/issues/election-law,"[u""Fox's "", <em>The Five</em>, u' Dishonestly Invokes Union Spending To Defend ', <em>McCutcheon</em>, u' Decision']"
/issues/election-law,[u'Federal Appeals Court Holds Voter Purge Championed By Right-Wing Media Was Blatantly Illegal']
/issues/election-law,"[<em>WSJ </em>, u""Celebrates Conservative Justices' Rejection of Congress And Campaign Finance Precedent""]"
/issues/election-law,[u'Right-Wing Media Flip-Flop And Begin Attack On Entire Voting Rights Act']
/issues/election-law,[u'Fox Hosts Right-Wing Activist J. Christian Adams To Push Debunked Smears Of DOJ Nominee']
/issues/election-law,"[u""James O'Keefe And NRO Just Straight Up Confused About The New Voting Rights Bill""]"
/issues/election-law,"[u""Megyn Kelly Hides Fox's Involvement In Myth That D'Souza Indictment Is Political Payback""]"
/issues/election-law,"[u'No Voting Rights Myth Is Too Stale For ', <em>The Wall Street Journal</em>]"
/issues/election-law,[u'Fox Pushes Baseless Fear That Having IDs Will Allow Undocumented Immigrants To Vote']
/issues/election-law,"[<em>Wall Street Journal</em>, u' Bravely Comes Out Against Voting Rights And Bipartisanship']"
/issues/election-law,"[u'Hannity Interviews Dinesh D\'Souza, Labeling Him ""The Latest Victim To Be Targeted By The Obama White House""']"
/issues/election-law,[u'Myths And Facts About DOJ Civil Rights Nominee Debo Adegbile']
/issues/election-law,"[u""Fox Cries Political Retribution Over D'Souza Indictment With Faulty Comparison""]"
/issues/election-law,"[u'Hannity: D\'Souza Is ""Latest Victim"" On Obama\'s Growing ""Enemies List""']"
/issues/election-law,"[u'""The Left Are Rediscovering Their Inner Stalin"": Fox\'s ', <em>The Five</em>, u"" Joins D'Souza Indictment Conspiracy Brigade""]"
/issues/election-law,"[u'Limbaugh: The Justice Department Is ""Trying To Criminalize As Many Republicans And Conservatives As They Can""']"
/issues/election-law,"[u'""This Is Like Nazi Germany"": D\'Souza Allies See Conspiracy Behind Indictment']"
/issues/election-law,"[u""Conservative Darling D'Souza Indicted For Campaign Finance Fraud""]"
/issues/election-law,[u'This Is How Right-Wing Media Start Their Inevitable Race-Baiting Of Certain Presidential Nominees']
/issues/election-law,"[u'On Election Night, Fox Turned To True The Vote To Stoke Obamacare Fears']"
/issues/election-law,"[u'George Will: Who Cares About Corruption? ', <em>Citizens United</em>, u' Is ""Excellent""']"
/issues/election-law,[u'NRO Frantically Spinning As Legal Rationale For Voter Suppression Disappears']
/issues/election-law,"[u""Fox's Voter Fraud Falsehoods Are Warping America's Minds""]"
/issues/election-law,"[<em>Wall Street Journal</em>, u' Lies About DOJ Efforts To Check Blatant Voter Suppression']"
/issues/election-law,"[<em>WaPo</em>, u' Suggests Congress Can Solve Voter Suppression During Shutdown']"
/issues/election-law,"[<em>WSJ</em>, u': The Founders Clearly Wanted Wealthy Donors To Pour Billions Into Federal Elections']"
/issues/election-law,"[u'What The Media Need To Know About ""The Next Citizens United""']"
/issues/election-law,"[u'NRO\'s ""Latest Evidence Of Voter Fraud"" Lacks Any Actual Evidence']"
/issues/election-law,"[u'Fox Hosts Discredited Conservative Activist To Claim Voter ID ""Speeds Up"" Voting']"
/issues/election-law,[u'Fox Marks 50th Anniversary Of March On Washington By Smearing Voting Rights Struggle']
/issues/election-law,"[u""Fox News Ignores Texas Voter ID Already Found To Be Illegal, Downplays Colin Powell's Opposition""]"
/issues/election-law,"[u'Right-Wing Media Continue To Fail ""Statistics 101"" With Voter ID Misinformation']"
/issues/election-law,"[<em>WSJ</em>, u' Defends ""Draconian"" Voting Restrictions In Attack On Hillary Clinton']"
/issues/election-law,"[u'Brent Bozell On Voter ID: ""The Only Thing That\'s Being Repressed Is People Who Are Cheating""']"
/issues/election-law,"[<em>National Review</em>, u""'s Rich Lowry Pushes Voter ID Falsehoods To Attack Hillary Clinton""]"
/issues/election-law,[u'Right-Wing Media Said Voter Suppression Was In The Past']
/issues/election-law,"[u'Groundswell, Ginni Thomas, And Continued Conflicts Of Interest For Justice Clarence Thomas']"
/issues/election-law,"[<em>Washington Times</em>, u' Warns Opposition To Voter Suppression Is The ""Real Threat""']"
/issues/election-law,[u'Fox News Ignores Favored Judiciary Committee Congressman Now That He Supports Fixing VRA']
/issues/election-law,[u'Right-Wing Media Continue To Misleadingly Reassure On Voting Rights Decision']
/issues/election-law,"[u""Right-Wing Media Cover Up Supreme Court's Unprecedented Blow To Voting Rights""]"
/issues/election-law,"[<em>Columbus Dispatch</em>, u' Endorses Changes To Ballot Measures After Previous Ballot Failure']"
/issues/election-law,"[u'Fox Claims Food Stamp Registration Reinforces Democrats\' Plan To Create ""Cycle Of Dependency""']"
/issues/election-law,"[u'Fox Continues To Mix ""Racial Hostility"" Smear Against Nominee Perez With Ignorance Of Voting Rights Act']"
/issues/election-law,[u'Fox News Botches Voting Rights Act In Attack On Nominee Perez']
/issues/election-law,[u'Right-Wing Media Praise Conservative Justices for Sounding Like The Limbaugh Court']
/issues/election-law,"[<em>Wall Street Journal</em>, u"" Jumps On Claim That Mississippi Doesn't Need Section 5 Of The Voting Rights Act (Mississippi Disagrees)""]"
/issues/election-law,"[<em>Wall Street Journal</em>, u' Deems Voting Rights Act Unnecessary']"
/issues/election-law,"[u""Fox News Doesn't Understand The Voting Rights Act, Reports On It Anyway""]"
/issues/election-law,"[<em>Wall Street Journal </em>, u""Pushes Voting Rights Act Myths Without Disclosing Writer's Ties To Constitutional Challenge""]"
/issues/election-law,[u'Right-Wing Media Darling Von Spakovsky Gets Mainstream Platforms To Attack Voting Rights Act']
/issues/election-law,"[u'Voting Rights Act Support Is Bipartisan, Even If Limbaugh Disagrees']"
/issues/election-law,[u'Note To Media: The Voting Rights Act Challenge Is Not Just Black And White']
/issues/election-law,"[u""Media Shouldn't Write Off Justice Scalia In Coverage Of Voting Rights Act Challenge""]"
/issues/election-law,"[u""O'Reilly Argues With Both Colin Powell And The Facts On Voter Suppression And Voter Fraud""]"
/issues/election-law,[u'Virginia News Coverage Ignores Reality As GOP Pushes For Tighter Voter ID']
/issues/election-law,[u'Facts And Myths About The Supreme Court Challenge To The Voting Rights Act']
/issues/election-law,"[u""Associated Press Ignores Voting Rights Act's Relevance To North Carolina Voter ID""]"
/issues/election-law,"[u'Voter ID Resurfaces In State Legislatures, But ALEC Remains Incognito In Media Coverage']"
/issues/election-law,"[u""Right-Wing Media Tout New Conspiracy Over DOJ's Involvement In Voting Rights Act Bailouts""]"
