SubCat,Headlines
/issues/end-of-life-issues,"[u""From Death Panels To Death Spirals: The Right-Wing Media's Epic Five-Year Health Care Disinformation Campaign""]"
/issues/end-of-life-issues,"[u'Fox Hypes ', <em>Daily Mail</em>, u' Article To Help Palin Promote ""Death Panels"" Lie']"
/issues/end-of-life-issues,"[u'Limbaugh Revives Death Panels: ""It\'s Going To Be A Bureaucrat Deciding Whether Or Not You\'re Worth It""']"
/issues/end-of-life-issues,"[u'Fox\'s Doocy: Without Entitlement Reform Like Paul Ryan\'s, ""We\'re All Gonna Get Thrown Off The Cliff""']"
/issues/end-of-life-issues,"[u'Mark Levin Hoax Caller\'s ""Death Panel"" Lie Sets Off Right-Wing Echo Chamber']"
/issues/end-of-life-issues,"[u'RedState Ties Norwegian Bombing Tragedy To Pro-Choice Movement, End Of Life Issues']"
/issues/end-of-life-issues,"[<em>Wash. Times</em>, u'\' Wolf ""Lie[s]"" To Accuse Obama Of Lying On Health Care']"
/issues/end-of-life-issues,"[<em>WSJ</em>, u""'s John Fund Spreads Falsehoods About Indiana Law Defunding Planned Parenthood""]"
/issues/end-of-life-issues,[u'Limbaugh Repeats Canard That Kagan Might Need To Recuse Herself From Hearing Health Care Reform Case']
/issues/end-of-life-issues,[u'Big Government Repeats False Claim That IPAB Will Ration Health Care']
/issues/end-of-life-issues,[u'Right-Wing Media Return To Fearmongering About Health Care Rationing']
/issues/end-of-life-issues,"[u'Broken Record: Tantaros Fearmongers Yet Again About Nonexistent ""Rationing Boards""']"
/issues/end-of-life-issues,"[u'Serial Health Care Fearmongerers ', <em>Fox &amp; Friends</em>, u' Attack Obama for ""Scaring"" Seniors']"
/issues/end-of-life-issues,"[u'Erickson Seizes On Obama\'s Speech To Revive ""Death Panel"" Lie']"
/issues/end-of-life-issues,"[u'Beck Continues Neverending Quest To Prove ""Death Panels"" Really Are ""Coming""']"
/issues/end-of-life-issues,"[u'Earhardt: Baby Joseph ""Was Rescued From A Hospital In Canada...Hours Away From Being Taken Off Life Support""']"
/issues/end-of-life-issues,"[u'Right-Wing Media\'s Cognitive Dissonance Persists In ""Baby Joseph"" Case']"
/issues/end-of-life-issues,"[u'Doocy On Terminally Ill Baby: Canadian ""Health Panel Wanted To End His Life""']"
/issues/end-of-life-issues,"[<em>Fox &amp; Friends</em>, u' Pushes Health Care Misinformation Using Case Of Canadian Baby']"
/issues/end-of-life-issues,[u'Fox Uses Case Of Canadian Baby To Raise Specter Of Death Panels']
/issues/end-of-life-issues,"[u'Intermittent Fact-Checking Continues At ', <em>Washington Post</em>]"
/issues/end-of-life-issues,"[u'Ingraham To Fox\'s ""Senior"" Viewers: Doctors Now Can Push You ""Into Hospice"" and ""No Treatment For Serious Conditions""']"
/issues/end-of-life-issues,[u'Serial Health Care Misinformer McCaughey Jumps Back On Death Panel Bandwagon']
/issues/end-of-life-issues,"[u'Napolitano Falsely Claims There Are Now Death Panels That Will ""Tell Grandma And Grandpa ... How And When To Die""']"
/issues/end-of-life-issues,"[u'The ', <em>Washington Post</em>, u', Where Death Panels Never Die']"
/issues/end-of-life-issues,"[u'Chris Wallace Advances Death Panel Myth, Liasson Corrects The Record']"
/issues/end-of-life-issues,[u'Why Are Conservatives Trying To Scare Seniors Out Of Talking To Doctors About Treatment?']
/issues/end-of-life-issues,"[u'Attention', <em> New York Times:</em>, u"" Sarah Palin Is Responsible For Sarah Palin's Lies""]"
/issues/end-of-life-issues,"[u'Beck: ""How have I distorted the news, by saying that there would be death panels? Oh no, there are""']"
/issues/end-of-life-issues,"[u'Gretchen Carlson claims child euthanasia is ""coming to America""']"
/issues/end-of-life-issues,[u'Beck revives health care rationing and death panel myths']
/issues/end-of-life-issues,"[u'Limbaugh: Berwick is an ""open advocate of rationing, which is shorthand for death panels""']"
/issues/end-of-life-issues,"[u'Rush ""can\'t really object to"" caller\'s idea that Sen. Lautenberg set example by getting only pain pills, end-of-life counseling']"
/issues/end-of-life-issues,[u'Baker fearmongers that health reform will lead to euthanasia for overweight people']
/issues/end-of-life-issues,"[u'Limbaugh to caller: When you turn 65, ""hello death panels""']"
/issues/end-of-life-issues,"[u'Levin invokes ""death panel"" falsehood, cites serial misinformer McCaughey in smearing Emanuel']"
/issues/end-of-life-issues,"[u'Limbaugh\'s latest euthanasia fearmongering: Dems plan to ""kill you""']"
/issues/end-of-life-issues,"[u'Limbaugh returns to euthanasia fearmongering: ""Cradle to grave care"" now means gov\'t ""decide[s] when to dig the grave""']"
