SubCat,Headlines
/issues/energy,"[u""Solyndra Scandal-Mongering Hasn't Stopped The Energy Dept's Loan Program From Turning A Profit""]"
/issues/energy,[u'The ALEC Problem Is Even Worse Than John Oliver Thinks']
/issues/energy,"[<em>Stonewalled</em>, u"": Sharyl Attkisson's Failed Attempt To Rehabilitate Her Bogus Reporting""]"
/issues/energy,[u'Fox Host: I Initially Thought Falling Gas Prices Were Connected To Midterm Elections Next Week']
/issues/energy,[u'Fox News Report On Anti-Keystone XL Spending Is Off By More Than $40 Billion']
/issues/energy,"[<em>WSJ</em>, u"" Editorial Conceals ALEC's Climate Change Denial""]"
/issues/energy,"[u'Sean Hannity And Dana Perino: ""Sponsored By"" Fracking Companies']"
/issues/energy,"[u""Conservative Media's Crocodile Tears On Climate Change And The Poor""]"
/issues/energy,[u'Fox Economist Proposes Energy Plan That Would Increase Terrorism']
/issues/energy,[u'3 Things The Film Hannity Promoted Could Teach Him About Oil']
/issues/energy,"[u'Fox News\' Anti-Scientific Attack On Meatless Monday ""Propaganda""']"
/issues/energy,"[u""VIDEO: Fox's Defense Overruled, BP To Blame For Gulf Oil Spill""]"
/issues/energy,"[u'After Claiming An Advanced Biofuel ""Doesn\'t Exist,"" Media Outlets Ignore Its Large-Scale Production']"
/issues/energy,[u'Myths And Facts About The Koch Brothers']
/issues/energy,[u'Associated Press Profile Of Koch Brothers Whitewashes Their Fossil Fuel Ties']
/issues/energy,"[u'Experts: Pro-Smog Pollution Report Is ""Unmoored From Reality""']"
/issues/energy,"[u'""Fair And Balanced"": Fox News Leans Towards Fracking']"
/issues/energy,[u'Media Ignore Reports Debunking The Keystone XL Talking Point They Trumpeted']
/issues/energy,"[u'The ', <em>Washington Post</em>, u' Editorial Board Is At Odds With Itself Over Climate']"
/issues/energy,[u'Study: Top Fracking States Ignore Findings That Their Drinking Water Is At Risk']
/issues/energy,"[u""What Fox Didn't Tell You: This Coal CEO Who Broke Down In Tears Is Attacking Miners' Health Protections""]"
/issues/energy,"[u'Bush-Era EPA Administrator Baffles Fox Business Hosts: ""We Need To Regulate"" Carbon']"
/issues/energy,"[u""This Is How You Interview Someone Who Isn't Telling The Truth About Fracking""]"
/issues/energy,"[u'The Good, The Bad, And The Ugly: How Business Media Covered ""Risky Business"" Climate Report']"
/issues/energy,[u'Media Advisory: John Droz Is Not A Climate-Change Expert']
/issues/energy,"[u""CNN Lets Koch Brothers' Political Arm Attack Progressive Donor Tom Steyer""]"
/issues/energy,"[u'How ', <em>WSJ</em>, u' Is Helping The Oil Industry Push Their Agenda On Crude Exports']"
/issues/energy,"[u'Putting The ""War On Coal"" In Gina McCarthy\'s Mouth']"
/issues/energy,[u'Fox Uses Iraq Violence To Blame Obama For Rising Gas Prices']
/issues/energy,[u'What Business Reporters Are Missing About The EPA And Manufacturing']
/issues/energy,[u'REPORT: Fox News Enlists Fossil Fuel Industry To Smear EPA Carbon Pollution Standards']
/issues/energy,"[u""AP Fails To Disclose Anti-EPA Group's Ties To Oil And Coal Industries""]"
/issues/energy,[u'Editorial Boards Continue To Cite Debunked Study On Carbon Pollution Standards']
/issues/energy,"[u""Myths and Facts About EPA's Carbon Pollution Standards""]"
/issues/energy,"[u""MSNBC's Ed Schultz Criticizes Hannity For Falsely Blaming Deep Water Oil Spills On Environmentalists""]"
/issues/energy,[u'Fox Callously Dismisses Value Of 4.3 Million Lives Lost To Pollution']
/issues/energy,"[u'One Year Later, New Yorkers Love ""Totalitarian"" Bike Share']"
/issues/energy,"[u""Industry Journal Debunks Hannity's Pro-Oil Propaganda""]"
