SubCat,Headlines
/issues/enforcement,"[u'Bill Kristol Dismisses GOP Strategist Navarro On Border Crisis: ""You\'re Not Quite As Republican As Me""']"
/issues/enforcement,[u'Fox News Falls For Faux Immigration Controversy From New Black Panthers Fabulist']
/issues/enforcement,"[u""Fox's Kristol Ignores Obama's Existing Commitment To Border Enforcement""]"
/issues/enforcement,"[u""Media's Missed Opportunity On Drones Debate""]"
/issues/enforcement,"[u'Fox Host Dismisses Threat Of Furloughs From Budget Cuts As A ""Convenient Excuse"" As Hundreds Lose Their Jobs']"
/issues/enforcement,"[u""Despite Fox's History Of Anti-Immigrant Rhetoric, Murdoch To Highlight Positive Role Of Immigrants""]"
/issues/enforcement,"[<strong>Fox's Claim That Obama Administration Is ""Selling Amnesty"" Is Bogus</strong>]"
/issues/enforcement,"[u""Contrary To Fox's Claims, The Obama Administration Is Not Defying The Supreme Court""]"
/issues/enforcement,[u'Fox Downplays The Likelihood That Arizona Will Engage In Racial Profiling']
/issues/enforcement,[u'Fox Favorite Sekulow Falsely Suggests DHS Has Abandoned AZ Law Enforcement']
/issues/enforcement,"[u'Ingraham Greets Ruling On AZ Law By Smearing Immigrants, Distorting Immigration Facts']"
/issues/enforcement,[u'Fox Still Campaigning For Arizona Anti-Immigrant Bill After SCOTUS Defeat']
/issues/enforcement,[u'Fox Nation v. Fox News Latino: AZ Immigration Law Ruling Edition']
/issues/enforcement,[u'Fox Covers Up GOP Obstruction Of The DREAM Act']
/issues/enforcement,"[u'On Immigration, Fox Would Rather Amplify Attacks Than Present The Facts']"
/issues/enforcement,"[u""The Daily Caller: Always Right, Even When They're Wrong""]"
/issues/enforcement,"[u'Limbaugh: Dems ""Always Hide Behind Children When They\'re Attacking The Constitution ... They\'re Like Hostage Takers In A Way""']"
/issues/enforcement,"[u'Despite Own Reporting, ', <em>NY Times</em>, u"" Continued To Downplay Anti-Immigrant Groups' Unsavory Ties""]"
/issues/enforcement,[u'Are Our Newspapers Normalizing Anti-Immigrant Hate Groups?']
/issues/enforcement,"[u""Nation's Top Print Media Cited Anti-Immigrant Groups As Sources Over 250 Times Since The Introduction Of SB 1070""]"
/issues/enforcement,[u'Exercising Prosecutorial Discretion Is Different From Issuing An Executive Order']
/issues/enforcement,[u'REPORT: Fox News Uses Immigration Policy Change To Repeat Racial Slurs']
/issues/enforcement,[u'Right-Wing Bloggers Falsely Suggest Immigration Policy Change Is Lawless']
/issues/enforcement,[u'Fox Nation Vs. Fox News Latino On The New Immigration Policy']
/issues/enforcement,"[u""Appearing For The Defense Of Arizona's Controversial Immigration Law: Fox News""]"
/issues/enforcement,[u'Fox Defends ALEC As Companies Flee']
/issues/enforcement,[u'Right-Wing Media Suggest ICE Should Devote Resources To Deporting Innocent Student Protesters']
/issues/enforcement,"[u'Media\'s False Comparison Births Obama\'s ""Willie Horton""']"
/issues/enforcement,"[u""Fox's Habit Of Providing Cover For Sheriff Arpaio Continues""]"
/issues/enforcement,"[u'Fox\'s Bolling Again Calls For Sending Undocumented Immigrants ""Back To Where They Came From""']"
/issues/enforcement,"[u'Bolling Attacks DOJ Report Criticizing Sherriff Arpaio, But Admits ""I Haven\'t Read That Report""']"
/issues/enforcement,"[u""Fox's Van Susteren Tries To Gin Up Outrage Over Uncontroversial Border Crossing Proposal""]"
/issues/enforcement,"[u""Fox's Eric Bolling Doesn't Want To Break Up Families, But ...""]"
/issues/enforcement,[u'Fox Pushes AZ Efforts To Build Border Fence Despite Its Predicted High Cost And Unproven Effectiveness']
/issues/enforcement,"[u'Bill O\'Reilly Proposes ""More Prisons"" To Curtail Undocumented Immigration']"
/issues/enforcement,"[u'UCLA Study Highlights ', <em>John &amp; Ken Show</em>, u'\'s Anti-Latino And Anti-Immigrant ""Hate Speech""']"
/issues/enforcement,"[u""Doocy Continues Fox's Trend Of Unbalanced Immigration Coverage""]"
/issues/enforcement,"[u'Fox\'s Hemmer: AZ Gov. Jan Brewer Is ""Leading A One-Woman Fight Against Washington""']"
/issues/enforcement,[u'Fox Furthers Anti-Immigrant Agenda By Lobbing Softballs To AZ Gov. Brewer']
/issues/enforcement,"[u'Fox News, The Preferred Anti-Immigrant Network For Anti-Immigrant Sheriff Paul Babeu']"
/issues/enforcement,"[u'On Fox, Jason Mattera Blasts CA Law On Consular ID Cards, Adds: ""Why Don\'t We Just Give California Back To Mexico?""']"
/issues/enforcement,"[u""NRO's Krikorian Tries To Move The Goal Posts In Immigration Debate""]"
/issues/enforcement,"[u'Fox\'s Megyn Kelly: Judge\'s Ruling On Alabama Immigration Law ""Is A Victory"" For AL']"
/issues/enforcement,"[u'No, Eric Bolling: ""Apprehensions Dropping Dramatically"" Doesn\'t Mean Immigrants Are ""Getting Here"" And ""Staying Here""']"
/issues/enforcement,"[u'Fox Nation: ""Holder Loses: Court Upholds Alabama Immigration Law""']"
/issues/enforcement,"[u""On Fox, ICE Director Debunks Right-Wing Claim That ICE's Focus On Criminals Means Amnesty For All Other Immigrants""]"
/issues/enforcement,"[u'Not ""Very Helpful""? Carlson Advances Myth That Obama Hasn\'t Increased Border Security']"
/issues/enforcement,[u'Fox/Google Debate Hosts Anti-Immigrant Hate Group FAIR For Immigration Question']
/issues/enforcement,"[u""Fox's Perino Cites "", <em>Wash. Post</em>, u' Reporter Vargas To Rebut Anti-Immigrant Vitriol']"
/issues/enforcement,"[u'With Alabama Ruling, Fox Continues Anti-Immigrant Bent']"
/issues/enforcement,"[u'Malkin Uses Obama Uncle\'s Arrest To Accuse Admin Of Being ""Friendly"" To Terrorists']"
/issues/enforcement,"[u""Fox Hosts Hate Group Leader To Attack Obama's Immigration Policy, Defend Controversial AL Law""]"
/issues/enforcement,"[u'Boston\'s Howie Carr Broadcasts Message Discussing Shooting An ""Illegal Alien""']"
/issues/enforcement,"[u'Media-Promoted Anti-Immigrant Leader Calls for ""Illegal and Violent"" Acts']"
/issues/enforcement,"[<em>Wash. Times'</em>, u' Hurt: ""Illegals Who Had Been Headed For Deportation Will Manage To Sneak In A Few Votes"" For Obama']"
/issues/enforcement,"[<em>Wash. Times'</em>, u' Miller: White House Gives ""Illegals"" A ""Free Pass""']"
/issues/enforcement,"[u'Rush Fill-In Steyn: Obama ""Issued An Imperial Decree"" That He\'s ""Not Going To Be Enforcing American Immigration Law""']"
/issues/enforcement,[u'Fox News Viewers Agree With White House Immigration Policy']
/issues/enforcement,"[u'Fox ""Straight News"" Pushes Impeachment Of Obama Over Immigration Policy']"
/issues/enforcement,"[u'Fox\'s Eric Bolling Dismisses Impact Of Breaking Up Families By Deportation: ""They\'re Illegals""']"
/issues/enforcement,"[u'Fox Sees ""Amnesty"" Everywhere']"
/issues/enforcement,"[u'Limbaugh Fill-in Davis: ""It\'s Not Stupid To Try"" To Deport Every Undocumented Immigrant In U.S.']"
/issues/enforcement,"[u'Dobbs Falsely Claims AZ Immigration Law Has A ""Prohibition Against Racial Profiling""']"
/issues/enforcement,"[u""NRO's Krikorian Attacks Muslims In Arguing For Reduced Immigration""]"
/issues/enforcement,[u'Hacked Documents Reveal Border Vigilante Activity']
/issues/enforcement,[u'Fox Nation: Re-Writing Headlines To Fit The Agenda']
/issues/enforcement,"[u'Anti-Immigrant Right Turn Smear Machine On Pulitzer Prize-Winning ', <em>Wash. Post</em>, u' Reporter']"
/issues/enforcement,"[u'With Renewed National Focus On Immigration Reform, Fox Revs Up Anti-Immigrant Campaign']"
/issues/enforcement,"[u""Fox Defends Controversial AL Immigration Law While Largely Ignoring Critics' Concerns""]"
/issues/enforcement,"[u'Fox Supposed ""Straight News"" Report Blasts States For Not Being Tough Enough On Undocumented Immigrants']"
/issues/enforcement,"[u'On Fox, Lars Larson Seizes Opportunity To Rehash Immigration Myths']"
/issues/enforcement,[u'Minuteman to Tea Party: A Grassroots Rebranding']
/issues/enforcement,"[u""Fox Seizes On Immigrant Bust To Criticize Obama's Immigration Record""]"
/issues/enforcement,"[u""Fox News Ignores Reality To Claim Obama Isn't Serious About Immigration Reform""]"
/issues/enforcement,"[<em>NY Post</em>, u' Claims Obama Focusing On Immigration To ""Score Political Points""']"
/issues/enforcement,"[u'Limbaugh: Obama ""Doesn\'t Want More Border Patrol Agents ... He Needs More Dependents Arriving Here""']"
/issues/enforcement,"[u'Limbaugh Staffer\'s ""Hood"" ""Translation"" Asks If Obama Would Send ""Bootylicious Homegirl Michelle"" To Border']"
/issues/enforcement,"[<em>Fox &amp; Friends</em>, u"" Distorts Obama's Record On Border Security""]"
/issues/enforcement,[u'Right-Wing Media Attacks Obama For The Location Near The Location Of His Speech']
/issues/enforcement,[u'Fox Uses White House Meeting On Immigration Reform To Insult Undocumented Immigrants And Border Security']
