SubCat,Headlines
/issues/food-insecurity,"[u'Hannity Suggests People On Government Assistance Should ""Clean The Streets"" To ""Give Something Back""']"
/issues/food-insecurity,"[u'Right-Wing Media\'s Mythological ""Welfare For Weed"" Campaign Has Resulted in Actual GOP Legislation']"
/issues/food-insecurity,"[<em>Wall Street Journal </em>, u'Op-Ed Distorts Pervasive Impact Of Food Insecurity']"
/issues/food-insecurity,"[u'Fox\'s Ablow Explains He Called Michelle Obama Fat Because She\'s ""Struggled With Her Own Weight""']"
/issues/food-insecurity,[u'Fox Host: Michelle Obama Is Too Fat To Be Credible On Nutrition']
/issues/food-insecurity,"[u'Food Stamp Program Hits Historic Low For Waste, Fox Attacks It Anyway']"
/issues/food-insecurity,"[u""New Study Contradicts Conservative Media's Attacks On Healthy School Lunches""]"
/issues/food-insecurity,[u'Fox Ignores Food Industry Ties In Attack Against Healthy School Lunches']
/issues/food-insecurity,[u'GOP Push To Cut School Lunch Funding Echoes Years Of Conservative Media Attacks']
/issues/food-insecurity,"[u'Fox\'s Varney: Enrolling Schoolchildren Onto Food Stamps Is ""A Trap"" To Keep Them From Moving Up In Life']"
/issues/food-insecurity,"[u""The Real Targets Of Conservative Media's Anti-Food Stamp Crusade""]"
/issues/food-insecurity,"[u'Nun Responds To Hannity\'s ""Communist"" Comparison: ""Name Calling Is About All That Exists On That Side""']"
/issues/food-insecurity,"[u""Right-Wing Media Draw False Comparison Between Women's Employment And Food Stamp Recipients""]"
/issues/food-insecurity,[u'Fox Finds Latest Food Stamp Poster Child']
/issues/food-insecurity,"[u""Watch Jon Stewart Eviscerate Fox's Poor-Shaming""]"
/issues/food-insecurity,[u'REPORT: Broadcast Evening News Ignores Public Cost Of Low Minimum Wage']
/issues/food-insecurity,"[u""Fox's Stuart Varney Accuses Government Of Helping Poor People In Order To Buy Votes""]"
/issues/food-insecurity,"[u""Eric Boehlert On MSNBC's "", <em>All In</em>, u': CPAC Follows Right-Wing Media In ""Constantly Shaming Poor People""']"
/issues/food-insecurity,"[<em>The Daily Show</em>, u"" Blasts Fox's Food Stamp War""]"
/issues/food-insecurity,"[u'""Welcome To Obama\'s America,"" Where You Can Use Food Stamps At Strip Clubs, According To Fox']"
/issues/food-insecurity,"[u""2 Success Stories That Undermine Right-Wing Media's Food Stamp Delusion""]"
/issues/food-insecurity,"[u""Fox's Free Lunch Double Standard""]"
/issues/food-insecurity,[u'Fox Pretends Coloradans Can Buy Pot With Food Stamps']
/issues/food-insecurity,"[u'50 Years Into The War On Poverty, Right-Wing Media Want To Give Up The Fight']"
/issues/food-insecurity,"[u""6 Ways Media Attacked America's Social Safety Net In 2013""]"
/issues/food-insecurity,"[<em>The Daily Show</em>, u' Is Not The First Time Forbes\' John Tamny Has Condemned ""Cruel"" Food Stamps']"
/issues/food-insecurity,[u'Limbaugh Falsely Claims Food Stamps Make Kids Fat']
/issues/food-insecurity,[u'Fox: Obamacare Rollout Is Worse Than Shutdown That Drained Billions From Economy']
/issues/food-insecurity,[u'SNAP Cuts Disappear From Network Sunday Show Coverage']
/issues/food-insecurity,"[u""MSNBC's Sharpton Ridicules Right-Wing Media For Using SpongeBob To Attack Social Safety Net""]"
/issues/food-insecurity,"[u'Joel Berg: As ', <em>Media Matters</em>, u"" Points Out, No One Is Talking About Devastating Food Stamp Cuts Except MSNBC's "", <em>All In</em>]"
/issues/food-insecurity,"[u""REPORT: The Food Stamp Cuts The Media Won't Tell You About""]"
/issues/food-insecurity,"[u""Fox Doesn't Understand Why Low-Wage Workers Need Government Assistance""]"
/issues/food-insecurity,[u'Fox Promotes Attack On Free School Meals']
/issues/food-insecurity,"[u""Incredulous Gretchen Carlson Can't Face Facts About Food Stamp Fraud""]"
/issues/food-insecurity,"[u'After Years Of Highlighting Waste In SNAP, Fox Downplays Waste Of Shutdown']"
/issues/food-insecurity,"[u'Limbaugh Mocks WIC Recipients Affected By Shutdown: ""They Can\'t Afford The Nutrition, But They Can Afford The Babies""']"
/issues/food-insecurity,"[u'Limbaugh Falsely Insists WIC Program Is ""Not Doing Anybody Any Good""']"
/issues/food-insecurity,"[u'Bill Kristol Dismisses Shutdown: ""No One Is Going To Starve In Arkansas""']"
/issues/food-insecurity,[u'Limbaugh Downplays Effect Of Government Shutdown On Needy Children']
/issues/food-insecurity,"[u'Fox Analyst Declares GOP\'s Food Stamp Bill ""Compassionate""']"
/issues/food-insecurity,"[u""Fox Pushes Dishonest Claims To Defend GOP's Food Stamp Cuts""]"
/issues/food-insecurity,"[<em>WSJ's</em>, u"" Stephen Moore Pretends GOP's Food Stamp Cuts Won't Affect Children""]"
/issues/food-insecurity,[u'Fox News Gets Its Food Stamp Cuts Through The House']
/issues/food-insecurity,[u'Fox Panelists Agree: Successful Anti-Poverty Programs Are Useless']
/issues/food-insecurity,"[u'Congressman Explains How Fox News ""Is Trying To Help The Republicans"" With Misleading SNAP Reporting']"
/issues/food-insecurity,"[u""Fox Runs Defense For GOP's Attack On Food Stamp Funding""]"
/issues/food-insecurity,"[u""Rush: Michelle Obama's Healthy Food Initiative Is Partially Inspired By Revenge""]"
