SubCat,Headlines
/issues/gender,[u'Rush Limbaugh: CNN Reporting On Bill Cosby Rape Allegations Because Cosby Told Blacks To Step Up']
/issues/gender,"[<em>Outnumbered</em>, u' Helps Kirk Cameron Lecture Women On Christmas Etiquette And Accepting Sexism']"
/issues/gender,"[u""Laura Ingraham Stokes Fears About Cleveland's Transgender-Inclusive Restrooms""]"
/issues/gender,"[u""Fox News Senior Vice President Slams Rand Paul's Attacks On Hillary Clinton's Age""]"
/issues/gender,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/gender,[u'The Harmful Policies Fox Forgot In Its Celebration Of Newfound Republican Diversity']
/issues/gender,"[u'Fox News Slams ', <em>Cosmopolitan </em>, u'For Its Midterm Election Coverage On The Same Day Megyn Kelly Teams Up With The Magazine']"
/issues/gender,"[u'Limbaugh Calls Democratic Senator Mary Landrieu ""Cute Little Baby Fat""']"
/issues/gender,"[u'Fox\'s Mike Gallagher: Only ""Unhappy Women"" Complain About Street Harassment']"
/issues/gender,[u'Right-Wing Media Defend Street Harassment With Their Own Catcalls']
/issues/gender,"[u""NPR's "", <em>Morning Edition</em>, u"" Repeats GOP Spin About Cory Gardner's Positions On Reproductive Rights""]"
/issues/gender,"[u'NRO\'s Dennis Prager: Campus Rape Culture Is A ""Gargantuan Lie to Get Votes""']"
/issues/gender,"[u'Limbaugh: Street Harassment Shows The ""Massive Failure Of Modern Day Feminism""']"
/issues/gender,"[u'Limbaugh On NYC Street Harassment Video: ""Most Of It Was Just Men Being Polite""']"
/issues/gender,"[u'Conservative Media Think This Administrative Tweak To The Definition Of ""Mother"" Means Obama Is ""Selling U.S. Citizenship""']"
/issues/gender,"[u'Fox News Defends Street Harassment As ""Nothing Disrespectful""']"
/issues/gender,"[u'As Gender Pay Inequality In The U.S. Persists, Fox News Still Thinks It\'s A ""Myth""']"
/issues/gender,"[u'Limbaugh: ""The First Black President Is An Albatross Around The Necks Of Five White Women"" Senate Candidates']"
/issues/gender,"[u'Tucker Carlson: Alison Lundergan Grimes ""Seems Like A Sweet Person But She\'s Obviously Not Qualified To Be Room Mother""']"
/issues/gender,"[u'Fox Hosts Lash Out At ', <em>Media Matters</em>, u' Following Widespread Criticism For Discouraging Voters']"
/issues/gender,[u'Hundreds Protest George Will Speech As He Defends Campus Rape Comments']
/issues/gender,[u'Fox News Indignant That A Public Health Course On Abortion Does Not Include Anti-Abortion Perspectives']
/issues/gender,[u'Right-Wing Media Discourage Young Women From Voting']
/issues/gender,"[u'Fox Host: ""Young Women On Juries Are Not A Good Idea"" Because ""They Don\'t Get It""']"
/issues/gender,[u'NRO Minimizes Harmful Effects Of Extremist Personhood Laws']
/issues/gender,"[u'NARAL And MoveOn Call Out ', <em>The</em>, u' ', <em>Denver Post</em>, u'\'s ""Misguided"" Gardner Endorsement']"
/issues/gender,"[u""Fox's Analysis Of The Supreme Court Order On Texas' Abortion Law Includes Gosnell, Omits Facts""]"
/issues/gender,"[u'A Guide To George Will\'s Decades Of Attacks On Sexual Assault Victims And ""Rape Crisis Feminists""']"
/issues/gender,[u'George Will Wonders Why Senate Candidate Is Still Talking About A War On Women']
/issues/gender,"[<em>Denver Post</em>, u' Endorses Cory Gardner By Glossing Over His Extreme Stance On Personhood']"
/issues/gender,"[u'Tantaros: Obama Administration Believes That ""Hobby Lobby Is A Bigger Threat Than ISIS""']"
/issues/gender,"[u'Steve Hayes: The Reason Women Don\'t Run For Office Is Because ""Women Are Concerned With Other Things""']"
/issues/gender,"[u""O'Reilly Pushes Fact-Free Smear That VA Attorney General Doesn't Care About Statutory Rape""]"
/issues/gender,"[<em>Georgia Gang</em>, u' Pundit Dismisses Senate Candidate As A ""Female Airhead""']"
/issues/gender,"[u'Rush Limbaugh: ""I Think This Diversity Business ... It\'s A Crock""']"
/issues/gender,"[u'Limbaugh: Unmarried Women Vote Democrat Because They ""Willingly"" Identify As Victims']"
/issues/gender,"[u'Limbaugh: Unmarried Women Favor Democrats, So GOP Should ""Set Up A Dating Service""']"
/issues/gender,"[u""George Will's Offensive Rape Comments Alienate Another Institution (Updated)""]"
/issues/gender,"[u""MSNBC's Michael Eric Dyson Takes George Will To Task For Trivializing Efforts To Stop Sexual Assault On Campus""]"
/issues/gender,[u'Fox Host Wonders If Being A Grandmother Will Hurt Hillary Clinton Politically']
/issues/gender,"[u'Fox Host: College Sex Education Week Should Include ""How Not To ... Blackout In A Fraternity House""']"
/issues/gender,"[u'On CNN, Mark Kelly Pushes Back Against ', <em>Politico</em>, u' Labeling Wife Gabby Giffords ""Mean""']"
/issues/gender,"[u'Laura Ingraham Blames Gender Equality And ""Political Correctness"" For White House Security Breach']"
/issues/gender,"[<em>Time</em>, u' Ignores Previous Reporting To Question Statistics That Highlight Prevalence Of Sexual Assault']"
/issues/gender,"[u""The Right-Wing Media's Misogyny Has A True Cost For The U.S. Military""]"
/issues/gender,"[u'""Distinctly Unappealing"" And ""Half-Bright"": ', <em>National Review</em>, u""'s Personal Attacks On Lena Dunham""]"
/issues/gender,"[u'Veterans Condemn Fox Host Eric Bolling\'s ""Boobs On The Ground"" Remark']"
/issues/gender,"[u'O\'Reilly Downplays The Gender Wage Gap: Statistics Don\'t Include ""The Emotional Difference Between Men And Women""']"
/issues/gender,"[u'Fox\'s Bolling Offers Second Apology For Calling Female UAE Pilot ""Boobs On The Ground""']"
/issues/gender,"[u'Laura Ingraham Is Worried About Date Rape And Misogyny, Suggests Starting With How Girls Dress']"
/issues/gender,[u'Fox Anchor Shows Conservative Media How They Should Talk About Sexual Assault']
/issues/gender,"[u'Fox Host Eric Bolling Apologizes For Offensive ""Boobs On The Ground"" Comment']"
/issues/gender,"[u""Fox's "", <em>Outnumbered</em>, u' Defends ', <em>Forbes</em>, u' Contributor Fired For Offensive Campus Sexual Assault Column']"
/issues/gender,"[u'Gabby Giffords And How The D.C. Press Portrays ""Mean"" Women']"
/issues/gender,"[u'Fox\'s Bolling Calls First Female UAE Pilot That Bombed Islamic State ""Boobs On The Ground""']"
/issues/gender,"[u""Anti-Gay Pundits Recycle Doomsday DADT Rhetoric To Defend Military's Transgender Service Ban""]"
/issues/gender,[u'Limbaugh Complains That Sexual Assault Gets Widespread Media Coverage While Attacks On Conservatives Get Little Attention']
/issues/gender,"[u'Mark Levin: ""There\'s More Enslaving Of Women, Raping Of Women, Abusing Of Women Around The World"" Under Obama and Secretary Clinton']"
/issues/gender,"[u'Limbaugh: ""The Republican Party Is The Equivalent Of A Battered Wife""']"
/issues/gender,"[u'NRA On Ray Rice: ""All Anti-Gunners Around The World"" Are ""Providing An Example To Young Men That It\'s Okay To Beat Women""']"
/issues/gender,"[u'MSNBC\'s Ed Schultz Calls Out Limbaugh\'s ""Dangerous And Disgusting"" Comments On Sexual Assault']"
/issues/gender,[u'A Fox Host Finally Connected The NFL Domestic Violence Controversy To Benghazi']
/issues/gender,"[u'""The Sorority House Of Hillary Clinton"": How A Fox Guest Explains Away The War On Women']"
/issues/gender,"[u'Limbaugh: ""How Many Of You Guys ... Have Learned That No Means Yes If You Know How To Spot It?""']"
/issues/gender,"[u'On Fox News, ', <em>USA Today</em>, u""'s Christine Brennan Calls Out "", <em>Fox &amp; Friends </em>, u'Comment About Ray Rice Assault']"
/issues/gender,[u'Rush Limbaugh Mocks NFL Pregame Show For Raising Awareness Of Domestic Violence']
/issues/gender,"[u'Rush Responds To NFL\'s Domestic Violence Controversy: ""If We Keep Chickifying This Game We\'re Going To Ruin It""']"
/issues/gender,"[u'Fox\'s Ben Carson: ""I\'m Not Sure That\'s True"" That Domestic Violence Is A ""Terrible Plague""']"
/issues/gender,[u'Fox News Breaks Promise Not To Air Ray Rice Video']
/issues/gender,"[u'Fox\'s Beckel To Female Colleague: ""If Those Legs Of Yours Were A Foot Shorter Do You Think You\'d Be Here?""']"
/issues/gender,"[u'""How Convenient"": Fox Host Dismisses Democrats\' Concern Over Ray Rice Tape As ""War On Women"" Ploy']"
/issues/gender,"[u""How The Right Wing Media Is Using Chuck Todd's Interview To Dismiss Hillary Clinton Support""]"
/issues/gender,"[u'Limbaugh: ""Are We Getting To The Point We\'re Going To Have To Execute Ray Rice?""']"
/issues/gender,"[u'NRO Questions Wendy Davis\' ""Convenient"" Account Of Her Abortions']"
/issues/gender,[u'10 Times Fox Host Brian Kilmeade Degraded Women On Air']
/issues/gender,"[u""Limbaugh: Outrage And Shock Over Ray Rice Assault Proves That Feminism Isn't Real""]"
/issues/gender,"[u'The NRA Is Trying To Reach Out To Women, But This Is How It Talks About Campus Sexual Assault']"
/issues/gender,"[u'CNN\'s Stelter Blasts Fox Host\'s ""Very Cheap Way To Pretend To Apologize"" For Joke On Ray Rice Assault']"
/issues/gender,"[u'Fox News Host Addresses Controversial ""Take The Stairs"" Joke About Ray Rice Assault']"
/issues/gender,"[u""Right-Wing Media Blames Ray Rice's Victim""]"
/issues/gender,"[u""Right-Wing Media Use O'Reilly's Attack On A State Department Spokeswoman To Denounce Obama's Islamic State Strategy""]"
/issues/gender,"[u'Fox\'s Erick Erickson: Obama Wants To Put ""Pregnant Female Soldiers On The Front Lines""']"
/issues/gender,"[u'Fox Host: ""Why Should There Be Anything Controversial"" About Telling Women Not To Drink To Avoid Sexual Assault?']"
/issues/gender,"[u'""Let Men Be Men"": Fox News Hosts Defend Catcalling']"
/issues/gender,"[u'Fox Falsehood: Domestic Violence Survivors Who Seek Asylum Will Get ""Instant U.S. Citizenship""']"
/issues/gender,"[u'While The NRA Tries To Recruit Women, NRA Media Insults Them']"
/issues/gender,"[u""It's Women's Equality Day, And Conservative Media Have A Long Way To Go""]"
/issues/gender,"[u'During Discussion Of Rape Culture, Limbaugh Lashes Out At ""Feminazis"": ""The Reality Is That Boys Chase Girls""']"
/issues/gender,"[u'Fox Uses Beyonc\xe9\'s VMA Performance To Dismiss ""Modern Feminism""']"
/issues/gender,"[u'Fox Host Agrees With ""A Little Bit Of Humiliation"" In School\'s ""Bend Over Test"" Dress Code For Girls']"
/issues/gender,"[<em>Wash</em>, <em>.</em>, <em> Post</em>, u' Helps Perpetuate Myth That False Reports Of Rape Are Widespread']"
/issues/gender,"[u'Fox\'s Watters: Hillary Clinton ""Is Trying To Overcompensate"" On Foreign Policy Because She Is A Woman']"
/issues/gender,"[u'Listen To Ingraham Try To Explain Why ""Fat Bottomed Girls"" Played During Her Discussion Of Michelle Obama']"
/issues/gender,"[u'Fox Host Doesn\'t Think Little League Baseball Is A ""Female Friendly"" Sport']"
/issues/gender,"[u'Laura Ingraham: It\'s ""Child Abuse"" To Give Transgender Kids Hormone Therapy']"
/issues/gender,"[u'Republicans Flock To ""Boorish"" Pundit With ""Pattern Of Being Disrespectful To Women""']"
/issues/gender,"[u""One Year Later: How A Media Myth Helped Close Half Of Texas Women's Health Clinics""]"
/issues/gender,"[u'Fox\'s Tantaros: Rep. Pelosi\'s Immigration Advocacy Is ""Pro-Rape"" Because Girls Coming Across The Border Are Getting Raped']"
/issues/gender,"[u'Fox Host\'s Message To Male Victims Of Domestic Violence: ""That Is Embarrassing, Getting Beaten Up By Your Girlfriend""']"
/issues/gender,[u'Conservative Media React To Domestic Violence Ad With Call For More Guns']
/issues/gender,"[u""Fox's Bob Beckel On ABC's "", <em>The Bachelorette</em>, u' Star: ""She\'s A Slut""']"
/issues/gender,"[u'Limbaugh On Ray Rice\'s Alleged Spousal Abuse: ""How Bad Could It Have Been If She Said Yes To The Proposal""']"
/issues/gender,"[u'Mark Levin Attacks Chamber Of Commerce: ""You Lie Down With Whores Like This And You Become One""']"
/issues/gender,"[u""Limbaugh Revises Obama's Remarks To Cast Him As Apathetic On Female Genital Mutilation""]"
/issues/gender,"[u'Fox\'s Geraldo: ""What A Woman Brings To A Marriage More Than Anything Else ... Is Her Youth""']"
/issues/gender,[u'Right-Wing Media Continue Campaign To Tie Legal Abortion To Convicted Murderer Kermit Gosnell']
/issues/gender,"[u'Megyn Kelly Cites Dr. Tiller\'s Assassination While Claiming Women Will ""Abuse"" Late Term Abortions If Bill Passes']"
/issues/gender,"[u""Bill O'Reilly Advances Extremist Personhood Argument Against Abortion""]"
/issues/gender,"[u""Fox Hides Harmful Effects Of State Attacks On Women's Choice""]"
/issues/gender,"[u'O\'Reilly Asks If Democratic Senators Pushing Bill To End State Targeting Of Abortion Clinics Are ""Executioners""']"
/issues/gender,"[<em>Union Leader</em>, u' Disregards Facts To Attack Hobby Lobby Gender Discrimination Claim']"
