SubCat,Headlines
/issues/guns,"[u""Here's How Gun Extremist Larry Pratt Gets On TV""]"
/issues/guns,"[u'MSNBC\'s Maddow Highlights NRA Failure To Oust Dem. Govs. ""Who Dared To Sign"" Gun Safety Bills']"
/issues/guns,"[u'NRA Wastes No Time: 2016 Elections Will Be ""The Fight Of Our Lives For American Freedom""']"
/issues/guns,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/guns,[u'Three Bizarre Ways The Gun Lobby Media Is Downplaying A Major Background Check Victory']
/issues/guns,"[u'Media Mistake GOP Midterm Victories As Evidence The U.S. Is Now A ""Center-Right Country""']"
/issues/guns,"[u'Media Highlight ""Historic"" Gun Safety Victories During 2014 Midterm Elections']"
/issues/guns,"[u'CNN\'s Jake Tapper: NRA Are ""Liars"" For Ad Attacking Sen. Landrieu']"
/issues/guns,"[<em>Stonewalled</em>, u"": Sharyl Attkisson's Failed Attempt To Rehabilitate Her Bogus Reporting""]"
/issues/guns,"[u'NRA\'s Ted Nugent Closes TX Gov. Race With Attack On ""America-Hating"" Wendy Davis Campaign']"
/issues/guns,"[u'NRA\'s Election Message: ""Vote Your Guns"" Because ISIS Might Be Outside Your House']"
/issues/guns,[u'Right-Wing Media Politicize Canadian Parliament Shooting To Attack Gun Safety Measures']
/issues/guns,"[u'Fox Host Attacks Chrissy Teigen For Calling Attention To Gun Violence: ""This Is The Problem When Models Start To Talk""']"
/issues/guns,"[u""Dana Loesch's New Gun Book Botches Quotes From The Founding Fathers""]"
/issues/guns,"[u'In Reversal, Pro-Gun ', <em>Forbes</em>, u' Columnist Discloses National Rifle Association Ties In Latest Column']"
/issues/guns,"[u'NRA: Guns Can\'t Intimidate Because They Are ""Just Bits Of Plastic And Metal""']"
/issues/guns,"[u'NRA Absolves Corporate Donor That Made Sandy Hook Gun: Blaming Bushmaster ""Like Blaming Kleenex For The Flu""']"
/issues/guns,"[u'NRA\'s Ted Nugent Calls For The ""Evil Carcasses"" Of Obama And Other Democrats In Gun Groups Pitch']"
/issues/guns,[u'Discredited Gun Researcher John Lott Invents Claim To Attack FBI Report On Active Shooter Incidents']
/issues/guns,"[u'NRA Radio Show Guest Says ""Shrill"" Gun Safety Leader Emasculates Her Husband']"
/issues/guns,"[u'NRA-Friendly ', <em>Washington Times</em>, u' Turns To Discredited Gun Researcher John Lott']"
/issues/guns,[u'NRA News Goes To Bat For Sheriff That Warned Of Civil War With The Federal Government']
/issues/guns,"[u'NRA\'s Ted Nugent: ""We The People ... Don\'t Believe That Our President Is A Christian""']"
/issues/guns,"[u'""They\'ve Got Us Hogtied"": Inside The Gun Lobby\'s Strategy Conference']"
/issues/guns,"[<em>Washington Times </em>, u'Continues Unethical Relationship With National Rifle Association']"
