SubCat,Headlines
/issues/health-care-reform,"[u""Fox News Remains Blind To News Of Obamacare's Success""]"
/issues/health-care-reform,[u'Fox Devoted 57 Segments To Manufactured ACA Scandal']
/issues/health-care-reform,"[u""Stephen Colbert Mocks Conservative Media Campaign To Scandalize Gruber's Obamacare Comments""]"
/issues/health-care-reform,"[u""The Fraudulent Media Campaign To Scandalize Obamacare's Passage""]"
/issues/health-care-reform,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/health-care-reform,"[u'MSNBC\'s Dyson Highlights Ben Carson\'s ""Disturbing History Of Absurd And Ignorant Rhetoric"" After Carson Dropped From Fox News']"
/issues/health-care-reform,[u'Conservative Media Use Midterm Results To Misleadingly Claim Americans Support A Repeal Of Obamacare']
/issues/health-care-reform,"[u'Limbaugh: Republicans Have A Mandate ""To Stop Barack Obama."" They ""Were Not Elected To Govern""']"
/issues/health-care-reform,[u'Limbaugh Revives Obamacare Death Panel Zombie Myth Ahead Of Midterm Elections']
/issues/health-care-reform,"[<em>Stonewalled</em>, u"": Sharyl Attkisson's Failed Attempt To Rehabilitate Her Bogus Reporting""]"
/issues/health-care-reform,[u'Top Colorado Newspapers Largely Ignore Issues Important To Hispanic Voters In Senate-Race Coverage']
/issues/health-care-reform,"[u""Miami Herald Papers Rarely Mention Medicaid Expansion's Relevance To The Hispanic Community""]"
/issues/health-care-reform,[u'Karl Rove Bungles Poll Numbers On Obamacare']
/issues/health-care-reform,[u'Conservative Media Turn To Serial Misinformer Betsy McCaughey To Stoke Fears About Ebola']
/issues/health-care-reform,"[u'Fox News\' Obamacare ""Death Knell"" Is Old News (And Good For Most Consumers)']"
/issues/health-care-reform,"[u'Obama Calls Out Fox News For ACA Myths, Fox News Wonders Why']"
/issues/health-care-reform,[u'Conservative Media Revive Death Panel Myth Amid Good Obamacare News']
/issues/health-care-reform,"[u'Fox News Claims That IRS And Postal Service Might Create ""Death Panels""']"
/issues/health-care-reform,"[u""Fox Won't Let Positive ACA Enrollment Numbers Stop Its Attempt To Spin Them As Negative""]"
/issues/health-care-reform,"[u'Watch Obamacare Misinformer Betsy McCaughey Walk Off Of An Interview With ', <em>The Daily Show</em>]"
/issues/health-care-reform,[u'Failure To Disclose: Fox News Hides Fact That Anti-ACA Doctor Is Running For Office In New Hampshire']
/issues/health-care-reform,"[u""Fox's Obamacare Special Touts Senate Campaign Of Scott Brown, Former Fox Contributor""]"
/issues/health-care-reform,"[u""Fox's Special On Obamacare In New Hampshire Is Tailor-Made For Former Employee Scott Brown""]"
/issues/health-care-reform,"[u'Limbaugh Suggests ""Obama Might Be Bombing Iraq To Distract Us From His Numerous Problems""']"
/issues/health-care-reform,"[u'O\'Reilly: Extending Affordable Health Insurance To 40 Million Americans Is ""Harmful"" Income Redistribution']"
/issues/health-care-reform,"[<em>WSJ</em>, u' Buys Into Right-Wing Rhetoric And Decides ""Affordable Care Act"" Really Means No Tax Credits For Working Americans']"
/issues/health-care-reform,[u'Fox News Celebrates Anti-ACA Decision Immediately Cast Into Doubt By Another Appellate Court']
/issues/health-care-reform,[u'Fox Relies On Contributor Who Once Likened ACA To Slavery For Reaction To ACA Decision']
/issues/health-care-reform,[u'Right-Wing Media Still Excited About ACA Lawsuit That Has Been Rejected By Experts And Federal Courts']
/issues/health-care-reform,"[<em>Union Leader</em>, u' Disregards Facts To Attack Hobby Lobby Gender Discrimination Claim']"
/issues/health-care-reform,"[u""Fox Falsely Blames Administration's Tweaks For Ending CBO's Obamacare Scoring""]"
/issues/health-care-reform,"[u""Right-Wing Media's Fan Fiction On "", <em>Hobby Lobby</em>, u' And The War On Women']"
/issues/health-care-reform,[u'Fox News Revives Zombie Myth That Congress Is Exempt From Obamacare']
/issues/health-care-reform,"[<em>WSJ</em>, u' Downplays Rare Supreme Court Order To Accuse Sotomayor Of ""Overreacting""']"
/issues/health-care-reform,"[u'Limbaugh: Men Who Support Contraception Coverage Just Want ""Sex, Sex, Sex. That\'s What It\'s All About""']"
/issues/health-care-reform,"[u'CNN\'s Gingrich Brings ""Abortifacient"" Falsehood From Hobby Lobby Case To ABC\'s ', <em>This Week</em>]"
/issues/health-care-reform,"[u'Fox News Ignores Current Legal Challenges That Could Make ', <em>Hobby Lobby</em>, u""'s Impact On Women Even Worse""]"
/issues/health-care-reform,"[u'Fox\'s Gutfeld Uses Hobby Lobby Decision To Smear Feminists As ""Shrieking,"" Hysterical']"
/issues/health-care-reform,"[u'Hannity On Hobby Lobby Case: ""There\'s A Whole Section Of Birth Control"" At Drugstores, ""Go Buy It"" On Your Own']"
/issues/health-care-reform,"[<em>Tampa Tribune</em>, u"" Pushes Bad Science On Supreme Court's Hobby Lobby Ruling""]"
/issues/health-care-reform,"[u""Fox's Krauthammer Pretends Contraception Isn't A Preventive Health Service Covered By The ACA""]"
/issues/health-care-reform,"[u""Bill O'Reilly And Megyn Kelly Ridicule Sandra Fluke And Contraceptive Access After Hobby Lobby Ruling""]"
/issues/health-care-reform,"[u""Fox's "", <em>The Five</em>, u' Pushes Myth That Hobby Lobby Case Was About ""Abortion Pills""']"
/issues/health-care-reform,"[u'Eight Women Explaining Why The ', <em>Hobby Lobby</em>, u' Ruling Is Dead Wrong']"
/issues/health-care-reform,"[u'Supreme Court Embraces Discrimination Against Women And Right-Wing Media Narratives In ', <em>Hobby Lobby</em>]"
/issues/health-care-reform,"[u'Fox Uses ', <em>Hobby Lobby</em>, u' Decision To Suggest Religious Taxpayers Should Also Be Exempt From Covering Contraceptives']"
/issues/health-care-reform,"[u'Fox Helps Hobby Lobby Lawyer Promote ""Contraception Mandate"" Misnomer']"
/issues/health-care-reform,"[u'Watch This Fox Host Push Four Myths About ', <em>Hobby Lobby </em>, u'In 17 Seconds']"
/issues/health-care-reform,"[u""5 Conservative Media Traps To Avoid During SCOTUS' Last Week""]"
/issues/health-care-reform,"[u'For ', <em>The Wall Street Journal</em>, u"", It's About Abortion Even When It Isn't""]"
