SubCat,Headlines
/issues/housing,[u'Limbaugh Conspiracy: Obama Busing Sick Immigrants To The Suburbs To Punish Affluent People']
/issues/housing,"[<em>NY Post</em>, u' Editorial Board: Homeless Shelter With Sexual Assault And Mice Is ""Too Generous""']"
/issues/housing,"[u""Only Off By A Million, WSJ's Kissel Says Zero Homeowners Were Wrongfully Foreclosed""]"
/issues/housing,"[u'Fox\'s Varney Dismisses Economic Harm From Government Shutdown: ""Not That Big A Deal For Wall Street""']"
/issues/housing,[u'Limbaugh Lies About Anti-Segregation Housing Policy Initiated By George Romney']
/issues/housing,[u'REPORT: Cable Network Coverage Of Obama Speeches Lacks Balance']
/issues/housing,"[u'Hannity Attacks HUD Diversity Program As An ""Attempt By The Government To Social Engineer The American People""']"
/issues/housing,[u'Fox Accuses Obama Of Rebuilding Housing Bubble']
/issues/housing,"[u'Right-Wing Media Attack HUD Diversity Program: ""Tyranny Is Here""']"
/issues/housing,"[u""Fox News Won't Face Economic Reality""]"
/issues/housing,"[<em>Melissa Harris-Perry</em>, u""'s Diverse Economic Coverage""]"
/issues/housing,[u'Cable News Awakens To Fact That Scandal Machine Is Crowding Out Good Economic News']
/issues/housing,[u'REPORT: Cable News Gives Housing Price Surge Less Than 10 Minutes Of Coverage']
/issues/housing,"[u'Legal Experts Debunk Right-Wing Media Accusations Of Labor Nominee\'s ""Shady Quid Pro Quo""']"
/issues/housing,"[<em>WSJ</em>, u' Attempts to Pin Labor Nominee Perez With Myth That Government Caused Housing Crisis']"
/issues/housing,[u'Emerging Conservative Attack On Affordable Housing Policy Regurgitates Same Old False Crisis Narrative']
/issues/housing,"[u'NRO Falsely Accuses Nominee Perez Of A ""Double Standard"" For Lack of Conservatives in Civil Rights Division']"
/issues/housing,"[<em>WSJ</em>, u' Pushes Smear About Nominee Perez\'s Supposed ""Shady"" Deal To Withdraw Supreme Court Case']"
/issues/housing,[u'Limbaugh Redefines Redlining To Perpetuate Financial Crisis Myth']
/issues/housing,[u'Limbaugh Rehashes Discredited Myth That Low-Income Housing Assistance Caused Subprime Loan Crisis']
/issues/housing,[u'Media Silent On Potential Sequestration Effects That Could Hamper DOJ Civil Enforcement Actions']
