SubCat,Headlines
/issues/immigration-myths,[u'Right-Wing Media Revive Myth That Immigration Hurts American Workers']
/issues/immigration-myths,"[u""Rush Limbaugh's Immigration Conspiracy Will Make Your Head Spin""]"
/issues/immigration-myths,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/immigration-myths,"[u'Laura Ingraham Endorses Caller\'s Demand For Boycott Of ""Disgusting"" Mexico']"
/issues/immigration-myths,"[u'MSNBC\'s Maddow Highlights Fox Figures ""Already So Excited"" About Impeachment Over Executive Action On Immigration']"
/issues/immigration-myths,"[u'Fox\'s Chris Wallace Predicts ""Calls For Impeachment"" Over Executive Action On Immigration']"
/issues/immigration-myths,"[u'Conservative Media Think This Administrative Tweak To The Definition Of ""Mother"" Means Obama Is ""Selling U.S. Citizenship""']"
/issues/immigration-myths,"[u""Conservatives' Latest Example Of Potential Voter Fraud Actually Proves The System Works""]"
/issues/immigration-myths,"[u""O'Reilly Crops Video To Accuse Mexican President Of Encouraging Illegal Immigration""]"
/issues/immigration-myths,"[u'UPDATED: ""Categorically False"": DHS Debunks Right-Wing Fiction That ISIS Attempted To Cross The U.S.- Mexico Border']"
/issues/immigration-myths,"[u'Limbaugh: U.S. Will Never Take Steps To Stop Ebola ""Because That Would Have Deleterious Effects On The President\'s Political Agenda""']"
/issues/immigration-myths,"[u'Limbaugh: ""You Have To Infer"" That Ebola Patient In U.S. Is Not An American Citizen']"
/issues/immigration-myths,"[u'Fox\'s Gallagher On Undocumented Immigrants In U.S. Military : ""Let Them Go Serve In The Mexican Army""']"
/issues/immigration-myths,[u'Fox Report Cherry-Picks Immigration Data To Stoke Terrorism Fears']
/issues/immigration-myths,"[u""Ingraham Mocks MSNBC's Jose Diaz-Balart For Translating For Spanish-Speaking Guest""]"
/issues/immigration-myths,"[<em>Fox &amp; Friends</em>, u' Celebrates Hispanic Heritage -- Right After Dubbing Millions Of Them ""Illegals""']"
/issues/immigration-myths,"[u""Fox Host Falsely Claims New York's Municipal ID Program Will Give Undocumented Immigrants Voting Rights""]"
/issues/immigration-myths,"[u'Ingraham Suggests Migrant Children May Spread Drug ""Resistant Forms Of TB"" To ""Public School Kids Across This Country""']"
/issues/immigration-myths,"[u'Downplaying Republican Obstructionism, CNN Suggests Obama Is To Blame On Immigration Reform']"
/issues/immigration-myths,"[u""O'Reilly Didn't Want To Hear His Pro-Immigration Guests -- So He Cut Their Mics""]"
/issues/immigration-myths,[u'Fox Gives Anti-Immigrant Group A Platform To Suggest Immigrant Women Will Lie About Domestic Abuse To Get Asylum']
/issues/immigration-myths,"[u'Fox\'s Ingraham Stokes Fears By Falsely Claiming Obama Released ""Tens Of Thousands"" Of Criminal Aliens']"
/issues/immigration-myths,[u'Fox News Decries Granting Undocumented Children Their Right To Access Public Education']
/issues/immigration-myths,"[u""Even Fox News Host Isn't Amused By O'Keefe's Osama Bin Laden Border Crossing Stunt""]"
/issues/immigration-myths,"[u""Fox's Favorite Economist Has A New Bogus Calculation""]"
/issues/immigration-myths,"[u'Rush Claims Blacks Opposed To Immigration Because They Have ""First Dibs"" On Democrats\' Money']"
/issues/immigration-myths,"[u'Limbaugh Implies Immigration Influx Is An Orchestrated Plan ""To Wrest Control Of This Country"" From White Majority']"
/issues/immigration-myths,"[u""Fox News Falsely Credits Rick Perry's National Guard Deployment Plan For Abatement Of Immigration""]"
/issues/immigration-myths,"[u'After Politicizing Ebola To Smear Immigrants, Ingraham Attacks Media For Stoking Ebola Fears']"
/issues/immigration-myths,"[u'Fox Guest Stokes Ebola Fears Due To ""Uninspected"" Immigrants']"
/issues/immigration-myths,[u'Fox News Is Disappointed That U.S. Deportation Policy Is Focused On Felons']
/issues/immigration-myths,"[u'Fusion\'s Jorge Ramos Tells O\'Reilly That Putting National Guard On The Border Is ""Absurd"" And ""Useless""']"
/issues/immigration-myths,[u'Fox Host Lays Out The Down Side Of Too Much Due Process']
/issues/immigration-myths,"[u'Bill Kristol Dismisses GOP Strategist Navarro On Border Crisis: ""You\'re Not Quite As Republican As Me""']"
/issues/immigration-myths,"[<em>WSJ</em>, u""'s Noonan's Conspiracy Theory: Obama Deliberately Brought On Child Migrant Crisis To Pass Immigration Reform""]"
/issues/immigration-myths,"[u""Fox's Kirsten Powers Slams O'Reilly For His Attacks On Immigrants""]"
/issues/immigration-myths,"[u'Fox\'s Jonah Goldberg Dubs Immigration Influx ""Worse Than Katrina"" For Obama']"
/issues/immigration-myths,"[u'Media Consecrate Their Latest ""Obama\'s Katrina"": Unaccompanied Minors Edition']"
/issues/immigration-myths,"[u""Right-Wing Media's Xenophobic Rhetoric Echoed In Murrieta Protests""]"
