SubCat,Headlines
/issues/intelligence,"[u""Fox Ignores Bush Precedent For DOJ Investigation Of James Foley's Murder""]"
/issues/intelligence,[u'Fox News Uses White House Oversight To Absolve Bush Administration For Valerie Plame Leak']
/issues/intelligence,"[u""Sunday News Shows' False Equivalence Is Drowning Out Benghazi Facts""]"
/issues/intelligence,[u'Fox News Credits Itself For Furthering New Benghazi Hearing Based On Myths']
/issues/intelligence,"[u""Fox's Katie Pavlich Smears Clinton With Benghazi Lie""]"
/issues/intelligence,[u'Canonize or Villainize?']
/issues/intelligence,"[u""On Current TV's "", <em>Talking Liberally</em>, u"", Eric Boehlert Highlights Sean Hannity's Hypocrisy On NSA Surveillance""]"
/issues/intelligence,[u'Sunday Shows Rehash Debunked Benghazi Myths']
/issues/intelligence,"[u'Limbaugh Marks Clinton\'s Cabinet Departure By Reviving Sexist ""Testicle Lockbox"" Attack']"
/issues/intelligence,"[u'Broken Record: Once Again, Fox Analyst Claims Iran Is On The Verge Of Getting Nukes']"
/issues/intelligence,"[u'Black Helicopters Alert: Morris Warns Obama Is Pushing For ""One World Government""']"
/issues/intelligence,"[u'Hannity\'s ""Heroism Vs. Politics"" Obama Special Filled With Right-Wing Bunk']"
/issues/intelligence,"[u'Ignoring Critics, Right-Wing Media Defend NYPD Muslim Surveillance While Pushing Anti-Muslim Rhetoric']"
/issues/intelligence,"[u'In ', <em>WSJ</em>, u' Op-Ed, Feith Pushes Right-Wing Media Narrative That Obama is Anti-Israel']"
/issues/intelligence,"[u'Bolling Falsely Claims That Enhanced Interrogation Techniques ""Absolutely"" Led To Bin Laden Capture']"
/issues/intelligence,"[u'CNN\'s Kurtz Hypes Claim That Osama Bin Laden Film Got ""Classified Information,"" Ignores Pentagon Denials']"
/issues/intelligence,"[u'Beck Sub Joe Pagliarulo Advocates TSA Profiling Rather Than Doing Extra Screening Of ""Joe""']"
/issues/intelligence,"[u'Kilmeade Falsely Claims Holder ""Is Investigating"" The CIA\'s Interrogation Tactics ""That Helped Nab Bin Laden""']"
/issues/intelligence,"[u'Limbaugh: Bin Laden ""Try[ing] To Figure Out How To Bring Down America"" Sounds Like ""Some People In The Democrat Party""']"
/issues/intelligence,[u'Kilmeade And Rove Continue To Attack Obama For Investigations On Enhanced Interrogation']
/issues/intelligence,"[u'On ', <em>Fox &amp; Friends</em>, u', Radio Host Bernier Asks: ""What\'s All This Whining About The Use Of Waterboarding?""']"
/issues/intelligence,"[u'O\'Reilly Falsely Claims DOJ Is Going After ""CIA Agents [Who] Were Just Following Orders"" From Bush']"
/issues/intelligence,"[u""Right-Wing Media Still Hyping EITs, Ignoring Experts' Dispute""]"
/issues/intelligence,"[u'Right-Wing Media Falsely Claim DOJ ""Going After"" CIA Agents Over Interrogation']"
/issues/intelligence,"[u'One Week After OBL Raid, ', <em>Fox &amp; Friends</em>, u' Asks If ""WH Policies"" Will Make It ""Tougher"" To ""Catch A Terrorist""']"
/issues/intelligence,"[<em>Fox &amp; Friends</em>, u' Asks Whether Obama\'s Refusal To Use ""Harsh Interrogation"" Is ""Putting America At Future Risk""']"
/issues/intelligence,"[u'Bozell Decides: ""It Is Because Of Waterboarding That Osama Bin Laden Is Dead, And Everybody Knows It""']"
/issues/intelligence,"[u""Fox Falsely Suggests There's No Doubt That Enhanced Interrogation Techniques Aided In Bin Laden Capture""]"
/issues/intelligence,"[u""Ignoring Facts, Right-Wing Media Rush To Congratulate Bush On Bin Laden's Death""]"
/issues/intelligence,"[u'Beck Rewrites History, Calls Obama A ""Flip Flopper"" Who Opposed ""Everything That Led To"" Killing Bin Laden']"
/issues/intelligence,"[u'Flashback: The Right-Wing Attack On Obama\'s ""Crazy,"" ""Frightening"" Pakistan Terrorism Policy']"
/issues/intelligence,"[u'Zombie Lie: Right-Wing Media Revive ""The \'Wall\'"" To Smear Gorelick As ""Tied To 9-11""']"
