SubCat,Headlines
/issues/international-aid,"[u'Fox\'s Keith Ablow Doubles Down On Imperialist Call For Global ""American Jihad""']"
/issues/international-aid,[u'Ingraham: The Left Believes Americans Should Die From Ebola To Repay Our Debt To Africa']
/issues/international-aid,"[u'MSNBC\'s Alex Wagner Calls Out Right-Wing Media\'s ""Thinly Veiled Racism"" Against Obama\'s Ebola Response']"
/issues/international-aid,"[u'Fox Host Denies Fact That Funding Problems Hinder Ebola Research: ""Patently False""']"
/issues/international-aid,"[u'WATCH: Fox\'s Shepard Smith Blasts Media For ""Hysterical,"" ""Irresponsible"" Ebola Coverage']"
/issues/international-aid,"[u'CNN Turns To ', <em>Outbreak</em>, u' Fiction Writer For Ebola Coverage']"
/issues/international-aid,"[u'Limbaugh: Media Will Try To Make Ebola Victim Thomas Duncan A ""Martyr"" In Order To Pass Amnesty']"
/issues/international-aid,"[u""Fox's Dobbs Accuses CDC Director Of Not Prioritizing Public Health In Handling Of Ebola""]"
/issues/international-aid,"[u'Fox\'s Bernie Goldberg: Many Africans ""Are Backward People, They Do Believe In Witch Doctors""']"
/issues/international-aid,"[u""Conservative Media's Crocodile Tears On Climate Change And The Poor""]"
/issues/international-aid,"[u""Fox's Hume Misleadingly Compares U.S. Aid To Combat Ebola To Obama's Strategy To Defeat Islamic State""]"
/issues/international-aid,[u'Fox Callously Dismisses Value Of 4.3 Million Lives Lost To Pollution']
/issues/international-aid,"[u""Fox's Revisionist History On The State Department's Handling Of Boko Haram""]"
/issues/international-aid,"[<em>NH Union Leader </em>, u'Disregards Experts To Blame Shaheen, Clinton For Boko Haram Kidnappings']"
/issues/international-aid,"[u""How Kidnapped Nigerian Girls Became Right-Wing Media's Latest Hillary Clinton Scandal""]"
/issues/international-aid,"[u'""Sean, Catch Up With The News"": Hannity Guests Flabbergasted By His Stance On Egypt']"
/issues/international-aid,"[u'Fox Guest Pam Geller: Obama ""Is Consistently On The Side Of Jihadic Islamic Supremacist Regimes""']"
/issues/international-aid,"[u'Fox Paints Birther\'s Climate Change Antics As Serious ""Dissent""']"
/issues/international-aid,"[u'Despite National Security Concerns, Fox Suggests U.S. Should Slash Foreign Aid']"
/issues/international-aid,"[u'Black Helicopters Alert: Morris Warns Obama Is Pushing For ""One World Government""']"
/issues/international-aid,"[u""Callous Climate: Conservative Media Deride Adaptation Aid For World's Poor""]"
/issues/international-aid,"[u'Fox Twists Facts To Claim Greece Will Get US ""Bailout""']"
