SubCat,Headlines
/issues/international-conflicts,"[u""Right-Wing Media Paint Historic Climate Agreement As Proof Of Obama Administration's Weakness""]"
/issues/international-conflicts,"[u'Fox\'s Keith Ablow Doubles Down On Imperialist Call For Global ""American Jihad""']"
/issues/international-conflicts,"[u""Fox Repeats Lie That Benghazi Suspect's Indictment Contradicts Obama Administration Narrative Of The Attacks""]"
/issues/international-conflicts,"[u""Stephen Colbert Exposes Inaccuracy Of Fox News' Claims That "", <em>NYT</em>, u' Iraq Chemical Weapons Report Vindicates Bush']"
/issues/international-conflicts,"[u""Fox's "", <em>The Five</em>, u' Distorts History On Bush Administration WMD Claims']"
/issues/international-conflicts,"[u'Tantaros: Obama Administration Believes That ""Hobby Lobby Is A Bigger Threat Than ISIS""']"
/issues/international-conflicts,"[u'O\'Reilly: ""Is Islam A Destructive Force In The World?""']"
/issues/international-conflicts,"[u'On CNN, Reza Aslan Explains How The Media Is Failing In Its Reporting On Islam']"
/issues/international-conflicts,"[u'Bill O\'Reilly: ""Dumb People"" Like Stephen Colbert Oppose Anti-Terror Mercenary Army Idea']"
/issues/international-conflicts,"[u'Stephen Colbert Ridicules O\'Reilly\'s Mercenary ""Fantasy Warfare League"" Plan']"
/issues/international-conflicts,"[u'Fox Runs With Discredited Rumor Of U.S., Paris Subway Terror Plot']"
/issues/international-conflicts,[u'Fox Figures Are Complaining That Obama Took Too Long To Mention The Islamic State In U.N. Address']
/issues/international-conflicts,[u'Conservative Media Invent Political Motive Behind Syrian Airstrikes']
/issues/international-conflicts,[u'Fox Analyst: Obama Timed Syrian Airstrikes To Avoid Killing Islamic State Terrorists']
/issues/international-conflicts,"[u""Fox's Charles Krauthammer Demolishes O'Reilly's Anti-Terrorism Mercenary Force Plan""]"
/issues/international-conflicts,"[u""O'Reilly Invites Blackwater Founder To Endorse His Plan To Fight Islamic State With Mercenaries""]"
/issues/international-conflicts,"[u""Bill O'Reilly's Plan To Defeat Islamic State: A 25,000-Person Mercenary Force""]"
/issues/international-conflicts,"[u'Fox\'s Brit Hume Suggests Obama Designed Islamic State Strategy ""To Fail Slowly""']"
/issues/international-conflicts,"[u""Fox's Hume Misleadingly Compares U.S. Aid To Combat Ebola To Obama's Strategy To Defeat Islamic State""]"
/issues/international-conflicts,"[u'Watch Stephen Colbert Mock Fox News\' ""Boots On The Ground"" Coverage']"
/issues/international-conflicts,[u'This Fox Figure Warns Against Benghazi Conspiracy Theories Minutes After Pushing Cover-Up Myth']
/issues/international-conflicts,[u'Fox Host Baselessly Escalates Latest Benghazi Conspiracy Theory: Iran-Contra Edition']
/issues/international-conflicts,[u'Megyn Kelly Gets Facts Wrong About Coalition Against Islamic State']
/issues/international-conflicts,"[u""MSNBC's Ed Schultz Calls Out "", <em>Wall Street Journal</em>, u' Editorial Board For ""Hiding"" The Facts About Dick Cheney']"
/issues/international-conflicts,[u'Right-Wing Media Scandalize Obama For Distinguishing Islam From Terrorism']
/issues/international-conflicts,[u'The Problem With Right-Wing Media Treating Dick Cheney Like An Expert On Iraq']
/issues/international-conflicts,"[u'Fox Host: Obama\'s Reaction To Terrorist Threat Shows That ""He\'s Got Mental Problems""']"
/issues/international-conflicts,"[u""Steve Hayes Doesn't Remember When He Beat The Drums Of War With Syria""]"
/issues/international-conflicts,"[u'Fox Changes Meaning Of ""Stand Down"" Order To Keep The Benghazi Hoax Alive']"
/issues/international-conflicts,"[u""Fox's Latest Benghazi Hoax Used As Justification For Wasteful Select Committee""]"
/issues/international-conflicts,"[u'Fox\'s Tantaros: Obama ""Has A World View That Is Very Anti-American""']"
/issues/international-conflicts,"[u'Fox Host Says Obama Is ""Tipping His Hat"" To ISIS By Calling Them ISIL']"
/issues/international-conflicts,[u'The Foreign Leaders Conservative Media Wish Were In Charge Here']
/issues/international-conflicts,"[u'Laura Ingraham Tells Radio Listeners That Obama Considers Them, Not Islamic State, The ""True Enemy""']"
/issues/international-conflicts,"[u'Fox Deceptively Edits Obama Speech To Accuse Him Of ""Blaming Our Troops"" For IS Threat']"
/issues/international-conflicts,[u'Blast From The Past: Fox Hosts 2012 Presidential Nominees To Attack Obama']
/issues/international-conflicts,"[u'Fox\'s Elisabeth Hasselbeck: ""Our President Is More Concerned About Removing Trans Fats Than ISIS""']"
/issues/international-conflicts,"[u'Limbaugh Suggests ""Obama Might Be Bombing Iraq To Distract Us From His Numerous Problems""']"
/issues/international-conflicts,"[u""Right-Wing Media Distort Hillary Clinton's Comments To Falsely Claim She Endorsed Hamas""]"
/issues/international-conflicts,[u'Fox Host Megyn Kelly Flubs Ukraine Flight Limits To Bash Obama Over Israel']
/issues/international-conflicts,[u'Right-Wing Media Find A Way To Make MH17 Crash About Benghazi']
/issues/international-conflicts,"[u'Limbaugh Responds To Deadly Airliner Crash: ""Talk About An Opportunity"" For The Media ""To Abandon The Bad Obama News At The Border""']"
/issues/international-conflicts,"[u""CNN's Jake Tapper Confronts Cheney With Bush Administration's Role In Current Iraq Crisis""]"
/issues/international-conflicts,"[u'Fox News Guest Ben Shapiro: Obama Administration Is ""Borderline A Jew-Hating Administration""']"
/issues/international-conflicts,"[u""Right-Wing Media Don't Understand The Effect Of Mirandizing Terror Suspects""]"
/issues/international-conflicts,"[<em>Washington Post</em>, u' Columnist Demands Accountability From Iraq War Architects']"
/issues/international-conflicts,[u'Fox Asks Iraq War Architect Paul Wolfowitz For Advice On U.S. Response To Iraqi Violence']
/issues/international-conflicts,"[u""NBC's David Gregory Falls Silent In The Face Of Debunked Benghazi Myths""]"
/issues/international-conflicts,"[u'Karl Rove Attacks Obama For Pursuing ""Unprecedented"" Iraq Deal That Bush Did First']"
/issues/international-conflicts,"[u'Fox\'s Kelly Asks Iraq War Backer John Bolton If He\'s Avoiding Talk Of ""Past 10 Years And Whether They Were Worth It""']"
/issues/international-conflicts,[u'Rush Limbaugh Speculates Obama Will Send Military Aid To Iraqi Terrorists']
/issues/international-conflicts,"[u'Fox\'s Guilfoyle Asks: ""Is President Obama Dealing In Reality When It Comes To The Global War On Radical Islam?""']"
/issues/international-conflicts,[u'Iraq War Architect Bill Kristol Touts His Consistent Support For Invading Countries']
/issues/international-conflicts,"[u""MSNBC's Ed Schultz Calls Out Media For Giving Discredited Iraq War Architects A Platform""]"
/issues/international-conflicts,[u'Right-Wing Media Ignore Iraqi Resistance To Status Of Forces Agreement To Blame Obama For Violence']
/issues/international-conflicts,[u'Sunday Shows Turn To Discredited Iraq War Architects For Iraq Analysis']
/issues/international-conflicts,"[u""Fox's Vain Hope That DOD Memo Could Be The Benghazi Bombshell It's Been Waiting For""]"
/issues/international-conflicts,[u'Fox Uses Iraq Violence To Blame Obama For Rising Gas Prices']
/issues/international-conflicts,"[u'Fox\'s Doocy: U.S. Is ""Not Helping The Iraqis, But We Are Helping Illegals Get Into This Country""']"
/issues/international-conflicts,"[u""Fox News Swaps Fact With Fiction On Amb. Stevens' Presence In Benghazi""]"
/issues/international-conflicts,"[u'Eric Boehlert On MSNBC: Fox Is ""Completely Out Of Control"" For Talking About Killing Bergdahl And Attacking His Family']"
/issues/international-conflicts,[u'Fox Twists Segment On D-Day Anniversary Into An Attack On Obama']
/issues/international-conflicts,"[u""Watch: Shep Smith Rebuts Fox News' Rush To Judge Bowe Bergdahl""]"
/issues/international-conflicts,"[u""Fox's Revisionist History On The State Department's Handling Of Boko Haram""]"
/issues/international-conflicts,"[u""How Kidnapped Nigerian Girls Became Right-Wing Media's Latest Hillary Clinton Scandal""]"
/issues/international-conflicts,"[u""Eric Boehlert On MSNBC's "", <em>The Ed Show</em>, u"": Fox And Right-Wing Media Are Driving GOP's Obsession With Benghazi""]"
/issues/international-conflicts,"[u'Fox Host Worried Over ""Contrast In Leadership"" Because Obama Doesn\'t Make Crowds ""Openly Weep"" Like Putin Does']"
/issues/international-conflicts,[u'Fox Pretends Obama Did Not Replace Scrapped Missile Defense Program In Europe']
/issues/international-conflicts,"[u'Fox\'s Wallace Falsely Claims ""No Action Taken"" In U.S. Response To Ukraine Crisis']"
/issues/international-conflicts,"[u""Fox's Ablow Blames Obama's Psychology For Russian Invasion Of Crimea""]"
