SubCat,Headlines
/issues/interrogation,[u'Fox Gives Liz Cheney A Platform To Attack Obama For Mentioning Torture']
/issues/interrogation,"[u""Right-Wing Media Don't Understand The Effect Of Mirandizing Terror Suspects""]"
/issues/interrogation,[u'Right-Wing Media Ignore Fact That Civilian Courts Are Better Than Military Commissions At Prosecuting Terrorists']
/issues/interrogation,"[u'Hannity Defends Sarah Palin\'s ""Waterboarding Is How We Baptize Terrorists"" Comments']"
/issues/interrogation,"[u'Fox Host Chris Wallace: ""I Would Have Waterboarded Khalid Sheikh Mohammed Myself""']"
/issues/interrogation,"[u""Fox's Kilmeade Suggests Constitutional Rights Should Not Apply To All American Citizens""]"
/issues/interrogation,"[u'Fox\'s Gutfeld: ""Like I Always Say -- Waterboarding? More Like Awesomeboarding""']"
/issues/interrogation,"[u'Fox\'s Bolton: To Investigate Benghazi, ""Use Rendition"" To Put Suspects In Guantanamo Bay And ""Try A Little Gentle Persuasion""']"
/issues/interrogation,"[u'Hannity\'s ""Heroism Vs. Politics"" Obama Special Filled With Right-Wing Bunk']"
/issues/interrogation,"[u'Fox\'s Eric Bolling Repeats Dubious Claim That ""We Caught Bin Laden By Waterboarding""']"
/issues/interrogation,"[u'Fox Guest Soufan Debunks Waterboarding Talking Points: ""I Was There"" And ""I Don\'t Believe These Techniques Worked""']"
/issues/interrogation,"[u'Limbaugh To Cheney: ""You Are A Great Man""']"
/issues/interrogation,"[u'Earhardt On Gitmo Detainee Family Visits: ""Is This A Holiday Inn Or Is This A Detention Center?""']"
/issues/interrogation,"[u""Memo To Fox: Just Because You Can Shoot Someone During A Military Operation, It Doesn't Mean You Can Waterboard Them""]"
/issues/interrogation,"[u'Beck Sidekick Pat Gray Notes The Merits Of Waterboarding: It\'s ""Temporary""']"
/issues/interrogation,[u'Kilmeade And Rove Continue To Attack Obama For Investigations On Enhanced Interrogation']
/issues/interrogation,"[u'Fox Regular Jasser Suggests Waterboarding Was The ""Moral"" Thing To Do']"
/issues/interrogation,"[u'Kilmeade Decides: ""Should The White House Reconsider Enhanced Interrogation Since It Led To Bin Laden\'s Killing?""']"
/issues/interrogation,"[u'Hannity On Bin Laden: ""We Must Argue That The Obama Policies Were Wrong And The Bush Polices Were Right""']"
/issues/interrogation,"[u'Goldberg Rebuts Fox\'s Talking Points: People Pushing Claim That EITs Worked ""May Have A Dog In This Fight""']"
/issues/interrogation,"[u'O\'Reilly Falsely Claims That ""We Know"" That Enhanced Interrogation Techniques Led To Bin Laden Capture']"
/issues/interrogation,"[u'O\'Reilly Falsely Claims DOJ Is Going After ""CIA Agents [Who] Were Just Following Orders"" From Bush']"
/issues/interrogation,"[u'Right-Wing Media Falsely Claim DOJ ""Going After"" CIA Agents Over Interrogation']"
/issues/interrogation,"[u'Fox\'s Tantaros: Enemies\' Use Of Waterboarding Is ""Even More Proof Why We Should"" Waterboard']"
/issues/interrogation,"[u'Carlson Asks If Credit For Bin Laden\'s Capture Should Go To ""One Of Those Dudes Who Was Waterboarded""']"
/issues/interrogation,"[u'Liz Cheney Claims That The Debate Over ""Enhanced Interrogation"" Is Over: ""It Worked, It Got The Intelligence""']"
