SubCat,Headlines
/issues/jobs-wages-unemployment,[u'Right-Wing Media Revive Myth That Immigration Hurts American Workers']
/issues/jobs-wages-unemployment,[u'Fox Revives Debunked Keystone XL Sustainable Jobs Myth']
/issues/jobs-wages-unemployment,"[u""Watch A Rutgers University Professor Debunk All Fox's Myths On Raising The Minimum Wage""]"
/issues/jobs-wages-unemployment,"[u'On Eve Of Midterm Election, Hannity Declares Unemployment Rate ""A Lie""']"
/issues/jobs-wages-unemployment,[u'Fox Uses Fuzzy Math To Predict GOP Senate Takeover Would Boost Economy']
/issues/jobs-wages-unemployment,"[u""CNN's Crowley Remains Idle As Rand Paul Distorts Hillary Clinton's Trickle-Down Economics Comments""]"
/issues/jobs-wages-unemployment,[u'Top Colorado Newspapers Largely Ignore Issues Important To Hispanic Voters In Senate-Race Coverage']
/issues/jobs-wages-unemployment,"[u'As Gender Pay Inequality In The U.S. Persists, Fox News Still Thinks It\'s A ""Myth""']"
/issues/jobs-wages-unemployment,"[u'Fox Guest Donald Trump Claims ""Real"" Unemployment Rate Is ""18, 19, Maybe Even 20 Percent""']"
/issues/jobs-wages-unemployment,"[u'Hannity Suggests People On Government Assistance Should ""Clean The Streets"" To ""Give Something Back""']"
/issues/jobs-wages-unemployment,"[u'Not Just ""Ordinary Street Thugs"": Limbaugh Accuses Clinton And Warren Of Forming ""Marauding Bands"" To Attack Business']"
/issues/jobs-wages-unemployment,"[u'Fox\'s Bartiromo Defends Trickle-Down Economics: ""The Bottom Line"" Is ""Business Creates Jobs""']"
/issues/jobs-wages-unemployment,"[u""Media Forget Context In Effort To Scandalize Hillary Clinton's Assessment Of Trickle-Down Economics""]"
/issues/jobs-wages-unemployment,"[u""Fox News Baselessly Blames Calls For Minimum Wage Increase For Drop In McDonald's Profits""]"
/issues/jobs-wages-unemployment,"[<em>WSJ</em>, u' Shrugs Off Allegations By Amazon Staffers To Complain About Class Action Lawsuits']"
/issues/jobs-wages-unemployment,"[u""Fox Host Claims The Rich Can't Give More To Charity Because Of Obamacare""]"
/issues/jobs-wages-unemployment,"[u""Fox's Renewed Attack On Obama's Economic Record Is Badly Misleading""]"
/issues/jobs-wages-unemployment,"[u'O\'Reilly Downplays The Gender Wage Gap: Statistics Don\'t Include ""The Emotional Difference Between Men And Women""']"
/issues/jobs-wages-unemployment,"[u'O\'Reilly: ""All The Things That Poor People Have"" Proves America Doesn\'t ""Really Have Any Destitution Anymore""']"
/issues/jobs-wages-unemployment,[u'Right-Wing Media Think Unemployed Americans Spend Too Little Time Working']
/issues/jobs-wages-unemployment,"[u'Bill O\'Reilly Revives Myth That ""You Can Make More Money ... Going On The Dole Than You Can By Working""']"
/issues/jobs-wages-unemployment,"[u'Congressional Progressive Caucus Denounces Erick Erickson\'s ""Degrading Remarks"" About Minimum Wage Workers']"
/issues/jobs-wages-unemployment,"[u'Limbaugh Guest Host Erick Erickson: Minimum Wage Workers Are ""Mostly People Who Failed At Life""']"
/issues/jobs-wages-unemployment,"[u'Fox Revives Right-Wing Myth That Government Assistance Pays ""Better Than Working""']"
/issues/jobs-wages-unemployment,"[u'Fox\'s Gasparino Calls Public Pensions ""Ponzi Schemes,"" Wishes More ""Stigma"" Was Attached To Welfare']"
/issues/jobs-wages-unemployment,"[u""Chris Cillizza's Fixation On Hillary Clinton's Wealth""]"
/issues/jobs-wages-unemployment,"[u""Conservative Media's Favorite Economist Caught Distorting Facts About Taxes And Job Creation""]"
/issues/jobs-wages-unemployment,"[u'Food Stamp Program Hits Historic Low For Waste, Fox Attacks It Anyway']"
/issues/jobs-wages-unemployment,"[u'Millionaire O\'Reilly Lectures Struggling Americans: Save $25,000 By Cutting Out ""Vices,"" Saving Pocket Change']"
/issues/jobs-wages-unemployment,"[<em>Union Leader</em>, u' Disregards Facts To Attack Hobby Lobby Gender Discrimination Claim']"
/issues/jobs-wages-unemployment,"[u'REPORT: Weekday Broadcast And Cable Evening News Economic Coverage Highly Polarized, Lacks Expert Analysis']"
/issues/jobs-wages-unemployment,"[u'How The Websites Of Fox News, MSNBC, And CNN Are Covering The Jobs Numbers']"
/issues/jobs-wages-unemployment,"[u'Fox Business Host: Jobs Report Might Be ""Too Good""']"
/issues/jobs-wages-unemployment,"[u""On CNN's "", <em>OutFront</em>, u', David Brock Explains How Criticism Of Clinton Wealth Comment Is Based On Incomplete Quote']"
/issues/jobs-wages-unemployment,"[u""On Fox's "", <em>Special Report</em>, u', Nina Easton Pushes Debunked Interpretation Of Clinton\'s ""Well Off"" Quote']"
/issues/jobs-wages-unemployment,"[u""Fox Offers Free Public Relations For Walmart's Poverty Wages""]"
/issues/jobs-wages-unemployment,"[u'Bill O\'Reilly: Income Inequality ""Is A Fabricated, Political Thing""']"
/issues/jobs-wages-unemployment,"[u""Industry Journal Debunks Hannity's Pro-Oil Propaganda""]"
/issues/jobs-wages-unemployment,"[u'Art Laffer Tells Fox News: Raising The Minimum Wage Is ""Really Anti-Poor""']"
/issues/jobs-wages-unemployment,"[u'Fox Thinks Earned Unemployment Benefits Create ""Laziness"" Among Jobseekers']"
/issues/jobs-wages-unemployment,"[u'Fox\'s Charles Payne: Increasing Minimum Wage Rewards ""A Form Of Mediocrity""']"
/issues/jobs-wages-unemployment,"[u'Fox News Falsely Claims Americans Use ""Disability Option"" To Avoid Work']"
/issues/jobs-wages-unemployment,"[u""Fox's Andrea Tantaros Tries To Pit Fast Food Strikers Against Immigrants""]"
/issues/jobs-wages-unemployment,"[u'Fox\'s Tucker Carlson Brags That America\'s ""Poor People Are Fat""']"
/issues/jobs-wages-unemployment,"[u'Fox Misleads On Impact Of Budget Sequestration, Calls For Deeper Cuts']"
/issues/jobs-wages-unemployment,"[u""Fox's Bolling Dismisses Benefits Of Minimum Wage Increase, Says There Shouldn't Be One At All""]"
/issues/jobs-wages-unemployment,"[u'Angry Over Call To Redistribute Wealth, Hannity Lectures Pope Francis About The Virtue Of Work']"
/issues/jobs-wages-unemployment,"[u'Fox Cuts Away From GOP Jobs Press Conference Until ""More Interesting"" Benghazi Questions Occur']"
/issues/jobs-wages-unemployment,"[<em>Wall Street Journal</em>, u' Promotes Falsehood That Higher Wages Push Workers Onto Government ""Dole""']"
/issues/jobs-wages-unemployment,"[u'Limbaugh Revives Discredited Conspiracy Theory That Obama Is ""Cooking The Books"" On Jobless Numbers']"
/issues/jobs-wages-unemployment,"[<em>NY Post</em>, u' Doubles Down On Unemployment Conspiracy Theory When Faced With Debunking']"
/issues/jobs-wages-unemployment,"[u'Fox\'s Angela McGlowan: ""We Do Have A Problem With Slavery Today, As Lincoln Did,"" Because Of Government Benefits']"
/issues/jobs-wages-unemployment,[u'UPDATED: Fox Dedicates 15 Times More Coverage To Latest Pretend Benghazi Scandal Than Minimum Wage Vote']
/issues/jobs-wages-unemployment,[u'Fox Obscures Findings Of New Report On Low-Wage Jobs To Attack Obama']
/issues/jobs-wages-unemployment,"[u'Limbaugh: The First Thanksgiving Is An Example Of ""Socialism\'s Failure""']"
/issues/jobs-wages-unemployment,"[u'Nun Responds To Hannity\'s ""Communist"" Comparison: ""Name Calling Is About All That Exists On That Side""']"
/issues/jobs-wages-unemployment,"[u""Fox's Bolling: We Should Emulate China With No Labor Laws Or Minimum Wage""]"
/issues/jobs-wages-unemployment,[u'Fox News On Tax Day: The Rich Pay Too Much']
/issues/jobs-wages-unemployment,[u'REPORT: Broadcast Evening News Ignores Relationship Between Tax Rates And Economic Inequality']
/issues/jobs-wages-unemployment,"[u""Right-Wing Media Draw False Comparison Between Women's Employment And Food Stamp Recipients""]"
/issues/jobs-wages-unemployment,"[u'On ', <em>Media Matters Radio</em>, u', Pioneer Lilly Ledbetter Debunks Conservative Media Myths About Gender Wage Gap']"
/issues/jobs-wages-unemployment,"[u""Facebook's Sheryl Sandberg Debunks Megyn Kelly On Gender Pay Gap""]"
/issues/jobs-wages-unemployment,[u'Fox Host Credits Gender Wage Gap With Helping Women Keep Their Jobs']
/issues/jobs-wages-unemployment,"[u""MSNBC's Rachel Maddow Highlights Fox News' Denial Of The Gender Pay Gap""]"
/issues/jobs-wages-unemployment,"[u""ABC's"", <em> World News</em>, u' Shows How Media Should Cover The Gender Wage Gap']"
/issues/jobs-wages-unemployment,"[u""Fox Refuses To Air President Obama's Equal Pay Signing Ceremony""]"
/issues/jobs-wages-unemployment,"[u""The Media's Imaginary Conflict Between Creating Jobs And Aiding The Unemployed""]"
/issues/jobs-wages-unemployment,"[u'WATCH: Fox News Is Confused By ""Equal Pay For Equal Work""']"
/issues/jobs-wages-unemployment,"[u'O\'Reilly Takes On Gender, Racial, And Income Equality Movements: It\'s A ""Symbolic Frankenstein\'s Monster""']"
/issues/jobs-wages-unemployment,"[u'REPORT: Weekday Broadcast And Cable Evening News Economic Coverage Lacks Context, Economists']"
/issues/jobs-wages-unemployment,"[u'On Eve Of Equal Pay Day, Fox Host Denies Existence Of Gender Pay Gap']"
/issues/jobs-wages-unemployment,[u'Fox Fights Minimum Wage Increases That Would Disproportionately Help Women']
/issues/jobs-wages-unemployment,[u'Fox Misrepresents Economic Research To Push Unemployment Benefit Cuts']
