SubCat,Headlines
/issues/labor-unions,[u'The Midterm Election Spending Fox Actually Wants To Talk About']
/issues/labor-unions,[u'The Fox News Hypocrisy On Student Freedoms']
/issues/labor-unions,"[u""5 Conservative Media Traps To Avoid During SCOTUS' Last Week""]"
/issues/labor-unions,"[u""Fox's Bolling: We Should Emulate China With No Labor Laws Or Minimum Wage""]"
/issues/labor-unions,"[u""Fox's "", <em>The Five</em>, u' Dishonestly Invokes Union Spending To Defend ', <em>McCutcheon</em>, u' Decision']"
/issues/labor-unions,"[u""Fox's Knee-Jerk Reaction To NYC Schools Debate: Blame Teachers""]"
/issues/labor-unions,[u'Fox Dishonestly Frames Union Vote As Threat To Free Speech']
/issues/labor-unions,[u'Myths and Facts: Unions And Organized Labor']
/issues/labor-unions,"[u""Fox's Bolling Repeats Corker's Deceptive Anti-Union Smears""]"
/issues/labor-unions,"[u""Sen. Corker's UAW Smears Go Unchallenged In Fox Interview""]"
/issues/labor-unions,"[u'On Fox, Acknowledging A Civil War Comparison Is The Same As Making It']"
/issues/labor-unions,"[u""Fox Covers Up Corker's Tactics In Celebrating UAW Loss""]"
/issues/labor-unions,[u'Fox Enters Tennessee Labor Fight With Anti-Worker Binge']
/issues/labor-unions,"[u""Fox's "", <em>Special Report</em>, u"" Pushes Fears That Unionizing Of VW Plant Will Harm Tennessee's Economy""]"
/issues/labor-unions,[u'Tennessee Paper Pushes Koch-Connected Anti-Union Message Ahead Of UAW Vote']
/issues/labor-unions,"[u'Sorry Unions, ', <em>The Wall Street Journal </em>, u'Still Hates You']"
/issues/labor-unions,[u'How Tennessee Papers Are Helping The Anti-Union Fight']
/issues/labor-unions,"[<em>Wall Street Journal </em>, u'Begs Scalia Not To ""Join The Liberals""']"
/issues/labor-unions,"[<em>WSJ</em>, u"" Hides Conflict Of Interest In Campbell Brown's Latest Teacher Union Smear""]"
/issues/labor-unions,[u'Income Inequality And The War On Labor']
/issues/labor-unions,"[u'Fox Piles On Big Business\' Attempt To Smear Fast Food Protesters As ""Rent-A-Mobs""']"
