SubCat,Headlines
/issues/lgbt,"[u""Laura Ingraham Stokes Fears About Cleveland's Transgender-Inclusive Restrooms""]"
/issues/lgbt,"[u'Meet Cathi Herrod, Arizona\'s Extreme Anti-LGBT ""Legislative Terrorist""']"
/issues/lgbt,"[u""Fox News Hypes Former Employee Ben Carson's Presidential Campaign Infomercial""]"
/issues/lgbt,"[u""Cleveland.com Falsely Claims Non-Discrimination Law Would Open Women's Restrooms To Men""]"
/issues/lgbt,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/lgbt,"[u'MSNBC\'s Dyson Highlights Ben Carson\'s ""Disturbing History Of Absurd And Ignorant Rhetoric"" After Carson Dropped From Fox News']"
/issues/lgbt,"[u'Media Mistake GOP Midterm Victories As Evidence The U.S. Is Now A ""Center-Right Country""']"
/issues/lgbt,"[u'Anti-LGBT Conservatives Are Rallying In ', <em>Defense</em>, u' Of Election Fraud In Houston']"
/issues/lgbt,"[u""Fox News Is Trying To Kill Houston's Equal Rights Ordinance""]"
/issues/lgbt,"[u""Limbaugh: Houston Mayor Subpoenaed Pastors Because She's A Lesbian""]"
/issues/lgbt,"[u'Anti-Gay Columnist MacKinnon Out At The ', <em>Tampa Tribune</em>]"
/issues/lgbt,"[u""Watch This ADF Attorney Call Matthew Shepard's Murder A Hate Crime Hoax""]"
/issues/lgbt,"[<em>The Guardian </em>, u""Promotes Discredited, Debunked Book About Matthew Shepard's Murder""]"
/issues/lgbt,"[u'MSNBC\'s Alex Wagner Calls Out ""Ludicrous"" Fear Mongering Over Subpoenas Of Houston Pastors']"
/issues/lgbt,"[u'What You Need To Know About The For-Profit Idaho Chapel Being ""Forced"" To Perform A Gay Wedding']"
/issues/lgbt,"[<em>New York Times</em>, u' Columnist Apologizes For Attending Fundraiser For Anti-Gay Legal Group']"
/issues/lgbt,"[u'A ', <em>New York Times</em>, u' Columnist Spoke At A Fundraiser For A Group Working To Criminalize Gay Sex']"
/issues/lgbt,"[u'O\'Reilly: Federal Rulings Legalizing Gay Marriage Have Emboldened Houston Mayor To ""Run Roughshod Over The Constitution""']"
/issues/lgbt,"[u'Limbaugh: Democrats\' ""All Out Assault"" On Marriage, Religion, Science, And Education The Cause Of ""National Angst""']"
/issues/lgbt,"[u""Another Fox News Lie About The Subpoenas Of Houston's Anti-Gay Pastors""]"
/issues/lgbt,[u'Purple Penguins: How Conservative Media Make It Harder For Schools To Protect Transgender Youth']
/issues/lgbt,"[u""No, The City Of Houston Isn't Bullying Anti-Gay Pastors - This Is Basic Lawyering""]"
/issues/lgbt,"[u'Fox News Ignores ""Stunning"" Vatican Document Welcoming Gays']"
/issues/lgbt,[u'Fox News Entertains Discredited Notion That Same-Sex Marriage Is Causing A Decline In Heterosexual Marriage']
/issues/lgbt,"[u'GOP Civil War: Huckabee Demands Republicans ""Grow A Spine"" And Oppose Marriage Equality']"
/issues/lgbt,"[u'Watch Ted Olson Destroy The Conservative Argument That Overturning Same-Sex Marriage Bans Is ""Judicial Activism""']"
/issues/lgbt,[u'Laura Ingraham Worries Anti-Same-Sex Marriage Advocates Will Face Discrimination']
/issues/lgbt,"[u""School District Responds To Fox News' Misinformation About Transgender Student Recommendations""]"
/issues/lgbt,[u'Gretchen Carlson Lashes Out At School Recommendations For Transgender Students']
/issues/lgbt,"[u""O'Reilly Criticizes Supreme Court For Allowing Lower Court Rulings Ending Same-Sex Marriage Bans To Stand""]"
/issues/lgbt,[u'Kentucky Human Rights Commission Dismantles Another Anti-Gay Religious Liberty Story']
/issues/lgbt,"[u'Rush Limbaugh: ""I Think This Diversity Business ... It\'s A Crock""']"
