SubCat,Headlines
/issues/medicaid,[u'Top Colorado Newspapers Largely Ignore Issues Important To Hispanic Voters In Senate-Race Coverage']
/issues/medicaid,"[u""Miami Herald Papers Rarely Mention Medicaid Expansion's Relevance To The Hispanic Community""]"
/issues/medicaid,"[u'Fox Revives Right-Wing Myth That Government Assistance Pays ""Better Than Working""']"
/issues/medicaid,[u'Fox-Led Anti-Medicaid Campaign Leaves 5.7 Million Uninsured']
/issues/medicaid,"[u""From Death Panels To Death Spirals: The Right-Wing Media's Epic Five-Year Health Care Disinformation Campaign""]"
/issues/medicaid,[u'Fox Attacks Medicaid Provision That Keeps Inmates From Returning To Prison']
/issues/medicaid,"[u""Fox's Perino Falsely Accuses The Affordable Care Act Of Deepening Income Inequality""]"
/issues/medicaid,"[u""Fox Hypes Coburn's Misleading Report On Government Health Care Programs""]"
/issues/medicaid,"[u""Fox's Reporting On Medicaid Expansion Absolves The GOP Of Blame For 5 Million Uninsured""]"
/issues/medicaid,[u'What The Media Should Tell You About Obamacare And Inequality']
/issues/medicaid,"[u'50 Years Into The War On Poverty, Right-Wing Media Want To Give Up The Fight']"
/issues/medicaid,"[u""How Nightly News Broadcasts Covered The Affordable Care Act's First Day""]"
/issues/medicaid,"[u""Fox's False Warning That Medicaid Expansion Will Bankrupt States""]"
/issues/medicaid,[u'Fox: Obamacare Rollout Is Worse Than Shutdown That Drained Billions From Economy']
/issues/medicaid,[u'Fox News Misleads On Cost Of Medicaid Expansion For States']
/issues/medicaid,"[u""Fox News Finds A Victim -- Of Republicans' Obamacare Sabotage""]"
/issues/medicaid,"[u'REPORT: Immediately After Shutdown Deal, Print Media Pivot To Debt Reduction']"
/issues/medicaid,"[<em>WSJ</em>, u' Cherry-Picks Study To Attack Medicaid Expansion']"
/issues/medicaid,"[u""Elisabeth Hasselbeck's First Week On Fox News Features Misleading Attacks On Health Care Law""]"
/issues/medicaid,[u'Media Trackers Florida Hypes Outdated Cost Estimate To Attack Medicaid Expansion']
/issues/medicaid,[u'WatchdogVA Prescribes Bad Medicine For Medicaid Expansion']
/issues/medicaid,[u'Right-Wing Media Cherry-Pick Study Findings To Attack Medicaid And Health Care Reform']
/issues/medicaid,[u'NRO Attempts To Manufacture Outrage Over Beneficial Medicaid Program']
/issues/medicaid,"[u'It\'s Health Care: Why Fox Is Wrong About America\'s ""Spending Problem""']"
/issues/medicaid,"[u""O'Reilly Exploits Story Of Formerly Homeless Veteran To Call For Spending Cuts""]"
/issues/medicaid,"[u""Ted Nugent's Budget Deal: Suspend Vote For Welfare Recipients""]"
/issues/medicaid,"[u'PA, NV, OK Editorial Boards Urge Blocking Medicaid Expansion Despite Huge Benefits']"
/issues/medicaid,"[u""The Right-Wing Media's Latest Dishonest Chart""]"
/issues/medicaid,"[<em>NY Times</em>, u"" Hides Romney's Health Care Hypocrisy""]"
