SubCat,Headlines
/issues/medicare,"[u""From Death Panels To Death Spirals: The Right-Wing Media's Epic Five-Year Health Care Disinformation Campaign""]"
/issues/medicare,"[u""Fox Hypes Coburn's Misleading Report On Government Health Care Programs""]"
/issues/medicare,"[u'50 Years Into The War On Poverty, Right-Wing Media Want To Give Up The Fight']"
/issues/medicare,[u'REPORT: What Weekday Broadcast And Cable Evening News Forgot To Cover On The Economy']
/issues/medicare,[u'NRA President Pushes Conspiracy Theory That Obama Will Use Medicare To Create Gun Registry']
/issues/medicare,"[u""Reporter Shoots Down Fox's Scapegoating Of Immigrants For Medicare Errors""]"
/issues/medicare,"[u'REPORT: Immediately After Shutdown Deal, Print Media Pivot To Debt Reduction']"
/issues/medicare,[u'Fox Greets First Day Of Health Care Exchanges With Lies']
/issues/medicare,"[<em>Meet The Press</em>, u""' David Gregory Falsely Claims All American Workers Will See Medicare Tax Increase As A Result Of Health Care Reform""]"
/issues/medicare,"[u""Fox News Politicizes Girl's Lung Transplant To Attack Obamacare""]"
/issues/medicare,"[<em>Las Vegas Review-Journal</em>, u""'s Bad Medicine For Entitlement Reform""]"
/issues/medicare,"[u'Fox Blames Obamacare ""Death Panels"" For Reduced Cancer Treatments Caused By Budget Cuts']"
/issues/medicare,"[u'Karl Rove\'s ""Mediscare"" Hypocrisy']"
/issues/medicare,"[<em>The Wall Street Journal</em>, u' Defends Wasteful Health Care Spending After Calling For Entitlement Cuts']"
/issues/medicare,[u'Fox Revives Health Care Myths To Promote Ryan Budget']
/issues/medicare,"[u""O'Reilly Takes Credit For Obama's Dinner With GOP""]"
/issues/medicare,"[u""O'Reilly Berates Another Guest Who Provides Evidence He's Wrong On Spending Cuts""]"
/issues/medicare,"[u'Scarborough Laments Liberals ""Are Denying Math"" While Changing His Position On Deficits']"
/issues/medicare,"[u'Cable News Debt Ceiling Coverage Encourages The ""Makers v. Takers"" Framework Economists Reject']"
/issues/medicare,[u'REPORT: Economic Growth Absent From Television Coverage Of Debt Ceiling Debate']
/issues/medicare,"[u""Krauthammer's Medicare Hypocrisy""]"
/issues/medicare,"[u'Media Identify Mainstream Positions As Part Of Obama\'s ""Liberal Agenda""']"
/issues/medicare,"[u'It\'s Health Care: Why Fox Is Wrong About America\'s ""Spending Problem""']"
/issues/medicare,"[u""Ted Nugent's Budget Deal: Suspend Vote For Welfare Recipients""]"
/issues/medicare,"[<em>WSJ </em>, u'Has The Wrong Prescription For Social Security And Medicare']"
/issues/medicare,"[<em>Forbes'</em>, u' Tamny Suggests People Who Want To Use Social Security And Medicare Are ""Congenitally Socialist""']"
/issues/medicare,"[<em>Politico</em>, u""'s VandeHei Manufactures Split Between Progressives And Obama Voters On Social Security""]"
/issues/medicare,"[u'On ', <em>Media Matters Radio</em>, u', Economist Dean Baker Explains Reasons Why Right-Wing Media Oppose Social Insurance Programs']"
/issues/medicare,[u'Fox Still Misleading On Medicare To Promote Romney']
/issues/medicare,"[<em>NY Times'</em>, u' Brooks Acts As (Inaccurate) Mouthpiece For Romney-Ryan Medicare Plan']"
/issues/medicare,[u'CNN Paints Misleading Picture Of Ryan Medicare Plan']
/issues/medicare,"[<em>Hannity's America</em>, u', A Nation Of Right-Wing Smears']"
/issues/medicare,[u'Fox Attacks People For Collecting The Social Security And Medicare Benefits They Paid For']
/issues/medicare,[u'REPORT: How The Media Covered Two Romney Falsehoods']
/issues/medicare,"[u""Fox's Chris Wallace Advances GOP's False Medicare Talking Point""]"
/issues/medicare,"[u""NBC's David Gregory Adds To The Noise Of Medicare Coverage""]"
/issues/medicare,"[<em>Wall Street Journal</em>, u"" Gets Everything Wrong In Its Defense Of Romney's Plan To Gut Medicare""]"
/issues/medicare,"[u""On Romney Policy Details, It's Jennifer Rubin Vs. The World (And Jennifer Rubin)""]"
/issues/medicare,"[u'Fox\'s Hannity Repeats Falsehood That Obama Has ""Cut Medicare""']"
/issues/medicare,"[u'Karl Rove\'s Medicare ""Cut"" Confusion']"
/issues/medicare,"[u'How ', <em>The New York Times</em>, u' Perpetuates Falsehood That Obama Is Gutting Medicare']"
/issues/medicare,"[u""Fox Dutifully Adopts GOP Spin On Ryan's Medicare Plan""]"
/issues/medicare,"[u'Fox\'s Bolling: ""Obamacare Literally May Kill You""']"
/issues/medicare,"[u""Fox's Johnson Repeats Falsehood That Nothing Changes For Current Medicare Seniors Under Ryan Plan""]"
/issues/medicare,"[u'Fox\'s Varney And Doocy Perpetuate Falsehood That Obama Has ""Taken"" $700 Billion ""Away From Seniors""']"
/issues/medicare,"[u""Fox's Dick Morris Fearmongers Over Health Care Reform Rationing Myth""]"
/issues/medicare,"[<em>The Five </em>, u""Goes All-Out In Their Defense Of Ryan's Destructive Medicare Plan""]"
/issues/medicare,"[u""Did He Read It? To Prove Ryan's Medicare Claim, Limbaugh Cites Article That Debunks Ryan's Medicare Claim""]"
/issues/medicare,[u'Fox Hides Impact Of Ryan Medicare Plan With Accusations Of Democratic Fearmongering']
/issues/medicare,"[u'""Mr. Budget"": Right-Wing Media Praise Paul Ryan\'s Harmful, Gimmicky Budget']"
/issues/medicare,"[u""CNN's O'Brien Corrects Right-Wing Media Medicare Falsehood""]"
/issues/medicare,"[u""Conservative Media Gloss Over Mandate In Ryan's Medicare Plan""]"
/issues/medicare,"[u""Fox Spins Ryan's Harmful Medicare Plan As Safe For Seniors""]"
/issues/medicare,"[u'Fox\'s Dana Perino On Ryan\'s Medicare Plan: ""Who Wouldn\'t Want"" The Choice The Plan Offers? ""I Want That""']"
/issues/medicare,"[u""Fox Covers Up Romney's Support For Ryan's Medicare Plan""]"
/issues/medicare,[u'Paul Ryan: The Romney Running Mate The Right-Wing Media Demanded']
/issues/medicare,"[u'CBO Report Shows Stable Budget Is Possible, But Media Hype ""Grim"" Scenario']"
/issues/medicare,"[u'Fox\'s Doocy: Maybe Obama Admin Thinks Health Care Law Is Constitutional ""Because They Don\'t Know So Much About The Constitution""']"
/issues/medicare,"[u'Fox\'s Doocy: Without Entitlement Reform Like Paul Ryan\'s, ""We\'re All Gonna Get Thrown Off The Cliff""']"
/issues/medicare,"[u'Fox ""Straight News"" Division Uses Health Care Anniversary To Push GOP Falsehoods On Reform Law']"
/issues/medicare,"[u'Fox\'s Doocy: Unlike Obama, Rep. Ryan Is ""Serious About"" Making Social Security, Medicaid, And Medicare ""Work""']"
/issues/medicare,[u'Center For Budget And Policy Priorities Shows How Important Government Programs Are']
/issues/medicare,"[u'""Pants On Fire""']"
/issues/medicare,"[u'Straight News? Fox\'s Camerota Asks: ""Why Did [Dems] Have To Go Overboard"" With Claims About Ryan\'s Medicare Plan?']"
/issues/medicare,"[u'Politifact\'s Flawed ""Lie of The Year"" Selection Only Encourages More Lying']"
/issues/medicare,"[u'Kilmeade Still Calling IPAB ""Death Panels""']"
/issues/medicare,"[<em>Wash. Times</em>, u' Calls Social Security And Medicare ""FDR\'s Ponzi Schemes""']"
/issues/medicare,"[u'Fox Reporter Uses Outdated Figure To Scaremonger About ""Unfunded Liabilities""']"
/issues/medicare,"[u'Ann Coulter: ""Welfare"" Creates ""Generations Of Utterly Irresponsible Animals""']"
/issues/medicare,"[u'Fox\'s MacCallum: If We Didn\'t Have A Social Safety Net, We\'d Be In A ""Much Better, Stronger Fiscal Position"" To Wage War']"
/issues/medicare,"[<em>Wash. Times</em>, u'\' Wolf ""Lie[s]"" To Accuse Obama Of Lying On Health Care']"
/issues/medicare,[u'Fox News Lobbies For Balanced Budget Amendment That Economic Experts Say Would Hurt The Economy']
/issues/medicare,"[u'Straight News? Fox\'s Bream Asks How The GOP ""Can Get ... The True Facts"" Out About Ryan\'s Medicare Plan']"
/issues/medicare,"[u'Fox Business\' Tracy Byrnes: ""Keep The Government Away From Our Medicare -- That Story Tops Tonight\'s \'Two-Minute Drill\' ""']"
/issues/medicare,"[u'Hannity Repeats Falsehood That Obama ""Cut $500 Billion In Medicare. Five Hundred Billion. Republicans Didn\'t Do That""']"
/issues/medicare,"[u'Fox\'s Monica Crowley: ""Entitlements Are Narcotics"" That People ""Get Addicted"" To']"
/issues/medicare,"[u'Kristol Parrots GOP\'s ""Mediscare"" Talking Point']"
/issues/medicare,"[u'Palin, Who Started The ""Death Panel"" Lie, Criticizes Democrats For ""Trying To Spin"" Ryan\'s Medicare Plan']"
/issues/medicare,"[u'Hannity Continues Pushing GOP Talking Point That Democrats Are Using ""Mediscare""']"
/issues/medicare,"[u""While Defending Ryan's Budget, "", <em>National Review's </em>, u'Goldberg Complains That Obama ""Embraced Mediscare""']"
/issues/medicare,"[u'Hemmer On Ryan\'s Budget Plan: ""I Think America\'s Ready For The Pain""']"
/issues/medicare,"[u'Right-Wing Media Attack Obama Over Medicare ""Cuts"" As They Praise Ryan Plan, Which Includes Same ""Cuts""']"
