SubCat,Headlines
/issues/military-personnel-veterans,"[u'MSNBC\'s Dyson Highlights Ben Carson\'s ""Disturbing History Of Absurd And Ignorant Rhetoric"" After Carson Dropped From Fox News']"
/issues/military-personnel-veterans,"[u'Laura Ingraham Endorses Caller\'s Demand For Boycott Of ""Disgusting"" Mexico']"
/issues/military-personnel-veterans,"[u""The Junk Science Behind Michael Savage's Attacks On Military Troops With PTSD""]"
/issues/military-personnel-veterans,"[u'Michael Savage\'s Disgusting Rant: PTSD And Depression Sufferers Are ""Weak,"" ""Narcissistic,"" ""Losers""']"
/issues/military-personnel-veterans,"[u""Fox's Bob Beckel Calls Out His Network's Ebola Sensationalism""]"
/issues/military-personnel-veterans,"[u""Right-Wing Media's Failed Attempt To Justify Iraq War With "", <em>NY Times</em>, u' Chemical Weapons Report']"
/issues/military-personnel-veterans,"[u'Fox Analyst: Obama Believes Military Should Be Fighting Ebola, Not Defending Our Country']"
/issues/military-personnel-veterans,"[u'Fox Host: Military Leaders ""Should Put Their Stars Down And Walk Out"" On President Obama']"
/issues/military-personnel-veterans,"[<em>Wash. Post</em>, u' Piece Calls For Allen West To Head Secret Service']"
/issues/military-personnel-veterans,"[u""The Right-Wing Media's Misogyny Has A True Cost For The U.S. Military""]"
/issues/military-personnel-veterans,"[u'Veterans Condemn Fox Host Eric Bolling\'s ""Boobs On The Ground"" Remark']"
/issues/military-personnel-veterans,"[u'Fox\'s Gallagher On Undocumented Immigrants In U.S. Military : ""Let Them Go Serve In The Mexican Army""']"
/issues/military-personnel-veterans,[u'Allen West Tells Military To Disobey Commander In Chief']
/issues/military-personnel-veterans,[u'Ingraham Suggests Obama Is Willing To Expose American Troops To Ebola To Atone For Colonialism']
/issues/military-personnel-veterans,"[u""MSNBC's "", <em>PoliticsNation</em>, u' Highlights Right-Wing Media\'s History Of Promoting ""Silly"" Scandals']"
/issues/military-personnel-veterans,"[u""UPDATED: The Media's Imaginary Coffee Salute Scandal""]"
/issues/military-personnel-veterans,[u'Fox Economist Proposes Energy Plan That Would Increase Terrorism']
/issues/military-personnel-veterans,"[u""Anti-Gay Pundits Recycle Doomsday DADT Rhetoric To Defend Military's Transgender Service Ban""]"
/issues/military-personnel-veterans,"[u""Fox Leaves Out Important Context Of Leon Panetta's Statement On Iraq Troop Withdrawal""]"
/issues/military-personnel-veterans,"[u'Fox\'s Erick Erickson: Obama Wants To Put ""Pregnant Female Soldiers On The Front Lines""']"
/issues/military-personnel-veterans,[u'Daily Caller Column Blames Gay Service Members For Rise In Military Rape']
/issues/military-personnel-veterans,"[u'Fox Deceptively Edits Obama Speech To Accuse Him Of ""Blaming Our Troops"" For IS Threat']"
/issues/military-personnel-veterans,[u'Fox Reporter Invents Flip-Flop To Suggest Obama Forced Military To Downplay Islamic State Threat']
