SubCat,Headlines
/issues/poverty,"[<em>Fox &amp; Friends</em>, u"" Justifies Detroit's Decision To Shut Off Water For Poor Residents""]"
/issues/poverty,"[u'Fox Leaves Out Important Information In Welfare Study To Hype ""Entitlement Nation""']"
/issues/poverty,"[u'O\'Reilly: ""All The Things That Poor People Have"" Proves America Doesn\'t ""Really Have Any Destitution Anymore""']"
/issues/poverty,"[u'Right-Wing Media\'s Mythological ""Welfare For Weed"" Campaign Has Resulted in Actual GOP Legislation']"
/issues/poverty,"[u""To Fox News, Having Necessities Like Air Conditioning Means You Aren't Really Poor""]"
/issues/poverty,"[<em>Wall Street Journal </em>, u'Op-Ed Distorts Pervasive Impact Of Food Insecurity']"
/issues/poverty,"[u'Fox Revives Right-Wing Myth That Government Assistance Pays ""Better Than Working""']"
/issues/poverty,"[u'Fox\'s Gasparino Calls Public Pensions ""Ponzi Schemes,"" Wishes More ""Stigma"" Was Attached To Welfare']"
/issues/poverty,"[u'Fox\'s Rivera: Obama\'s ""Biggest Failing ... Is Not Assuming The Role"" Of ""Surrogate Dad For Urban Families""']"
/issues/poverty,"[u'Paul Ryan Shuns Conservative Media\'s ""Makers And Takers"" Rhetoric, But His Policies Still Rely On Those Myths']"
/issues/poverty,"[u'Food Stamp Program Hits Historic Low For Waste, Fox Attacks It Anyway']"
/issues/poverty,"[u""The Worst Part Of Paul Ryan's Poverty Plan Is Based On A Media Myth""]"
/issues/poverty,"[u""New Study Contradicts Conservative Media's Attacks On Healthy School Lunches""]"
/issues/poverty,"[u'NRA\'s Ted Nugent: ""Stupid"" Poor Americans Have ""Bling-Bling"" And Access To ""Clean Water""']"
/issues/poverty,"[u'Millionaire O\'Reilly Lectures Struggling Americans: Save $25,000 By Cutting Out ""Vices,"" Saving Pocket Change']"
/issues/poverty,"[u'REPORT: Weekday Broadcast And Cable Evening News Economic Coverage Highly Polarized, Lacks Expert Analysis']"
/issues/poverty,"[u""Fox Offers Free Public Relations For Walmart's Poverty Wages""]"
/issues/poverty,"[u'Bill O\'Reilly: Income Inequality ""Is A Fabricated, Political Thing""']"
/issues/poverty,"[u'Fox\'s Cavuto: Callousness ""Is Why Charles Payne Is Going To Get A Show"" On Fox']"
/issues/poverty,"[u'Art Laffer Tells Fox News: Raising The Minimum Wage Is ""Really Anti-Poor""']"
/issues/poverty,[u'GOP Push To Cut School Lunch Funding Echoes Years Of Conservative Media Attacks']
/issues/poverty,"[u'Angry Over Call To Redistribute Wealth, Hannity Lectures Pope Francis About The Virtue Of Work']"
/issues/poverty,"[u'Limbaugh Condemns Pope\'s Calls To Reduce Inequality: ""That\'s Marxism. That\'s Socialism""']"
/issues/poverty,[u'Fox Obscures Findings Of New Report On Low-Wage Jobs To Attack Obama']
/issues/poverty,"[u'CNN\'s Stelter: Bundy\'s Remarks Reminiscent Of The ""Conservative Critique Of The American Welfare State""']"
/issues/poverty,"[u'Limbaugh: The First Thanksgiving Is An Example Of ""Socialism\'s Failure""']"
/issues/poverty,"[u""Lawless Rancher's Slavery Comments Echo Conservative Media Rhetoric""]"
/issues/poverty,"[u'Fox\'s Varney: Enrolling Schoolchildren Onto Food Stamps Is ""A Trap"" To Keep Them From Moving Up In Life']"
/issues/poverty,"[u""The Real Targets Of Conservative Media's Anti-Food Stamp Crusade""]"
/issues/poverty,"[u'Nun Responds To Hannity\'s ""Communist"" Comparison: ""Name Calling Is About All That Exists On That Side""']"
/issues/poverty,"[u'Hannity Calls Nun A ""Communist"" For Acknowledging Paul Ryan\'s Budget Hurts The Poor']"
/issues/poverty,"[u'Fox Host: ""I Envy"" Americans Too Poor To Owe Federal Income Taxes']"
/issues/poverty,[u'REPORT: Broadcast Evening News Ignores Relationship Between Tax Rates And Economic Inequality']
/issues/poverty,"[u'REPORT: Weekday Broadcast And Cable Evening News Economic Coverage Lacks Context, Economists']"
/issues/poverty,[u'Fox Finds Latest Food Stamp Poster Child']
/issues/poverty,"[u""Fox's Perino Falsely Accuses The Affordable Care Act Of Deepening Income Inequality""]"
/issues/poverty,"[u""Rep. Barbara Lee On MSNBC's "", <em>All In</em>, u': Public Should Ask O\'Reilly What He Means By ""Race Hustler"" Insult']"
/issues/poverty,"[u'Congresswoman Barbara Lee Responds To O\'Reilly\'s ""Divisive"" ""Race Hustler"" Attack']"
/issues/poverty,"[u'National Coalition To Broadcast Networks: Viewers ""Deserve To Know What\'s At Stake"" If Minimum Wage Stays Low']"
/issues/poverty,"[u'Fox News: Where Helping Workers ""Undercuts Work Ethic""']"
/issues/poverty,"[u""Watch Jon Stewart Eviscerate Fox's Poor-Shaming""]"
/issues/poverty,"[u'On Fox News, Economic Stimulus Is An Economic ""Distraction""']"
/issues/poverty,[u'REPORT: Broadcast Evening News Ignores Public Cost Of Low Minimum Wage']
/issues/poverty,"[u""Eric Boehlert On MSNBC's "", <em>All In</em>, u': CPAC Follows Right-Wing Media In ""Constantly Shaming Poor People""']"
/issues/poverty,[u'Right-Wing Media Totally Cool With Paul Ryan Shaming Kids On Free Lunch Program']
/issues/poverty,"[u""What Economists Say About Paul Ryan's Report On Poverty""]"
/issues/poverty,"[u""O'Reilly Wants First Lady To Come On His Show To Lecture Young Women On Abstinence""]"
/issues/poverty,"[u'""Welcome To Obama\'s America,"" Where You Can Use Food Stamps At Strip Clubs, According To Fox']"
/issues/poverty,[u'Fox Creates Straw Man To Attack Obama Over Income Inequality']
/issues/poverty,"[u'Fox\'s Tantaros: Democrats Pushing For Income Inequality Solutions Are ""Essentially Picking Pockets"" Like ""Poverty Pimps""']"
/issues/poverty,"[u'Fox Host Commends ""Uniquely American"" Value: ""Work Two And Three Jobs To Make Ends Meet""']"
/issues/poverty,"[u'The ""War On Wealth"": Right-Wing Media Defend The Wealthy From Efforts To Reduce Inequality']"
/issues/poverty,"[u""Memo To The Media: What The RNC Didn't Boycott""]"
/issues/poverty,"[u'Bill O\'Reilly: ""The Culture"" Is Partially To Blame For African-American Poverty']"
/issues/poverty,"[u'Fox\'s Nina Easton: ""Government Aid Programs"" Like Disability Benefits ""Consign People To Poverty""']"
/issues/poverty,[u'Fox Flunks Income Inequality']
/issues/poverty,[u'How Many People Does It Take For Stuart Varney To Care About The Working Poor?']
/issues/poverty,[u'What The Media Should Tell You About Obamacare And Inequality']
/issues/poverty,"[u""Fox's Poll On Inequality Doesn't Show What They Think It Does""]"
/issues/poverty,"[u'Fox\'s James Rosen: Income Inequality ""Exists As A Function Of The Genius Of The American Enterprise""']"
/issues/poverty,"[u'Right-Wing Media: Low-Income Americans Are Inheriting Too Much, Working Too Little']"
/issues/poverty,"[u'Rush: We\'d Be ""Far Better Off"" If More Americans Lived And Worked ""The Way The Top 20 Percent Do""']"
/issues/poverty,[u'Myth and Facts: Economic Inequality']
/issues/poverty,[u'Fox Pretends Coloradans Can Buy Pot With Food Stamps']
/issues/poverty,[u'David Brooks Blames Single Mothers For Their Poverty']
/issues/poverty,"[u""Fox Doesn't Believe In Income Inequality But Still Blames Obama For It""]"
/issues/poverty,[u'Experts Refute Right-Wing Claim That Marriage Magically Solves Poverty']
/issues/poverty,[u'Fox Hides The Relationship Between Income Inequality And Poverty']
/issues/poverty,"[<em>Las Vegas Review-Journal</em>, u"" Pushes Myth That Minimum Wage Increase Won't Reduce Poverty""]"
/issues/poverty,"[u""O'Reilly Calls For Unconstitutional Mandatory Drug Tests For Welfare Recipients""]"
