SubCat,Headlines
/issues/race-ethnicity,"[u'On Fox, J. Christian Adams Attacks Attorney General Nominee\'s ""Racial Views"" On Voter ID']"
/issues/race-ethnicity,[u'Rush Limbaugh: CNN Reporting On Bill Cosby Rape Allegations Because Cosby Told Blacks To Step Up']
/issues/race-ethnicity,"[u""Rand Paul Writes Foreword For Confederate Apologist And 9-11 Truther's New Book""]"
/issues/race-ethnicity,"[u'MSNBC\'s Dyson Highlights Ben Carson\'s ""Disturbing History Of Absurd And Ignorant Rhetoric"" After Carson Dropped From Fox News']"
/issues/race-ethnicity,"[u'Fox\'s Rivera: In ""Minority Culture"" They Embrace ""The Thug Ethic""']"
/issues/race-ethnicity,[u'The Harmful Policies Fox Forgot In Its Celebration Of Newfound Republican Diversity']
/issues/race-ethnicity,"[u'Ben Stein On Fox: Obama Is ""The Most Racist President There Has Ever Been In America""']"
/issues/race-ethnicity,"[u'Fox Host: We Need ""An Older White Guy Appreciation Day""']"
/issues/race-ethnicity,[u'Top Colorado Newspapers Largely Ignore Issues Important To Hispanic Voters In Senate-Race Coverage']
/issues/race-ethnicity,"[u'Limbaugh Calls Democratic Senator Mary Landrieu ""Cute Little Baby Fat""']"
/issues/race-ethnicity,"[u'Fox Contributor: Certain Black Voters Bought Into Democrats\' ""Plantation Idea"" Of Dependency']"
/issues/race-ethnicity,"[u'Leading Hispanic Civil Rights Group To Fox News: Encouraging Americans To Vote Is Not ""Voter Fraud""']"
/issues/race-ethnicity,"[u'Fox\'s Bill O\'Reilly: ""The White Republican Power Structure Is Afraid Of Black Americans""']"
/issues/race-ethnicity,"[u'Limbaugh: ""The First Black President Is An Albatross Around The Necks Of Five White Women"" Senate Candidates']"
/issues/race-ethnicity,"[u'Ingraham: Democrats Won\'t Let Black Americans ""Off The Plantation"" Without Being Labeled A ""Sell-Out""']"
/issues/race-ethnicity,"[u'Mark Levin Says Eric Holder Is Guilty Of ""Hate Crimes, If You Will,"" In Ferguson, MO']"
/issues/race-ethnicity,"[u'Fox\'s Bernie Goldberg: ""Facts Mean Something Totally Different"" To ""Black Liberals"" In Michael Brown Shooting']"
/issues/race-ethnicity,"[u""O'Reilly Denies White Privilege Benefit From Growing Up In Whites-Only Levittown""]"
/issues/race-ethnicity,"[u'Limbaugh: ""The Real Reason That Democrats Don\'t Want Voter ID Law Is So They Can Cheat""']"
/issues/race-ethnicity,"[u'""Reminiscent Of The Ku Klux Klan"": Fox Attacks ""Vile"" Ferguson Reference In Democratic Voter Registration Flier']"
/issues/race-ethnicity,"[u'O\'Reilly\'s Latest Explanation For His Denial Of White Privilege: It ""Creates Victimization""']"
/issues/race-ethnicity,[u'How Right-Wing Media Talked About Hispanics During Hispanic Heritage Month']
/issues/race-ethnicity,"[u'On ', <em>The Daily Show</em>, u"", Bill O'Reilly Refuses To Back Down On Denial Of White Privilege""]"
/issues/race-ethnicity,"[u'Fox Doc\'s Racial Rant: Obama Welcomes Ebola Because His ""Affinities"" Are With Africa']"
/issues/race-ethnicity,"[u'Fox\'s Stacey Dash: The Democratic Party Has ""A Plantation Mentality""']"
/issues/race-ethnicity,"[u'Rush Limbaugh: ""I Think This Diversity Business ... It\'s A Crock""']"
/issues/race-ethnicity,"[u'O\'Reilly: ""Is Islam A Destructive Force In The World?""']"
/issues/race-ethnicity,"[u'Fox\'s Bernie Goldberg: Many Africans ""Are Backward People, They Do Believe In Witch Doctors""']"
/issues/race-ethnicity,"[u'Mark Levin: Rep. Luis Guti\xe9rrez And Labor Sec. Thomas Perez Are ""Ethno-Thugs""']"
/issues/race-ethnicity,"[u'Fox Host: Ebola Patients May Arrive From Africa And ""Seek Treatment From A Witch Doctor"" Instead Of A Hospital']"
/issues/race-ethnicity,"[<em>CNN Tonight</em>, u' Rebukes Laura Ingraham For ""Extreme"" Attack On Obama About U.S. Ebola Case']"
/issues/race-ethnicity,"[u'Fox News Host On Oklahoma Beheading: ""Is It Time To Profile?""']"
