SubCat,Headlines
/issues/religion,"[u'O\'Reilly Blames ""The First Salvo This Season In The Ongoing War On Christmas"" On Muslims For Requesting School Holidays']"
/issues/religion,"[u'Sharyl Attkisson Entertains ""End Times"" Host\'s Idea That U.S. Is Headed For ""A Full-Blown Totalitarian Dictatorship""']"
/issues/religion,"[u""Limbaugh: Houston Mayor Subpoenaed Pastors Because She's A Lesbian""]"
/issues/religion,"[u'Fox Figures Advocate For Stop-And-Frisk, Profiling, And Mosque Surveillance Following Extremist Attacks']"
/issues/religion,"[u""Listen To A Muslim Community Leader Call Out Sean Hannity's Anti-Muslim Rhetoric""]"
/issues/religion,"[u'Allen West On Ottawa Attack: ""Shut Down"" Mosques Of Perpetrators And Deport The Imams']"
/issues/religion,"[u'Limbaugh: Democrats\' ""All Out Assault"" On Marriage, Religion, Science, And Education The Cause Of ""National Angst""']"
/issues/religion,"[u""No, The City Of Houston Isn't Bullying Anti-Gay Pastors - This Is Basic Lawyering""]"
/issues/religion,"[u'Fox Attack On Obama Administration For Not Saying ""Jihad"" Ignores Similar Bush Policy']"
/issues/religion,"[u'Fox News Ignores ""Stunning"" Vatican Document Welcoming Gays']"
/issues/religion,[u'Right-Wing Media Attack Ben Affleck For Challenging Islamophobia']
/issues/religion,"[u'O\'Reilly: ""Is Islam A Destructive Force In The World?""']"
/issues/religion,"[u'CNN Host: Reza Aslan\'s ""Tone"" Demonstrated Why People Fear Islam']"
/issues/religion,"[u'On CNN, Reza Aslan Explains How The Media Is Failing In Its Reporting On Islam']"
/issues/religion,[u'Fox Report Cherry-Picks Immigration Data To Stoke Terrorism Fears']
/issues/religion,"[u""Watch A CAIR Representative Shut Down Fox News' Attempt To Attribute A Terrorist Group's Actions To Islam""]"
/issues/religion,"[u'""Either Convert Them Or Kill Them"": Hannity Turns To ', <em>Duck Dynasty</em>, u""'s Phil Robertson On Islamic State's Beheadings""]"
/issues/religion,"[u'Fox\'s Geraldo: Obama Should Encourage American Muslims ""To Be Americans First""']"
/issues/religion,[u'AAJA And MPAC Demand Action After Fox Host Advocated For Violence Against Muslims']
/issues/religion,"[u""Flip-Flop Of Town That Promised Inclusivity Trips Up Right-Wing Media's Legislative Prayer Argument""]"
/issues/religion,"[u""Muslim Leaders Have Roundly Denounced Islamic State, But Conservative Media Won't Tell You That""]"
/issues/religion,"[u'Fox Host Suggests All Muslims Are Like ISIS, Says Problem Should Be Solved ""With A Bullet To The Head""']"
/issues/religion,"[u""Laura Ingraham Defies Reality, Suggests Muslim Leaders Haven't Condemned ISIS Violence""]"
/issues/religion,"[u""NRA's Ted Nugent Reacts To Concert Cancellation By Comparing Critics To Nazi Propagandist""]"
/issues/religion,"[u'Watch Allen West\'s Response To Someone Who Believes ""Obama Is A Muslim"" (It\'s Not Good)']"
/issues/religion,"[u'Fox News Guest Ben Shapiro: Obama Administration Is ""Borderline A Jew-Hating Administration""']"
/issues/religion,[u'Fox News Defends Hate Speech With Misinterpretation Of The First Amendment']
/issues/religion,[u'How Fox News Has A Conversation About Islam']
/issues/religion,"[u'Fox\'s Tamara Holder Calls Out Brigitte Gabriel\'s ""Dangerous"" Islamophobic Rhetoric']"
/issues/religion,"[u'Fox\'s Hannity Gives Brigitte Gabriel A Forum To Berate Muslim Student: ""People Like You Need To Be Put In Their Place""']"
/issues/religion,"[u'""Cowardly,"" ""Fraud,"" ""Total Nutcase"": Fox Hosts Attack Muslim Student Who Criticized Conservative Stereotypes About Islam']"
/issues/religion,"[u""VIDEO: Heritage Foundation's Benghazi Panelists Mock Muslim Student""]"
/issues/religion,"[u'Heritage Hosts Birthers, Islamophobes For Benghazi ""Accountability"" Panel']"
/issues/religion,"[u'O\'Reilly Doubles Down: Robert Bergdahl ""Absolutely Looked Like A Muslim""']"
/issues/religion,[u'How Fox News Is Helping Homophobes Hijack Christianity']
/issues/religion,[u'Right-Wing Media Try To Make Boko Haram The New Face Of Islam']
/issues/religion,"[u'Fox\'s Bolling Suggests Profiling All Muslims: ""If You Want To Look Forward, Focus On That Group""']"
/issues/religion,"[u'""', <em>God Less America</em>, u'"": An Ugly Look At What ', <em>Still </em>, u""Motivates The Right's Culture Warriors""]"
/issues/religion,"[u'Islamophobe Pam Geller On Fox News: ""Obama Has Sided With Jihadists At Every Turn""']"
/issues/religion,"[u'Angry Over Call To Redistribute Wealth, Hannity Lectures Pope Francis About The Virtue Of Work']"
/issues/religion,"[u'Limbaugh Condemns Pope\'s Calls To Reduce Inequality: ""That\'s Marxism. That\'s Socialism""']"
/issues/religion,"[u'George Will Denounces ""Flimsy People"" Who Challenged Overtly Christian Prayers At Town Meetings']"
/issues/religion,"[u'""Bible Bully"": Right-Wing Media Twist The Truth On Religious Restrictions In Florida School']"
/issues/religion,"[<em>WSJ</em>, u"" Should Re-Read Kagan's Dissent In Public Prayer Case""]"
/issues/religion,"[u""Fox's Todd Starnes Invokes Hitler To Attack Critics Of Religion In Government""]"
/issues/religion,[u'The One Religious Liberty Case Anti-Gay Conservatives Want To Ignore']
/issues/religion,"[u""Host Of Fox's "", <em>Outnumbered</em>, u': Obama Is Anti-Semitic']"
/issues/religion,"[u'Hannity Calls Nun A ""Communist"" For Acknowledging Paul Ryan\'s Budget Hurts The Poor']"
/issues/religion,"[<em>WSJ </em>, u'Sold On Ineffective And Potentially Unconstitutional Surveillance Of American Muslims']"
/issues/religion,"[u'Fox News Kicks Off 2014 Coverage Of The ""Unholy War On Easter""']"
/issues/religion,"[u'Right-Wing Media: End Of Muslim Spying A ""Green Light To Islamic Jihad""']"
/issues/religion,"[u'Fox Guest Defends Scrapped NYPD Muslim Surveillance: ""How Frightening Is This Really?""']"
/issues/religion,"[u'Limbaugh: ""Leftists"" Like Colbert, Pelosi Use ""Their Devout Catholicism"" As Cover']"
/issues/religion,"[u'Fox News Contributor Accuses Brandeis University Of ""Honor Killing"" Outspoken Islam Critic']"
/issues/religion,[u'Why Ayaan Hirsi Ali Gets A Conservative Media Spotlight']
/issues/religion,"[u""CNN And Fox News Completely Ignore Mississippi's New Anti-Gay Segregation Law""]"
/issues/religion,"[u'Pat Buchanan: God Is On Putin\'s Side, While ""The West Is Gomorrah""']"
/issues/religion,"[u""Fox's Starnes Embarrasses Himself With Another Bogus Culture War Horror Story""]"
/issues/religion,"[<em>Washington Times </em>, u'Worried That ""The Lavender Lobby"" Is Making Anti-Gay Discrimination Harder']"
/issues/religion,"[<em>Newsweek</em>, u""'s New Owners Funded Anti-Gay Discrimination""]"
/issues/religion,"[u'MSNBC\'s Joy Reid Reveals The History Behind Companies Using ""Corporate Personhood"" To Avoid Regulations']"
/issues/religion,[u'Print Coverage Of Supreme Court Contraception Cases Downplays Corporate Personhood']
/issues/religion,"[u""Conservatives Can't Stop Making Nazi References""]"
/issues/religion,"[<em>National Review </em>, u'Goes All In For Anti-Gay Discrimination']"
/issues/religion,"[<em>The Washington Times </em>, u'Is Concerned About The ""Sexual Proclivities"" Of Wedding Cakes']"
/issues/religion,"[u'Why Is A ', <em>New York Times </em>, u'Columnist Defending Anti-Gay Discrimination?']"
/issues/religion,"[u'George Will: Opponents Of Vetoed AZ Discrimination Bill Are ""Sore Winners""']"
/issues/religion,"[<em>WSJ</em>, u'\'s Noonan Wishes Gays Would Give Discriminatory Business Owners Their ""Space""']"
/issues/religion,[u'How The Right Created Space To Give Businesses The Right To Discriminate']
/issues/religion,"[u""Watch Bill Donohue's Anti-Gay Demagoguery Fall Apart Under Scrutiny""]"
/issues/religion,"[u""Fox Suddenly Concerned About Religious Exemptions As Long As They Don't Involve Women's Health""]"
/issues/religion,"[u'Fox\'s Tucker Carlson: It\'s ""Fascism"" For Businesses To Have To Treat Gay Customers Equally']"
/issues/religion,[u'How Fox News Helped Promote State Anti-Gay Segregation Bills']
/issues/religion,"[<em>National Review</em>, u': Arizona Anti-Gay Segregation Measure Is ""A Live-And-Let-Live Law""']"
/issues/religion,[u'Law Professor Debunks Right-Wing Spin About Arizona Anti-Gay Law']
/issues/religion,"[u""Watch CNN's Cuomo Call Out The Extremist Group Behind Arizona's Anti-Gay Bill""]"
/issues/religion,"[u'Meet Fox\'s New Anti-Muslim ""National Security Analyst""']"
/issues/religion,"[u'Fox vs. Fox: Kirsten Powers Condemns Kansas\' ""Homosexual Jim Crow Laws""']"
/issues/religion,"[u'Fox\'s Ben Carson: Putin Is Right For Calling America ""Godless""']"
/issues/religion,"[u'Hannity Attacks ""Comrade De Blasio"" For Boycotting St. Patrick\'s Day Parade Over Its LGBT Exclusion']"
/issues/religion,"[u'Hannity: Bill De Blasio Closing Schools For Muslim Holidays Will Help Turn NYC Into ""A Mess""']"
/issues/religion,[u'Fox Fears That Ensuring Religious Freedom In The Military Degrades Core Values']
/issues/religion,[u'Fox Panel Laughs At Obama-Antichrist Comparison']
/issues/religion,"[<em>Fox &amp; Friends</em>, u"": It's Obama Vs. The Nuns""]"
/issues/religion,"[u'Tucker Carlson: ""Having Failed To Tame Al-Qaeda, Or Get Syria Under Control, The White House Has A New Enemy ... Nuns""']"
/issues/religion,[u'Erick Erickson Uses Jesus To Deny Climate Change']
/issues/religion,"[u""Fox Doesn't Get Contraception, The ACA Mandate, Or The Recent Nun Injunction""]"
/issues/religion,"[u'Fox\'s Tantaros: Obama Administration Is ""Enabling And Helping The Jihadists Rise Up""']"
/issues/religion,"[u'O\'Reilly: ""It Isn\'t A Mythical War On Christmas. It\'s Real And We Just Won""']"
/issues/religion,"[u'Fox\'s Sean Hannity: ""The Pope Sounds Like He Is Against Capitalism""']"
/issues/religion,"[u'Rush Limbaugh: ', <em>Time Magazine</em>, u' Named Pope Man Of The Year ""Simply Because He Attacks Capitalism And Ticks Me Off""']"
/issues/religion,"[u'Limbaugh: If They Could, The Left ""Would Totally Eliminate"" Christmas']"
/issues/religion,"[u""Catholic League Fine With Rush Limbaugh's Attack On Pope Francis""]"
/issues/religion,"[u'Pope Francis Rebukes ""Marxist"" Attack From Rush Limbaugh & Conservative Media']"
/issues/religion,"[u'In War On Christmas Segment, Tucker Carlson Warns Not Believing In A Power Higher Than Government Leads To ""Killing A Ton Of People""']"
/issues/religion,[u'Conservatives Attack The Pope']
/issues/religion,"[u'After Attacking The Pope, Rush Resurrects Smears Against Sandra Fluke']"
/issues/religion,"[u'O\'Reilly: War On Christmas Is Part Of ""Secular Progressives\'"" Desire For ""Unfettered Abortion"" And Gay Marriage']"
/issues/religion,"[u'Limbaugh: ""The Pope Is Ripping America ... Obama\'s Having An Orgasm""']"
