SubCat,Headlines
/issues/reproductive-choice,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/reproductive-choice,"[u'Media Mistake GOP Midterm Victories As Evidence The U.S. Is Now A ""Center-Right Country""']"
/issues/reproductive-choice,"[u""NPR's "", <em>Morning Edition</em>, u"" Repeats GOP Spin About Cory Gardner's Positions On Reproductive Rights""]"
/issues/reproductive-choice,[u'Fox News Indignant That A Public Health Course On Abortion Does Not Include Anti-Abortion Perspectives']
/issues/reproductive-choice,"[u""Fox Panel Criticizes Hillary Clinton For Championing Women's Issues In Colorado""]"
/issues/reproductive-choice,[u'NRO Minimizes Harmful Effects Of Extremist Personhood Laws']
/issues/reproductive-choice,"[u""George Will Suggests Cory Gardner's Extreme Record On Personhood Is Immaterial""]"
/issues/reproductive-choice,"[u'NARAL And MoveOn Call Out ', <em>The</em>, u' ', <em>Denver Post</em>, u'\'s ""Misguided"" Gardner Endorsement']"
/issues/reproductive-choice,[u'Colorado Reporter Calls Out Senate Candidate Cory Gardner For Hiding Extreme Stance On Personhood']
/issues/reproductive-choice,"[<em>National Review</em>, u' Editor Equates Akin\'s ""Legitimate Rape"" Stance With Grimes\' Defense Of Secret Ballots']"
/issues/reproductive-choice,[u'George Will Wonders Why Senate Candidate Is Still Talking About A War On Women']
/issues/reproductive-choice,"[<em>Denver Post</em>, u' Endorses Cory Gardner By Glossing Over His Extreme Stance On Personhood']"
/issues/reproductive-choice,"[u'Tantaros: Obama Administration Believes That ""Hobby Lobby Is A Bigger Threat Than ISIS""']"
/issues/reproductive-choice,[u'NRO Forgets Its Defense Of Scalia Speeches As It Continues To Attack Ginsburg']
/issues/reproductive-choice,"[u'""Distinctly Unappealing"" And ""Half-Bright"": ', <em>National Review</em>, u""'s Personal Attacks On Lena Dunham""]"
/issues/reproductive-choice,"[u'NRO Thinks Ruth Bader Ginsburg Has A ""Desire To See As Many Poor Children Killed"" As Possible']"
/issues/reproductive-choice,"[u'NRO Questions Wendy Davis\' ""Convenient"" Account Of Her Abortions']"
/issues/reproductive-choice,[u'Fox Ignores Fact That New Contraception Mandate Rules Follow SCOTUS Instructions']
/issues/reproductive-choice,"[u'Media Misses Expanding Influence Of ', <em>Citizens United</em>, u', Link To ', <em>Hobby Lobby </em>]"
/issues/reproductive-choice,"[u'Fox\'s Bolling Lectures Supreme Court Justice Ginsburg For Lack Of ""Working Knowledge"" On Hobby Lobby Case']"
/issues/reproductive-choice,"[<em>WSJ</em>, u' Attacks Efforts To Fix Conservative Case Law That Allows Discrimination Against Pregnant Women']"
/issues/reproductive-choice,"[u""Fox News' Dangerous Anti-Choice Rhetoric Downplays Impact On Women's Health""]"
/issues/reproductive-choice,[u'Right-Wing Media Continue Campaign To Tie Legal Abortion To Convicted Murderer Kermit Gosnell']
