SubCat,Headlines
/issues/social-security,[u'Limbaugh Revives Obamacare Death Panel Zombie Myth Ahead Of Midterm Elections']
/issues/social-security,"[u'Fox News Falsely Claims Americans Use ""Disability Option"" To Avoid Work']"
/issues/social-security,"[u""UPDATED: Two Charts That Show Conservatives Don't Understand Disability""]"
/issues/social-security,"[u""REPORT: Print Media's Misleading Coverage Of Social Security Figures""]"
/issues/social-security,[u'Fox Guest Warns That U.S. Could Become Ukraine Without Social Security Cuts']
/issues/social-security,"[u'Fox\'s Nina Easton: ""Government Aid Programs"" Like Disability Benefits ""Consign People To Poverty""']"
/issues/social-security,"[u""REPORT: Weekday Broadcast And Cable Evening News' Social Security Debate""]"
/issues/social-security,"[u'50 Years Into The War On Poverty, Right-Wing Media Want To Give Up The Fight']"
/issues/social-security,[u'REPORT: What Weekday Broadcast And Cable Evening News Forgot To Cover On The Economy']
/issues/social-security,[u'Fox Ignores Science To Suggest Newly Disabled Americans Are Faking It']
/issues/social-security,"[u""6 Ways Media Attacked America's Social Safety Net In 2013""]"
/issues/social-security,"[u'Fox Business Host: Men On Social Security Disability Are ""Modern-Day Eunuchs""']"
/issues/social-security,"[u'Fox\'s Kilmeade Asks If Federal Benefits Like Social Security Put America ""On The Road Toward Socialism""']"
/issues/social-security,"[u'REPORT: Immediately After Shutdown Deal, Print Media Pivot To Debt Reduction']"
/issues/social-security,"[u""Fox's Rove Falsely Claims That Social Security, Medicare Lack Fraud Protection""]"
/issues/social-security,[u'Fox Uses Denounced Disability Report To Obscure Falling Rate Of Disability Claims']
/issues/social-security,"[<em>60 Minutes</em>, u' Report Denounced For Disability Misinformation']"
/issues/social-security,"[u'Fox\'s McDowell: ""When You\'re Relying On The Government To Support Yourself, There Is No Sense Of Self-Worth There""']"
/issues/social-security,[u'Fox Falsely Claims CA Workers Will Be Forced Into Voluntary Retirement Savings Program']
/issues/social-security,"[u""How Print Media's Social Security Coverage Helps The Push For Cuts""]"
/issues/social-security,"[u""Print Media's Dependence On Raw Social Security Numbers""]"
/issues/social-security,[u'Media Continue To Ignore Economic News']
/issues/social-security,[u'REPORT: The State Of Cable And Broadcast Economic Coverage']
/issues/social-security,[u'Media Coverage Of Social Security Ignores Proposals That Assist Beneficiaries']
/issues/social-security,"[u""REPORT: Broadcast And Cable News' One-Sided Social Security Debate""]"
/issues/social-security,[u'Right-Wing Media Miss The Facts On Disability Fraud']
/issues/social-security,[u'Fox Business Uses DOMA Ruling To Push For Social Security Cuts']
/issues/social-security,"[<em>Las Vegas Review-Journal</em>, u""'s Bad Medicine For Entitlement Reform""]"
/issues/social-security,"[<em>WSJ</em>, u' Debunks ', <em>WSJ</em>, u' On Labor Force And Disability']"
/issues/social-security,[u'Myths & Facts Behind The Campaign To Attack Disability Benefits']
/issues/social-security,"[u'Fox\'s Disability Insurance Fraud ""Shocker"" Falls Flat']"
/issues/social-security,"[<em>Wash. Post</em>, u' Omits Crucial Facts In Article About Immigrants And Social Security']"
/issues/social-security,"[u""Fox Misleadingly Hypes UK's Changes To Disability Benefits As Model For Reform""]"
/issues/social-security,"[<em>Fox News Watch</em>, u' Praises Misleading Disability Report Aired On NPR']"
/issues/social-security,"[<em>This American Life</em>, u' Criticized For Defending Misleading Disability Benefits Report']"
/issues/social-security,"[u""Right-Wing Media Hype NPR's Myth-Filled Disability Report""]"
/issues/social-security,"[u'REPORT: ', <em>The Washington Post</em>, u' Overwhelmingly Favors Cutting Social Security Benefits Over Increasing Revenue']"
/issues/social-security,"[u""Fox's Bream Suggests All Federal Disability Benefit Payments Are Fraudulent""]"
/issues/social-security,"[u'Fox\'s O\'Reilly Tells Colin Powell He ""Put Himself in A Category Of Intolerance"" By Backing Obama\'s ""Entitlement Culture""']"
/issues/social-security,"[u'Cable News Debt Ceiling Coverage Encourages The ""Makers v. Takers"" Framework Economists Reject']"
/issues/social-security,[u'REPORT: Economic Growth Absent From Television Coverage Of Debt Ceiling Debate']
/issues/social-security,"[u'Media Identify Mainstream Positions As Part Of Obama\'s ""Liberal Agenda""']"
/issues/social-security,"[<em>Wall Street Journal</em>, u' Revives Conservative Notion That Social Insurance Breeds Laziness']"
/issues/social-security,[u'Fox Pushes Disability Benefits Myths']
/issues/social-security,[u'Fox Tries To Find Social Security Insolvency By Pointing To Tiny Portions Of Its Payments']
/issues/social-security,"[u""Ted Nugent's Budget Deal: Suspend Vote For Welfare Recipients""]"
/issues/social-security,"[<em>WSJ </em>, u'Has The Wrong Prescription For Social Security And Medicare']"
/issues/social-security,"[<em>Forbes'</em>, u' Tamny Suggests People Who Want To Use Social Security And Medicare Are ""Congenitally Socialist""']"
/issues/social-security,"[u'Mainstream Media Give ', <em>Wall Street Journal</em>, u' Editorial Board Cover To Misinform About Social Security']"
/issues/social-security,"[<em>Wash. Post</em>, u' Pushes Myth That Social Security Is In Dire Straits']"
/issues/social-security,"[<em>Politico</em>, u""'s VandeHei Manufactures Split Between Progressives And Obama Voters On Social Security""]"
/issues/social-security,"[u'On ', <em>Media Matters Radio</em>, u', Economist Dean Baker Explains Reasons Why Right-Wing Media Oppose Social Insurance Programs']"
/issues/social-security,"[u""The Right-Wing Media's Latest Dishonest Chart""]"
/issues/social-security,"[u'Fox\'s Crowder Claims Young People Will Vote For Obama Because ""They Want More Free Crap""']"
/issues/social-security,"[u'Fox\'s Charles Payne Refers To Social Security Disability Benefits As ""The Crazy Check""']"
/issues/social-security,[u'Fox Attacks People For Collecting The Social Security And Medicare Benefits They Paid For']
/issues/social-security,"[u'Pat Robertson: Raising Retirement Age To 72 Won\'t ""Hurt Anybody Because People Really Like To Work""']"
/issues/social-security,[u'Fox Is Wrong: Anti-Poverty Programs Have Kept Millions Out Of Poverty']
/issues/social-security,"[u'CBO Report Shows Stable Budget Is Possible, But Media Hype ""Grim"" Scenario']"
/issues/social-security,"[u'Stossel Guest Pushes Falsehood That Social Security Is ""A Ponzi Scheme""']"
/issues/social-security,"[u'Mainstream Press Gives A Hand To The ""Ponzi"" Lie About Social Security']"
/issues/social-security,[u'CNN Chart Disproves CNN Claim About Cost Of Social Security']
/issues/social-security,"[u'Tucker Carlson Places Blame For Country\'s ""Grave Debt"": ""The Middle Class Is Addicted To Entitlements""']"
/issues/social-security,[u'A Thinly Veiled Attack On Social Security And Medicare From Heritage And Its Allies']
/issues/social-security,"[u""Fox's Year Of Class Warfare""]"
/issues/social-security,"[<em>Fox &amp; Friends</em>, u"": Fox News' Top Misinformer Of 2011""]"
/issues/social-security,"[u'Fox Business\' Asman Shares ""Black Helicopter"" Theory: Obama Wants To Kill Payroll Tax, Turn Social Security Into Welfare']"
/issues/social-security,"[u'Doocy: Dems ""Need A New Bag Of Tricks"" Because They\'re ""Hit[ting] The People Who Are The Job Creators""']"
/issues/social-security,"[u'Fox ""Straight News"" Anchor MacCallum Makes Bogus Claim That Social Security Is In ""Pretty Rough Shape These Days""']"
/issues/social-security,"[u""On Fox, EPI's Christian Dorsey Slams Jonathan Hoenig For His Attack On Safety Net Spending""]"
/issues/social-security,"[<em>Wash. Times</em>, u' Calls Social Security And Medicare ""FDR\'s Ponzi Schemes""']"
/issues/social-security,"[u'Progressive Leaders Respond To Misleading ', <em>Wash. Post</em>, u' Report On Social Security']"
