SubCat,Headlines
/issues/taxes,"[<em>Wash</em>, <em>.</em>, u' ', <em>Post</em>, u' Hypes Right-Wing Myth Of High Corporate Taxes To Push For More Cuts']"
/issues/taxes,[u'Mark Levin Blasts Conservative Media For Fawning Over Chris Christie Despite His Tax Record']
/issues/taxes,"[u'Fox Host Blames Lower Marriage Rates On Obama Policies: ""It\'s Cheaper To Stay Single And Live In Sin""']"
/issues/taxes,"[u'George Will Promoted ""Key Issue"" Of Lobbying Group Two Weeks After Keynoting Its Conference']"
/issues/taxes,"[u""Conservative Media's Favorite Economist Caught Distorting Facts About Taxes And Job Creation""]"
/issues/taxes,"[u""Fox Falsely Blames Administration's Tweaks For Ending CBO's Obamacare Scoring""]"
/issues/taxes,"[u'REPORT: Weekday Broadcast And Cable Evening News Economic Coverage Highly Polarized, Lacks Expert Analysis']"
/issues/taxes,"[u""The Slow, Awkward Death Of NOM's IRS Conspiracy Theory""]"
/issues/taxes,"[u'Fox\'s Huckabee: ""The IRS Is The Closest Thing The U.S. Has To A Gestapo""']"
/issues/taxes,"[u""Fox News Revives Anti-Gay Group's IRS Conspiracy Theory""]"
/issues/taxes,"[u'Angry Over Call To Redistribute Wealth, Hannity Lectures Pope Francis About The Virtue Of Work']"
/issues/taxes,"[u'Fox Host: ""I Envy"" Americans Too Poor To Owe Federal Income Taxes']"
/issues/taxes,[u'Fox News On Tax Day: The Rich Pay Too Much']
/issues/taxes,"[u""WATCH: Fox's Year Of Shielding The Rich From Taxes""]"
/issues/taxes,"[u""Fox News' ACA Delay Freakout Ignores History""]"
/issues/taxes,"[u'Fox\'s Bolling: ""Fiscally Speaking, Young People Probably Should Take The Penalty"" Instead Of Signing Up For Obamacare']"
/issues/taxes,[u'Fox News Mocks Actress Kristen Bell For Tweeting That The Rich Can Afford Higher Taxes']
/issues/taxes,"[u""The Truth About Fox's Tax Flight Myth""]"
/issues/taxes,[u'Right-Wing Media Falsely Claim ACA Creates Taxpayer-Funded Bailout']
/issues/taxes,"[u'Fox\'s Ben Carson Reintroduces Myth That Obamacare Is The ""Most Massive Tax Increase In The History Of America""']"
/issues/taxes,[u'Rush Pines For Robber Baron Era']
/issues/taxes,[u'Conservatives Revolting On Ryan Budget Deal']
/issues/taxes,"[u'Limbaugh: Obama Thinks He ""Has A Moral Duty To Take From People""']"
/issues/taxes,"[<em>WSJ</em>, u'\'s Stephen Moore: IRS Is ""A Dispenser Of Cash, It\'s A Welfare Program""']"
/issues/taxes,"[u'""Orwellian"": Fox News\' Off Base Fearmongering On Mileage Fee']"
/issues/taxes,[u'Fox News Still Trying To Link Obama To IRS Controversy']
/issues/taxes,[u'Ben Carson Uses His First Official Fox Appearance To Invoke Socialism In Attack On ACA']
/issues/taxes,[u'REPORT: How Broadcast And Cable News Cover The Economy']
/issues/taxes,[u'What Happens When Obama Tries To Compromise With The GOP']
/issues/taxes,"[u""Why Bill O'Reilly Shouldn't Report On The Economy""]"
/issues/taxes,[u'Fox Falsely Claims Government Spending And Higher Tax Revenue Are Harming The Economy']
