SubCat,Headlines
/issues/terrorism,"[u""Rand Paul Writes Foreword For Confederate Apologist And 9-11 Truther's New Book""]"
/issues/terrorism,"[u'Fox\'s Keith Ablow Doubles Down On Imperialist Call For Global ""American Jihad""']"
/issues/terrorism,"[u'Fox Figures Advocate For Stop-And-Frisk, Profiling, And Mosque Surveillance Following Extremist Attacks']"
/issues/terrorism,[u'Conservative Media Use Benghazi Hoax To Attack Obama Over Canadian Parliament Shooting']
/issues/terrorism,[u'Right-Wing Media Politicize Canadian Parliament Shooting To Attack Gun Safety Measures']
/issues/terrorism,"[u'Fox Attack On Obama Administration For Not Saying ""Jihad"" Ignores Similar Bush Policy']"
/issues/terrorism,[u'Fox News Uses Abu Khattala Indictment To Resurrect Benghazi Video Zombie Lie']
/issues/terrorism,"[u""Challenged On Absurdity Of Southern Border Fence, Hannity Says He'd Put A Fence On Canadian Border Too""]"
/issues/terrorism,[u'National Review Online Thanks ISIS for Beheadings']
/issues/terrorism,"[u'Fox Analyst: Obama Believes Military Should Be Fighting Ebola, Not Defending Our Country']"
/issues/terrorism,"[u'UPDATED: ""Categorically False"": DHS Debunks Right-Wing Fiction That ISIS Attempted To Cross The U.S.- Mexico Border']"
/issues/terrorism,[u'Fox News Deceptively Clips Obama To Claim Panetta Interview Revealed Benghazi Deception']
/issues/terrorism,"[u'O\'Reilly: ""Is Islam A Destructive Force In The World?""']"
/issues/terrorism,"[u'Fox\'s Bolling: Muslims Will Come Through ""Porous Border"" And Create A ""Radical Islam Problem"" In U.S.']"
/issues/terrorism,"[<em>NY Post </em>, u'Settles Lawsuit Over Infamous Boston Bombing ""Bag Men"" Cover']"
/issues/terrorism,"[u""Fox's MacCallum Falsely Suggests Obama Won't Acknowledge Khorasan Group's Connection To Al Qaeda""]"
/issues/terrorism,"[u'Bill O\'Reilly: ""Dumb People"" Like Stephen Colbert Oppose Anti-Terror Mercenary Army Idea']"
/issues/terrorism,[u'Fox Report Cherry-Picks Immigration Data To Stoke Terrorism Fears']
/issues/terrorism,"[u'Fox Runs With Discredited Rumor Of U.S., Paris Subway Terror Plot']"
/issues/terrorism,[u'Conservative Media Invent Political Motive Behind Syrian Airstrikes']
/issues/terrorism,[u'Fox Analyst: Obama Timed Syrian Airstrikes To Avoid Killing Islamic State Terrorists']
/issues/terrorism,[u'Fox Economist Proposes Energy Plan That Would Increase Terrorism']
/issues/terrorism,"[u'Fox News Laments ', <em>Media Matters</em>, u""' Fact Filled Study For Exposing Its Benghazi Obsession""]"
/issues/terrorism,"[u'Conservative Media Are Actually Accusing Obama Of ""Advising"" The Islamic State']"
