SubCat,Headlines
/issues/the-house-of-representatives,"[u'Limbaugh: The Government ""Damn Well Needs To Be Shut Down"" To Block Executive Action On Immigration']"
/issues/the-house-of-representatives,"[u""Fox Hypes Punishment For Obama's Immigration Overhaul: Impeach, Sue, Defund, & Obstruct""]"
/issues/the-house-of-representatives,"[u'Fox\'s Krauthammer On Obama\'s Immigration Plan: ""I Believe It Is An Impeachable Offense""']"
/issues/the-house-of-representatives,"[<em>Wash</em>, <em>.</em>, u' ', <em>Post</em>, u' Hypes Right-Wing Myth Of High Corporate Taxes To Push For More Cuts']"
/issues/the-house-of-representatives,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/the-house-of-representatives,"[u'After Criticizing Journalists Who Are Too Close To Politicians, Sharyl Attkisson Parties With Darrell Issa']"
/issues/the-house-of-representatives,[u'Conservative Media Use Midterm Results To Misleadingly Claim Americans Support A Repeal Of Obamacare']
/issues/the-house-of-representatives,"[u'Media Mistake GOP Midterm Victories As Evidence The U.S. Is Now A ""Center-Right Country""']"
/issues/the-house-of-representatives,"[u'MSNBC\'s Maddow: ""Tone On Conservative Talk Radio"" Is That GOP Only Elected To ""Destroy Barack Obama""']"
/issues/the-house-of-representatives,"[u'Krauthammer: Obama Wants Executive Order On Immigration Because ""It Makes Him The Center Of The Universe Again""']"
/issues/the-house-of-representatives,[u'CNN Contributor Ignores GOP Obstructionism To Blame Obama For Delays On Immigration Reform']
/issues/the-house-of-representatives,"[u'Citing Baseless Claim Of ""Blanket Amnesty,"" Fox\'s Megyn Kelly Suggests Obama May ""Offend"" Republicans Into Impeaching Him']"
/issues/the-house-of-representatives,"[u'Fox News Slams ', <em>Cosmopolitan </em>, u'For Its Midterm Election Coverage On The Same Day Megyn Kelly Teams Up With The Magazine']"
/issues/the-house-of-representatives,"[u""Debunking The Conservative Media's 2014 Voter Fraud Horror Stories""]"
/issues/the-house-of-representatives,"[u'O\'Reilly: ""It\'s Not A Slam Dunk For Republicans"" In Upcoming Election Because ""Many American Citizens Are Simply Dumb""']"
/issues/the-house-of-representatives,"[u""Rock The Vote President Denounces Fox Hosts' Declaration That Youth Shouldn't Vote""]"
/issues/the-house-of-representatives,"[u""Television Media Fail To Disclose Secret Service Commentator's Congressional Campaign""]"
/issues/the-house-of-representatives,"[<em>New York Times</em>, u' Analysis Finds Sunday News Shows Favor Conservative Guests']"
/issues/the-house-of-representatives,"[u'Right-Wing Media\'s Mythological ""Welfare For Weed"" Campaign Has Resulted in Actual GOP Legislation']"
/issues/the-house-of-representatives,[u'This Fox Figure Warns Against Benghazi Conspiracy Theories Minutes After Pushing Cover-Up Myth']
/issues/the-house-of-representatives,[u'Fox Host Baselessly Escalates Latest Benghazi Conspiracy Theory: Iran-Contra Edition']
/issues/the-house-of-representatives,"[u'On Fox, Latest ""Benghazi Bombshell"" Progresses From Baseless Speculation To Absurd Allegations']"
/issues/the-house-of-representatives,"[u""The Faulty Timeline Behind This Benghazi Hoaxster's Harassment Myth""]"
/issues/the-house-of-representatives,[u'UPDATED: Republican Congressman Goes On Fox To Call Out Repeat Benghazi Hoaxster']
/issues/the-house-of-representatives,"[u'Downplaying Republican Obstructionism, CNN Suggests Obama Is To Blame On Immigration Reform']"
/issues/the-house-of-representatives,"[u""Fox's Latest Benghazi Hoax Used As Justification For Wasteful Select Committee""]"
/issues/the-house-of-representatives,[u'Fox Host Kurtz Criticizes CBS Analyst Frank Luntz For Lack Of Disclosure']
/issues/the-house-of-representatives,[u'Fox News Quiet After Congressional Report Finds No Benghazi Scandal']
/issues/the-house-of-representatives,"[u""How The Newest House Benghazi Report Should Change Media's Approach To Gowdy's Select Committee""]"
/issues/the-house-of-representatives,"[u'Laura Ingraham: The Hispanic Caucus Should Be Called ""The Open Borders Caucus""']"
/issues/the-house-of-representatives,"[u""Fox's Krauthammer Derides GOP Flip-Flop On Obama's Executive Actions""]"
