SubCat,Headlines
/issues/the-senate,"[u""Fox Hypes Punishment For Obama's Immigration Overhaul: Impeach, Sue, Defund, & Obstruct""]"
/issues/the-senate,"[u'Fox\'s Krauthammer On Obama\'s Immigration Plan: ""I Believe It Is An Impeachable Offense""']"
/issues/the-senate,"[u""Fox's Kelly Asks GOP Senator If He Is Willing To Defund DOJ, Other Departments Over Executive Action On Immigration""]"
/issues/the-senate,"[<em>Wash</em>, <em>.</em>, u' ', <em>Post</em>, u' Hypes Right-Wing Myth Of High Corporate Taxes To Push For More Cuts']"
/issues/the-senate,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/the-senate,"[u""Fox's Megyn Kelly Asks Republican Senator If He Will Impeach Obama Over Executive Action On Immigration""]"
/issues/the-senate,[u'Conservative Media Use Midterm Results To Misleadingly Claim Americans Support A Repeal Of Obamacare']
/issues/the-senate,"[u'Media Mistake GOP Midterm Victories As Evidence The U.S. Is Now A ""Center-Right Country""']"
/issues/the-senate,"[u'Limbaugh: Republicans Were Elected ""So That There\'d Be Continued Gridlock""']"
/issues/the-senate,[u'Laura Ingraham Blasts Calls For Bipartisan Cooperation After Midterm Elections']
/issues/the-senate,"[u'MSNBC\'s Maddow: ""Tone On Conservative Talk Radio"" Is That GOP Only Elected To ""Destroy Barack Obama""']"
/issues/the-senate,[u'Right-Wing Media Outraged After Obama Declares Intent To Cooperate With GOP']
/issues/the-senate,"[u'Krauthammer: Obama Wants Executive Order On Immigration Because ""It Makes Him The Center Of The Universe Again""']"
/issues/the-senate,"[u""CNN's "", <em>Legal View </em>, u'Ignores McConnell\'s History Of Obstruction To Buy Into New ""Conciliatory"" Tone']"
/issues/the-senate,[u'CNN Contributor Ignores GOP Obstructionism To Blame Obama For Delays On Immigration Reform']
/issues/the-senate,"[u'Limbaugh: Republicans Have A Mandate ""To Stop Barack Obama."" They ""Were Not Elected To Govern""']"
/issues/the-senate,[u'Conservative Media Try To Undercut Shaheen Campaign With Last-Minute Conspiracy-Mongering']
/issues/the-senate,"[u'Citing Baseless Claim Of ""Blanket Amnesty,"" Fox\'s Megyn Kelly Suggests Obama May ""Offend"" Republicans Into Impeaching Him']"
/issues/the-senate,"[u'MSNBC\'s Maddow Highlights Fox Figures ""Already So Excited"" About Impeachment Over Executive Action On Immigration']"
/issues/the-senate,"[u'Fox News Slams ', <em>Cosmopolitan </em>, u'For Its Midterm Election Coverage On The Same Day Megyn Kelly Teams Up With The Magazine']"
/issues/the-senate,"[u""Fox News' Coverage Of 2014 GOP Candidates: Flattery & Free Ads""]"
/issues/the-senate,"[u""NPR's "", <em>Morning Edition</em>, u"" Repeats GOP Spin About Cory Gardner's Positions On Reproductive Rights""]"
/issues/the-senate,"[u""Debunking The Conservative Media's 2014 Voter Fraud Horror Stories""]"
/issues/the-senate,"[<em>Fox &amp; Friends</em>, u"" Host Caught Rewriting History In Glowing Interview Of GOP's Scott Brown""]"
/issues/the-senate,"[u'O\'Reilly: ""It\'s Not A Slam Dunk For Republicans"" In Upcoming Election Because ""Many American Citizens Are Simply Dumb""']"
/issues/the-senate,"[u'Limbaugh: ""The First Black President Is An Albatross Around The Necks Of Five White Women"" Senate Candidates']"
/issues/the-senate,[u'Karl Rove Bungles Poll Numbers On Obamacare']
/issues/the-senate,"[u'Ingraham Urges Listeners: Support Senate Candidate Scott Brown ""Right This Very Moment"" Because He Opposes ""Amnesty""']"
/issues/the-senate,"[u'Time Warner Cable\'s ""Empty Chair"" Political Stunt Boosts Tillis Campaign With Phony Debate Scandal']"
/issues/the-senate,"[u""George Will Suggests Cory Gardner's Extreme Record On Personhood Is Immaterial""]"
/issues/the-senate,"[<em>National Review</em>, u' Editor Equates Akin\'s ""Legitimate Rape"" Stance With Grimes\' Defense Of Secret Ballots']"
/issues/the-senate,"[<em>Fox News Sunday</em>, u"" Fails To Disclose Karl Rove's Advocacy In Races He Analyzes""]"
/issues/the-senate,"[u""Rock The Vote President Denounces Fox Hosts' Declaration That Youth Shouldn't Vote""]"
/issues/the-senate,"[<em>Fox News Sunday</em>, u"" Fails To Disclose Karl Rove's Stake In The Senate Races He Discusses""]"
/issues/the-senate,"[<em>New York Times</em>, u' Analysis Finds Sunday News Shows Favor Conservative Guests']"
/issues/the-senate,[u'Fox Host Baselessly Escalates Latest Benghazi Conspiracy Theory: Iran-Contra Edition']
/issues/the-senate,"[u'On Fox, Latest ""Benghazi Bombshell"" Progresses From Baseless Speculation To Absurd Allegations']"
/issues/the-senate,[u'Fox News Doubles Airtime For GOP Senators During Hearing On Islamic State Threat']
/issues/the-senate,"[u""Fox's Special On Obamacare In New Hampshire Is Tailor-Made For Former Employee Scott Brown""]"
/issues/the-senate,"[u'Mark Levin Attacks Chamber Of Commerce: ""You Lie Down With Whores Like This And You Become One""']"
/issues/the-senate,[u'Right-Wing Media Continue Campaign To Tie Legal Abortion To Convicted Murderer Kermit Gosnell']
/issues/the-senate,[u'Charles Krauthammer Flip-Flops On The Constitutionality Of Federal Abortion Laws']
/issues/the-senate,"[u'Megyn Kelly Cites Dr. Tiller\'s Assassination While Claiming Women Will ""Abuse"" Late Term Abortions If Bill Passes']"
/issues/the-senate,"[u""Fox Hides Harmful Effects Of State Attacks On Women's Choice""]"
/issues/the-senate,"[u'O\'Reilly Asks If Democratic Senators Pushing Bill To End State Targeting Of Abortion Clinics Are ""Executioners""']"
/issues/the-senate,"[u'Hannity Voices Support For Palin\'s Call For Impeachment: ""She\'s Right On Constitutional Issues""']"
/issues/the-senate,"[u'Fox\'s Bernie Goldberg Slams Fox Contributors\' Impeachment Campaign As ""Beyond Terrible""']"
/issues/the-senate,"[u'Fox\'s Sarah Palin: ""Let\'s Get Going"" On Impeaching President Obama']"
/issues/the-senate,"[u""The Daily Caller's Menendez Smear May Have Come From The Castro Regime""]"
/issues/the-senate,[u'Report Finds Benghazi Select Committee Fox News Championed Could Cost Up To $3.3 Million']
/issues/the-senate,[u'Fox News Revives Zombie Myth That Congress Is Exempt From Obamacare']
/issues/the-senate,"[u""5 Conservative Media Traps To Avoid During SCOTUS' Last Week""]"
/issues/the-senate,"[u'Media Attack Hillary Clinton\'s Personal Finances To Paint Her As ""Out Of Touch""']"
/issues/the-senate,"[u'""Obamacare For The Air"": How Reporting On EPA\'s Clean Power Plan Misses Republican Extremism']"
/issues/the-senate,"[u""IRS, Sen. Carl Levin, And The Truth Behind Right-Wing Media's Latest Phony Conspiracy Theory""]"
/issues/the-senate,"[u'Hannity\'s Benghazi Rant: ""Four Americans Weren\'t Abandoned To Be Murdered In Watergate""']"
/issues/the-senate,"[u""Fox's Howard Kurtz Congratulates Media For Catching Up With Fox News' Benghazi Coverage""]"
/issues/the-senate,"[u""Bill O'Reilly Pushes Myth That Obama Never Ordered Military To Assist In Benghazi""]"
/issues/the-senate,[u'UPDATED: Fox Dedicates 15 Times More Coverage To Latest Pretend Benghazi Scandal Than Minimum Wage Vote']
/issues/the-senate,[u'Hannity Says He Would Have Waterboarded Terror Detainees Himself']
/issues/the-senate,"[u'Fox Offers A Helping Hand To GOP Senate Candidate And His ""Constitutional"" Madness Bracket']"
/issues/the-senate,[u'Fox Panel Laughs At Senate Democrats For All-Nighter On Climate Change']
/issues/the-senate,"[u""Fox's New Benghazi Claim Contradicted By Bipartisan Report Fox Cites""]"
/issues/the-senate,"[u'Intelligence Director Agrees With Obama On Al Qaeda, But Fox Labels It A ""Direct Contradiction""']"
/issues/the-senate,"[u'Fox\'s ""New Light"" On Benghazi Talking Points Undermined By Its Own Evidence']"
/issues/the-senate,"[u'Fox\'s Van Susteren: By Using Executive Orders, Obama Has ""Declared War"" On Congress']"
/issues/the-senate,[u'Fox News Forgets That Senator Cory Booker Exists']
/issues/the-senate,"[u""What The Media's Rush To Attack Hillary Clinton Misses About Benghazi And Leadership""]"
/issues/the-senate,[u'Fox Benghazi Myths Dispelled By New Bipartisan Review']
/issues/the-senate,"[u""Fox's Carlson Distorts Reid's Comments On Exchanges To Accuse Him Of Hypocrisy""]"
/issues/the-senate,"[u""To The Right-Wing Media, It's All An Obamacare Distraction""]"
/issues/the-senate,[u'Krauthammer: Filibuster Reform Vote Is An Example Of The Lawless Way Obama Has Run The Government']
/issues/the-senate,"[u'Remember When Limbaugh Thought Filibuster Nuclear Option Was The ""Constitutional Option""?']"
/issues/the-senate,"[u'Limbaugh Compares Filibuster Reform To Vote ""Allow[ing] Women To Be Raped""']"
/issues/the-senate,"[<em>WSJ</em>, u' Attacks ""Radicals"" For ""Bloody-Minded"" Filibuster Reform It Once Supported']"
/issues/the-senate,"[u'Hannity Attacks Filibuster Reform He Once Supported As ""One Of The Most Lawless Power Grabs"" In U.S. History']"
/issues/the-senate,"[u'Fox News\' False Equivalency On The ""Nuclear Option""']"
/issues/the-senate,[u'Hannity Condemns Filibuster Reform He Supported Under The GOP']
/issues/the-senate,[u'Rich Lowry Is Mad That Democrats Took His Filibuster Advice From 2005']
/issues/the-senate,[u'FLASHBACK: When Conservatives Decried Filibusters And Urged Senate Majority Leader To Use Nuclear Option']
/issues/the-senate,"[u""Breitbart.com's Anti-Gay Hate Proves Too Extreme For Senate""]"
/issues/the-senate,[u'Hannity Helps Citizens United Launch Campaign Of Obamacare Lies']
/issues/the-senate,"[u'Republicans And Right-Wing Media Championed Discredited ', <em>60 Minutes </em>, u'Benghazi Report']"
/issues/the-senate,[u'CNN Forgets: Benghazi Survivors Have Testified Before Congress']
/issues/the-senate,"[u""Fox Can't Handle The Truth About Congress And Obamacare""]"
/issues/the-senate,[u'Mark Levin Calls For Boycott Of Conservative Powerhouse U.S. Chamber Of Commerce']
/issues/the-senate,"[u'Limbaugh: ""Can You Imagine ... If We Had 45"" Ted Cruzes?']"
