SubCat,Headlines
/issues/voting-rights-issues,"[u""Fox News Viewers Aren't Getting The Full Story On Voter Suppression""]"
/issues/voting-rights-issues,"[u'Right-Wing Media Pretend Well-Qualified Attorney General Nominee Is A Partisan ""Radical""']"
/issues/voting-rights-issues,[u'Network News Overlooks Policy Issues In Midterm Coverage']
/issues/voting-rights-issues,"[u""Cable News' Election Night Coverage Ignored Impact Of Redistricting On Outcomes""]"
/issues/voting-rights-issues,"[u""On Election Day, Fox's Cavuto Ramps Up Final Defense Of Voter ID Laws""]"
/issues/voting-rights-issues,"[u""Voter Disenfranchisement That Right-Wing Media Said Wouldn't Happen Is Definitely Happening""]"
/issues/voting-rights-issues,"[u""Laura Ingraham Suggests People Who Find It Too Difficult To Get ID Shouldn't Vote""]"
/issues/voting-rights-issues,"[u'Fox News Slams ', <em>Cosmopolitan </em>, u'For Its Midterm Election Coverage On The Same Day Megyn Kelly Teams Up With The Magazine']"
/issues/voting-rights-issues,"[u'Leading Hispanic Civil Rights Group To Fox News: Encouraging Americans To Vote Is Not ""Voter Fraud""']"
/issues/voting-rights-issues,"[u""Debunking The Conservative Media's 2014 Voter Fraud Horror Stories""]"
/issues/voting-rights-issues,"[<em>Fox &amp; Friends </em>, u'Attacks Hispanic Civil Rights Group, Suggests ', <em>Wash</em>, <em>.</em>, <em> Post</em>, u' Is ""Promoting Voter Fraud""']"
/issues/voting-rights-issues,[u'National Review Online Now Totally Confused In Its All-Out Push For Strict Voter ID']
/issues/voting-rights-issues,[u'What Other Academics Think Of The Questionable Study On Non-Citizen Voters Hyped By Conservative Media']
/issues/voting-rights-issues,"[u""Conservatives' Latest Example Of Potential Voter Fraud Actually Proves The System Works""]"
/issues/voting-rights-issues,"[u""Evidence Piles Up Against Right-Wing Media's Defense Of Voter ID""]"
/issues/voting-rights-issues,"[u'Fox Hosts Lash Out At ', <em>Media Matters</em>, u' Following Widespread Criticism For Discouraging Voters']"
/issues/voting-rights-issues,"[u""The People Conservative Media Don't Want To Vote""]"
/issues/voting-rights-issues,"[u'Limbaugh: ""The Real Reason That Democrats Don\'t Want Voter ID Law Is So They Can Cheat""']"
/issues/voting-rights-issues,[u'Right-Wing Media Discourage Young Women From Voting']
/issues/voting-rights-issues,"[u'Fox Host: ""Young Women On Juries Are Not A Good Idea"" Because ""They Don\'t Get It""']"
