SubCat,Headlines
/issues/war-in-afghanistan,"[u'Fox Host Glosses Over Murder Convictions While Hyping Blackwater As Solution To ""Win The War""']"
/issues/war-in-afghanistan,"[u'O\'Reilly Confronts Rove: Bush\'s Iraq & Afghanistan Policy ""Looks Awful"" To Regular People']"
/issues/war-in-afghanistan,[u'Foreign Policy Experts Vs. Media On Talking To The Taliban']
/issues/war-in-afghanistan,"[u""Watch: Shep Smith Rebuts Fox News' Rush To Judge Bowe Bergdahl""]"
/issues/war-in-afghanistan,[u'Media Pretends That Negotiations Over Bergdahl Release Were Unprecedented']
/issues/war-in-afghanistan,"[u'Hannity: Obama Won\'t Fight The Actual Wars In Iraq And Afghanistan But Will Fight A ""War On Coal""']"
/issues/war-in-afghanistan,"[u'Bill O\'Reilly Covers The ""War On Christmas"" More Than Actual Wars, Again']"
/issues/war-in-afghanistan,"[u'Fox\'s Scott: ""Some Are Saying"" Obama Admin. Took Its Eye Off The Ball In Iraq And That War There Is ""Still Raging""']"
/issues/war-in-afghanistan,"[u'Limbaugh On Obama: ""You Got A Pacifist As President""']"
/issues/war-in-afghanistan,"[u'Fox\'s Kilmeade On U.S. Troop Deaths: ""Where Is [Obama\'s] Apology To Our Troops?""']"
/issues/war-in-afghanistan,"[u'On Fox, ""Hate Group"" Leader Pam Geller Says Obama ""Switched Sides"" In War On Terror']"
/issues/war-in-afghanistan,"[u""National Security Network's Jacob Stokes Explains The Necessity For Talks With The Taliban On Sirius XM's "", <em>Media Matters Radio</em>]"
/issues/war-in-afghanistan,"[u'Hannity\'s ""Heroism Vs. Politics"" Obama Special Filled With Right-Wing Bunk']"
/issues/war-in-afghanistan,"[u'Contrary To Claims On Fox, Obama Has Repeatedly Thanked And Praised Troops Who Killed Bin Laden']"
/issues/war-in-afghanistan,"[u'Fox News\' Ralph Peters: Soldiers In Photo Were ""Blowing Off Testosterone"" In Afghanistan']"
/issues/war-in-afghanistan,"[u'Still Proud, CBS? AIM Suggests Sgt. Bales Was ""Programmed"" By The Taliban']"
/issues/war-in-afghanistan,"[u'Facts Puncture The Myth That Obama ""Apologies"" Have Ruined U.S. Standing']"
/issues/war-in-afghanistan,[u'Conservative Experts Say That Obama Was Right To Apologize For Quran Burning']
/issues/war-in-afghanistan,[u'Fox Attacks On Obama Ignore Bush Apology For Quran Desecration']
/issues/war-in-afghanistan,"[u'MSNBC\'s Ed Schultz To Hannity: ""Show Us The Tapes Proving President Obama Didn\'t Want To Kill"" Bin Laden']"
/issues/war-in-afghanistan,"[u'Fox Guest Likens Marines Urinating On Dead Bodies To ""Frat House"" Behavior: ""That\'s What Guys Do""']"
/issues/war-in-afghanistan,"[u'Dana Loesch Responds: ""Progressives Felt As Though That These Marines Should Be Bowing To The Taliban""']"
/issues/war-in-afghanistan,"[u'Liz Cheney Claims Obama Has Done ""Something That America\'s Enemies"" Couldn\'t: ""Decimate [Our] Fighting Capability""']"
/issues/war-in-afghanistan,"[u'Liz Cheney\'s ""Ludicrous"" Attack On Obama\'s Record']"
/issues/war-in-afghanistan,"[u'Fox\'s Dave Briggs Asks If It\'s ""Appropriate"" For President Obama To Speak In Front Of Troops At Ft. Bragg']"
/issues/war-in-afghanistan,"[<em>Wash. Times</em>, u"" STILL Complaining About Not Seeing Bin Laden's Body""]"
/issues/war-in-afghanistan,"[<em>Wash. Times'</em>, u' Gaffney Suggests Obama\'s National Security Policies ""Will Cost Us Greatly In Lives And Treasure""']"
