SubCat,Headlines
/issues/war-in-iraq,"[u'Fox Host Glosses Over Murder Convictions While Hyping Blackwater As Solution To ""Win The War""']"
/issues/war-in-iraq,"[u""Right-Wing Media's Failed Attempt To Justify Iraq War With "", <em>NY Times</em>, u' Chemical Weapons Report']"
/issues/war-in-iraq,"[u""Fox's "", <em>The Five</em>, u' Distorts History On Bush Administration WMD Claims']"
/issues/war-in-iraq,"[u""Fox Leaves Out Important Context Of Leon Panetta's Statement On Iraq Troop Withdrawal""]"
/issues/war-in-iraq,"[u""MSNBC's Ed Schultz Calls Out "", <em>Wall Street Journal</em>, u' Editorial Board For ""Hiding"" The Facts About Dick Cheney']"
/issues/war-in-iraq,"[<em>Fox &amp; Friends</em>, u' Hosts Ask: ""How Much Would It Help"" If Obama Called Bush For War Advice?']"
/issues/war-in-iraq,"[u'Fox Hides Bush\'s Actions To Claim Bush Gave ""Visionary"" Warning About Islamic State']"
/issues/war-in-iraq,[u'Blast From The Past: Fox Hosts 2012 Presidential Nominees To Attack Obama']
/issues/war-in-iraq,"[u'O\'Reilly Confronts Rove: Bush\'s Iraq & Afghanistan Policy ""Looks Awful"" To Regular People']"
/issues/war-in-iraq,"[u'How The Iraq War Still Haunts ', <em>New York Times</em>]"
/issues/war-in-iraq,"[<em>Washington Post</em>, u' Columnist Demands Accountability From Iraq War Architects']"
/issues/war-in-iraq,[u'Fox News Investigative Report On Crisis In Iraq To Feature Iraq War Architect Dick Cheney']
/issues/war-in-iraq,[u'Fox Asks Iraq War Architect Paul Wolfowitz For Advice On U.S. Response To Iraqi Violence']
/issues/war-in-iraq,"[u'Karl Rove Attacks Obama For Pursuing ""Unprecedented"" Iraq Deal That Bush Did First']"
/issues/war-in-iraq,"[u'Fox\'s Judith Miller Complains About Media Criticism Of Iraq War Boosters: ""It\'s Not Helpful""']"
/issues/war-in-iraq,"[u'Fox\'s Kelly Asks Iraq War Backer John Bolton If He\'s Avoiding Talk Of ""Past 10 Years And Whether They Were Worth It""']"
/issues/war-in-iraq,"[u'Kirsten Powers Calls Out O\'Reilly\'s Inconsistency On U.S. Aid: ""I\'ve Never Heard You Say We Can\'t Afford To Invade Iraq""']"
/issues/war-in-iraq,"[u""MSNBC's Ed Schultz Calls Out Media For Giving Discredited Iraq War Architects A Platform""]"
/issues/war-in-iraq,[u'Sunday Shows Turn To Discredited Iraq War Architects For Iraq Analysis']
/issues/war-in-iraq,[u'Iraq And The Need For Pundit Accountability']
/issues/war-in-iraq,[u'Fox Uses Iraq Violence To Blame Obama For Rising Gas Prices']
/issues/war-in-iraq,"[u""Fox News' Fairytale Timeline Of The Iraq War""]"
/issues/war-in-iraq,"[u""For Cheney And O'Reilly, The WMD Myth Is Alive And Well""]"
/issues/war-in-iraq,"[<em>WSJ</em>, u""'s Bret Stephens Rewrites History Of Iraq War""]"
/issues/war-in-iraq,"[u'Limbaugh: ""Iraq Was Not A Mess"" -- Media ""Convinced People It Was A Mess""']"
/issues/war-in-iraq,[u'Fox News Whitewashes Origins Of Iraq War To Push Military Intervention In Syria']
/issues/war-in-iraq,"[u'Hannity: Obama Won\'t Fight The Actual Wars In Iraq And Afghanistan But Will Fight A ""War On Coal""']"
/issues/war-in-iraq,"[u'Jennifer Rubin: ""Bush Is Back""']"
/issues/war-in-iraq,[u'Fox News Continues Pushing Conspiracy Theory That Iraq Hid WMD In Other Countries']
/issues/war-in-iraq,[u'REPORT: Fox Covers Iraq War Anniversary The Least Of The Three Major Cable News Networks']
/issues/war-in-iraq,"[u""Fox's Oliver North Pushes Long-Debunked WMD Conspiracy Theory To Justify The Iraq War""]"
/issues/war-in-iraq,"[<em>Media Matters</em>, u'\' Eric Boehlert On Iraq: ""President Bush Could Not Have Sold This War Without The Mainstream Media""']"
/issues/war-in-iraq,"[u'Fox\'s Bolling: Iraq War Was ""The Smartest Thing George Bush Did, He Restored Confidence In America""']"
/issues/war-in-iraq,[u'Why Iraq War Boosters Matter 10 Years Later']
/issues/war-in-iraq,"[u""Where Are The Media's Iraq War Boosters 10 Years Later?""]"
/issues/war-in-iraq,"[u'UPDATED:', <em> Morning Joe</em>, u' Wrong On Pelosi ""Beating The Drums Of War"" Over Iraq']"
/issues/war-in-iraq,"[u'Fox News Lets Media Off The Hook For Iraq Coverage: ""How Much More Skeptical Was The Press Supposed To Be?""']"
/issues/war-in-iraq,[u'BLACKOUT: Networks Ignore Report Finding Massive Waste In Iraq Reconstruction']
/issues/war-in-iraq,"[u'The Bush Years And What A ""Lapdog"" Press Really Looked Like']"
/issues/war-in-iraq,"[u'The ', <em>Wash. Post</em>, u""'s Jennifer Rubin Divide And The Iraq War""]"
/issues/war-in-iraq,"[u'Fox News History: Bolling Claims Saddam Hussein ""Financed"" 9/11 Attacks']"
/issues/war-in-iraq,"[u'Fox\'s Eric Bolling Cries ""Liberal Bias"" At Historical Fact That Bush Administration Found No WMDs In Iraq']"
/issues/war-in-iraq,"[u'Bill O\'Reilly Covers The ""War On Christmas"" More Than Actual Wars, Again']"
/issues/war-in-iraq,"[u'Fox\'s Brian Kilmeade Claims Iraq WMD Intelligence Was ""Correct"" To Continue Susan Rice Smear Campaign']"
/issues/war-in-iraq,"[u'For Debate Analysis, Fox News Leans On Former Bush Officials (And Herman Cain)']"
/issues/war-in-iraq,"[u'Fox\'s Scott: ""Some Are Saying"" Obama Admin. Took Its Eye Off The Ball In Iraq And That War There Is ""Still Raging""']"
/issues/war-in-iraq,"[u'Dick Morris Claims The Media Was ""Too Harsh During The Iraq War,"" Which ""Ruined A Presidency With Bush""']"
/issues/war-in-iraq,"[u""Eric Bolling's Fox Business Show: Going Out Ugly""]"
/issues/war-in-iraq,"[u'Fox\'s Bolling Repeats Discredited Myth That 9/11 Attacks Had ""Footsteps"" That Could Be Traced ""Right Back To Saddam""']"
/issues/war-in-iraq,"[u'Kilmeade: Ending Iraq War ""Seems To Be More Important"" To Obama Than ""Actually Being Succesful In Iraq""']"
/issues/war-in-iraq,"[u'Liz Cheney Claims Obama Has Done ""Something That America\'s Enemies"" Couldn\'t: ""Decimate [Our] Fighting Capability""']"
/issues/war-in-iraq,"[u'Limbaugh: Obama ""Sabotaged"" And ""Tried To Undermine"" The Iraq War']"
/issues/war-in-iraq,"[u'Liz Cheney\'s ""Ludicrous"" Attack On Obama\'s Record']"
/issues/war-in-iraq,"[u'Fox\'s Dave Briggs Asks If It\'s ""Appropriate"" For President Obama To Speak In Front Of Troops At Ft. Bragg']"
/issues/war-in-iraq,"[<em>Wash. Times</em>, u"" STILL Complaining About Not Seeing Bin Laden's Body""]"
/issues/war-in-iraq,"[u'Joining The Chorus, Fox Military Analyst Jack Keane Says Iraq Withdrawal Is ""Absolutely"" A Disaster']"
/issues/war-in-iraq,"[u'Limbaugh: Obama\'s Base ""Would Love For The U.S. To Be Defeated In Iraq""']"
/issues/war-in-iraq,"[u'""Iran Won"": Fox Attacks Obama For Ending Iraq War']"
/issues/war-in-iraq,"[u'Kilmeade Asks If The Lives Of 4,549 Americans Killed In Iraq Could ""Be Wasted"" If Withdrawal ""Goes Afoul""?']"
/issues/war-in-iraq,"[u'Fox\'s Dana Perino Was ""Bothered"" That Obama Said ""Our Troops Can Now Leave [Iraq] With Their Heads Held High""']"
/issues/war-in-iraq,"[u'Fox Analyst Ralph Peters On Iraq Withdrawal: ""Iran Won""; ""Iraq Matters, Afghanistan Doesn\'t""; ""Strategic Tragedy""']"
/issues/war-in-iraq,"[u""Fox's Iraq War Cheerleaders Are Crestfallen Over Withdrawal""]"
/issues/war-in-iraq,"[u'Asked When We Should Leave Iraq, John Bolton Replies, ""We\'re Still In Germany. We\'re Still In Japan""']"
/issues/war-in-iraq,"[u'Liz Cheney: ""It Actually Did Happen, We Were Greeted As Liberators"" In Iraq']"
/issues/war-in-iraq,"[<em>Wash. Times'</em>, u' Gaffney Suggests Obama\'s National Security Policies ""Will Cost Us Greatly In Lives And Treasure""']"
/issues/war-in-iraq,[u'The Quotable Limbaugh: 9-11 Edition']
/issues/war-in-iraq,"[<em>Fox &amp; Friends</em>, u' Reacts To Libya By Complaining Bush Was Criticized Over Iraq']"
/issues/war-in-iraq,[u'Kilmeade Embraces Suggestion That Afghanistan Withdrawal Could Lead To Another Terrorist Attack*']
/issues/war-in-iraq,"[u'Fox News Radio\'s John Gibson On Taking Iraq\'s Oil To Pay For Cost Of War: ""I Don\'t Think That\'s A Terrible Idea""']"
/issues/war-in-iraq,"[u'Oblivious: MRC\'s Bozell Asks Of The Media, ""Where Were They When George Bush Won Us The War In Iraq?""']"
